mets	metBiGGID	metChEBIID	metEHMNID	metHMDBID	metHMR2ID	metHepatoNET1ID	metKEGGID	metLipidMapsID	metMetaNetXID	metPubChemID	metRecon3DID	metRetired	metsNoComp
"MAM00021l"	""	"CHEBI:77806"	""	""	"m00021l"	""	"C16533"	"LMFA01030405"	"MNXM9691"	""	"M00021"	"m00021l"	"MAM00021"
"MAM00021r"	""	"CHEBI:77806"	""	""	"m00021r"	""	"C16533"	"LMFA01030405"	"MNXM9691"	""	"M00021"	"m00021r"	"MAM00021"
"MAM00021e"	""	"CHEBI:77806"	""	""	"m00021s"	""	"C16533"	"LMFA01030405"	"MNXM9691"	""	"M00021"	"m00021s"	"MAM00021"
"MAM00022c"	""	"CHEBI:73120"	""	""	"m00022c"	""	""	""	"MNXM149276"	""	"M00022"	"m00022c"	"MAM00022"
"MAM00022m"	""	"CHEBI:73120"	""	""	"m00022m"	""	""	""	"MNXM149276"	""	"M00022"	"m00022m"	"MAM00022"
"MAM00022r"	""	"CHEBI:73120"	""	""	"m00022r"	""	""	""	"MNXM149276"	""	"M00022"	"m00022r"	"MAM00022"
"MAM00023c"	""	""	""	""	"m00023c"	""	"C16645"	"LMFA07050037"	"MNXM9382"	""	"M00023"	"m00023c"	"MAM00023"
"MAM00023m"	""	""	""	""	"m00023m"	""	"C16645"	"LMFA07050037"	"MNXM9382"	""	"M00023"	"m00023m"	"MAM00023"
"MAM00023r"	""	""	""	""	"m00023r"	""	"C16645"	"LMFA07050037"	"MNXM9382"	""	"M00023"	"m00023r"	"MAM00023"
"MAM00024c"	"nrvnccrn"	""	""	""	"m00024c"	""	""	""	"MNXM8942"	""	"nrvnccrn"	"m00024c"	"MAM00024"
"MAM00024r"	"nrvnccrn"	""	""	""	"m00024r"	""	""	""	"MNXM8942"	""	"nrvnccrn"	"m00024r"	"MAM00024"
"MAM00025c"	"nrvnccoa"	""	"CE5159"	""	"m00025c"	""	"C16532"	"LMFA07050058"	"MNXM13000;MNXM5851"	"24892792"	"nrvnccoa"	"m00025c"	"MAM00025"
"MAM00025x"	"nrvnccoa"	""	"CE5159"	""	"m00025p"	""	"C16532"	"LMFA07050058"	"MNXM13000;MNXM5851"	"24892792"	"nrvnccoa"	"m00025p"	"MAM00025"
"MAM00025r"	"nrvnccoa"	""	"CE5159"	""	"m00025r"	""	"C16532"	"LMFA07050058"	"MNXM13000;MNXM5851"	"24892792"	"nrvnccoa"	"m00025r"	"MAM00025"
"MAM00026m"	""	""	"CE6186"	""	"m00026m"	""	""	""	"MNXM33779"	""	"CE6186"	"m00026m"	"MAM00026"
"MAM00026x"	""	""	"CE6186"	""	"m00026p"	""	""	""	"MNXM33779"	""	"CE6186"	"m00026p"	"MAM00026"
"MAM00027x"	""	""	"CE6191"	""	"m00027p"	""	""	""	"MNXM33780"	"53481494"	"CE6191"	"m00027p"	"MAM00027"
"MAM00028c"	""	"CHEBI:81563"	"CE7090"	""	"m00028c"	""	""	""	"MNXM33782"	"16061126"	"CE7090"	"m00028c;MAM00029c"	"MAM00028"
"MAM00030c"	""	"CHEBI:82558"	""	""	"m00030c"	""	"C19559"	""	"MNXM13488"	""	"M00030"	"m00030c"	"MAM00030"
"MAM00031c"	""	"CHEBI:33995"	""	""	"m00031c"	""	"C14791"	""	"MNXM6499"	""	"M00031"	"m00031c"	"MAM00031"
"MAM00032c"	"onpthl"	"CHEBI:33998"	""	""	"m00032c"	""	"C14786"	""	"MNXM12425;MNXM3390"	"108063"	"onpthl"	"m00032c"	"MAM00032"
"MAM00032e"	"onpthl"	"CHEBI:33998"	""	""	"m00032s"	""	"C14786"	""	"MNXM12425;MNXM3390"	"108063"	"onpthl"	"m00032s"	"MAM00032"
"MAM00033c"	""	"CHEBI:34000"	""	""	"m00033c"	""	"C14792"	""	"MNXM6503"	""	"M00033"	"m00033c"	"MAM00033"
"MAM00034c"	""	"CHEBI:34001"	""	""	"m00034c"	""	"C14787"	""	"MNXM2885"	""	"M00034"	"m00034c"	"MAM00034"
"MAM00035c"	"2425dhvitd3"	"CHEBI:28818"	""	""	"m00035c"	""	"C07712"	"LMST03020273"	"MNXM6763"	""	"2425dhvitd3"	"m00035c"	"MAM00035"
"MAM00035m"	"2425dhvitd3"	"CHEBI:28818"	""	""	"m00035m"	""	"C07712"	"LMST03020273"	"MNXM6763"	""	"2425dhvitd3"	"m00035m"	"MAM00035"
"MAM00035e"	"2425dhvitd3"	"CHEBI:28818"	""	""	"m00035s"	""	"C07712"	"LMST03020273"	"MNXM6763"	""	"2425dhvitd3"	"m00035s"	"MAM00035"
"MAM00036x"	""	"CHEBI:52050"	"CE5168"	""	"m00036p"	""	"C05450"	""	"MNXM732;MNXM827"	"46224537"	"HC01459"	"m00036p"	"MAM00036"
"MAM00037x"	"thcholoylcoa"	"CHEBI:27403"	""	""	"m00037p"	""	"C05448"	""	"MNXM165175;MNXM3395;MNXM560"	"46224536"	"thcholoylcoa"	"m00037p"	"MAM00037"
"MAM00038c"	""	""	""	""	"m00038c"	"HC01597"	"C05754"	""	"MNXM28221"	""	"HC01597"	"m00038c"	"MAM00038"
"MAM00039m"	"dc2coa"	"CHEBI:10723"	""	""	"m00039m"	"HC01414"	"C05275"	"LMFA07050023"	"MNXM580"	"24883423"	"dc2coa"	"m00039m"	"MAM00039"
"MAM00039x"	"dc2coa"	"CHEBI:10723"	""	""	"m00039p"	"HC01414"	"C05275"	"LMFA07050023"	"MNXM580"	"24883423"	"dc2coa"	"m00039p"	"MAM00039"
"MAM00040c"	""	"CHEBI:74692"	"CE2242"	""	"m00040c"	""	""	""	"MNXM97615"	""	"CE2242"	"m00040c"	"MAM00040"
"MAM00040m"	""	"CHEBI:74692"	"CE2242"	""	"m00040m"	""	""	""	"MNXM97615"	""	"CE2242"	"m00040m"	"MAM00040"
"MAM00040x"	""	"CHEBI:74692"	"CE2242"	""	"m00040p"	""	""	""	"MNXM97615"	""	"CE2242"	"m00040p"	"MAM00040"
"MAM00041c"	""	"CHEBI:10725"	""	""	"m00041c"	"HC01601"	"C05758"	""	"MNXM23842"	""	"HC01601"	"m00041c"	"MAM00041"
"MAM00042m"	"dd2coa"	"CHEBI:15471"	""	""	"m00042m"	"HC01078"	"C03221"	"LMFA07050010"	"MNXM642"	"45266564"	"dd2coa"	"m00042m"	"MAM00042"
"MAM00042x"	"dd2coa"	"CHEBI:15471"	""	""	"m00042p"	"HC01078"	"C03221"	"LMFA07050010"	"MNXM642"	"45266564"	"dd2coa"	"m00042p"	"MAM00042"
"MAM00043c"	""	"CHEBI:74691"	"CE2243"	""	"m00043c"	""	""	""	"MNXM163905;MNXM22115"	""	"CE2243"	"m00043c"	"MAM00043"
"MAM00043m"	""	"CHEBI:74691"	"CE2243"	""	"m00043m"	""	""	""	"MNXM163905;MNXM22115"	""	"CE2243"	"m00043m"	"MAM00043"
"MAM00043x"	""	"CHEBI:74691"	"CE2243"	""	"m00043p"	""	""	""	"MNXM163905;MNXM22115"	""	"CE2243"	"m00043p"	"MAM00043"
"MAM00044c"	""	""	""	""	"m00044c"	""	""	""	""	""	"M00044"	"m00044c"	"MAM00044"
"MAM00044m"	""	""	""	""	"m00044m"	""	""	""	""	""	"M00044"	"m00044m"	"MAM00044"
"MAM00045c"	""	""	""	""	"m00045c"	""	""	""	""	""	"M00045"	"m00045c"	"MAM00045"
"MAM00046m"	""	"CHEBI:77551"	""	""	"m00046m"	""	""	""	"MNXM170113"	""	"M00046"	"m00046m"	"MAM00046"
"MAM00047c"	""	""	""	""	"m00047c"	""	""	""	""	""	"M00047"	"m00047c"	"MAM00047"
"MAM00048m"	""	"CHEBI:166980"	""	""	"m00048m"	""	""	""	""	""	"M00048"	"m00048m"	"MAM00048"
"MAM00049c"	""	"CHEBI:74281"	""	""	"m00049c"	""	""	""	"MNXM114303"	""	"M00049"	"m00049c"	"MAM00049"
"MAM00049x"	""	"CHEBI:74281"	""	""	"m00049p"	""	""	""	"MNXM114303"	""	"M00049"	"m00049p"	"MAM00049"
"MAM00050c"	""	""	""	""	"m00050c"	"HC01606"	"C05763"	""	"MNXM29072"	""	"HC01606"	"m00050c"	"MAM00050"
"MAM00051m"	"hdd2coa"	"CHEBI:28935"	""	"HMDB0003945"	"m00051m"	"HC01411"	"C05272"	"LMFA07050020"	"MNXM581"	"46173176"	"hdd2coa"	"m00051m"	"MAM00051"
"MAM00051x"	"hdd2coa"	"CHEBI:28935"	""	"HMDB0003945"	"m00051p"	"HC01411"	"C05272"	"LMFA07050020"	"MNXM581"	"46173176"	"hdd2coa"	"m00051p"	"MAM00051"
"MAM00052c"	""	"CHEBI:10727"	""	""	"m00052c"	"HC01591"	"C05748"	""	"MNXM24502"	""	"HC01591"	"m00052c"	"MAM00052"
"MAM00053m"	""	"CHEBI:28706"	""	""	"m00053m"	"HC01410"	"C05271"	"LMFA07050019"	"MNXM753"	"5280765"	"hx2coa"	"m00053m"	"MAM00053"
"MAM00053x"	""	"CHEBI:28706"	""	""	"m00053p"	"HC01410"	"C05271"	"LMFA07050019"	"MNXM753"	"5280765"	"hx2coa"	"m00053p"	"MAM00053"
"MAM00054c"	""	""	""	""	"m00054c"	""	""	""	""	""	"M00054"	"m00054c"	"MAM00054"
"MAM00054m"	""	""	""	""	"m00054m"	""	""	""	""	""	"M00054"	"m00054m"	"MAM00054"
"MAM00055c"	""	""	""	""	"m00055c"	""	""	""	""	""	"M00055"	"m00055c"	"MAM00055"
"MAM00056m"	""	"CHEBI:76292"	""	""	"m00056m"	""	""	""	"MNXM170116"	""	"M00056"	"m00056m"	"MAM00056"
"MAM00057c"	"od2coa"	"CHEBI:50570"	""	"HMDB0006529"	"m00057c"	""	"C16218"	"LMFA07050385"	"MNXM954"	"53477850"	"od2coa"	"m00057c"	"MAM00057"
"MAM00057m"	"od2coa"	"CHEBI:50570"	""	"HMDB0006529"	"m00057m"	""	"C16218"	"LMFA07050385"	"MNXM954"	"53477850"	"od2coa"	"m00057m"	"MAM00057"
"MAM00057x"	"od2coa"	"CHEBI:50570"	""	"HMDB0006529"	"m00057p"	""	"C16218"	"LMFA07050385"	"MNXM954"	"53477850"	"od2coa"	"m00057p"	"MAM00057"
"MAM00058c"	""	""	""	""	"m00058c"	"HC01594"	"C05751"	""	"MNXM23766"	""	"HC01594"	"m00058c"	"MAM00058"
"MAM00059m"	""	"CHEBI:27537"	""	""	"m00059m"	"HC01415"	"C05276"	"LMFA07050024"	"MNXM784"	"46173358"	"HC01415"	"m00059m"	"MAM00059"
"MAM00059x"	""	"CHEBI:27537"	""	""	"m00059p"	"HC01415"	"C05276"	"LMFA07050024"	"MNXM784"	"46173358"	"HC01415"	"m00059p"	"MAM00059"
"MAM00060c"	""	""	""	""	"m00060c"	""	""	""	""	""	"M00060"	"m00060c"	"MAM00060"
"MAM00061m"	""	"CHEBI:77545"	""	""	"m00061m"	""	""	""	"MNXM146674"	""	"M00061"	"m00061m"	"MAM00061"
"MAM00062c"	""	""	""	""	"m00062c"	""	""	""	""	""	"M00062"	"m00062c"	"MAM00062"
"MAM00063m"	""	"CHEBI:86160"	""	""	"m00063m"	""	""	""	"MNXM20340"	""	"M00063"	"m00063m"	"MAM00063"
"MAM00064c"	""	"CHEBI:74693"	"CE2245"	""	"m00064c"	""	""	""	"MNXM165192;MNXM97616"	""	"CE2245"	"m00064c"	"MAM00064"
"MAM00064x"	""	"CHEBI:74693"	"CE2245"	""	"m00064p"	""	""	""	"MNXM165192;MNXM97616"	""	"CE2245"	"m00064p"	"MAM00064"
"MAM00065c"	""	"CHEBI:10735"	""	""	"m00065c"	"HC01603"	"C05760"	""	"MNXM24297"	""	"HC01603"	"m00065c"	"MAM00065"
"MAM00066m"	""	"CHEBI:27721"	""	""	"m00066m"	"HC01412"	"C05273"	"LMFA07050021"	"MNXM654"	""	"HC01412"	"m00066m"	"MAM00066"
"MAM00066x"	""	"CHEBI:27721"	""	""	"m00066p"	"HC01412"	"C05273"	"LMFA07050021"	"MNXM654"	""	"HC01412"	"m00066p"	"MAM00066"
"MAM00067c"	""	"CHEBI:90119"	""	""	"m00067c"	""	""	""	"MNXM163027"	""	"M00067"	"m00067c"	"MAM00067"
"MAM00068c"	""	""	""	""	"m00068c"	""	""	""	""	""	"M00068"	"m00068c"	"MAM00068"
"MAM00069m"	""	""	""	""	"m00069m"	""	""	""	""	""	"M00069"	"m00069m"	"MAM00069"
"MAM00070c"	""	""	""	""	"m00070c"	""	""	""	""	""	"M00070"	"m00070c"	"MAM00070"
"MAM00071m"	""	"CHEBI:77548"	""	""	"m00071m"	""	""	""	"MNXM170117"	""	"M00071"	"m00071m"	"MAM00071"
"MAM00072m"	""	""	"CE2441"	""	"m00072m"	""	""	""	""	""	"CE2441"	"m00072m"	"MAM00072"
"MAM00072x"	""	""	"CE2441"	""	"m00072p"	""	""	""	""	""	"CE2441"	"m00072p"	"MAM00072"
"MAM00073m"	""	""	"CE2437"	""	"m00073m"	""	""	""	""	""	"CE2437"	"m00073m"	"MAM00073"
"MAM00073x"	""	""	"CE2437"	""	"m00073p"	""	""	""	""	""	"CE2437"	"m00073p"	"MAM00073"
"MAM00074c"	""	""	"CE4835"	""	"m00074c"	""	""	""	"MNXM145822"	""	"CE4835"	"m00074c"	"MAM00074"
"MAM00075x"	""	"CHEBI:20067"	"CE5126"	""	"m00075p"	""	""	"LMFA07050065"	"MNXM108213;MNXM35866"	""	"CE5126"	"m00075p"	"MAM00075"
"MAM00076x"	""	""	"CE5936"	""	"m00076p"	""	""	""	""	""	"CE5936"	"m00076p"	"MAM00076"
"MAM00078x"	"CE5125"	"CHEBI:64039"	"CE5125"	""	"m00078p"	""	""	"LMFA07050064"	"MNXM30947"	""	"CE5125"	"m00078p"	"MAM00078"
"MAM00079x"	""	""	"CE5941"	""	"m00079p"	""	""	""	"MNXM30996"	"53481417"	"CE5941"	"m00079p"	"MAM00079"
"MAM00080x"	""	""	"CE5935"	""	"m00080p"	""	""	""	"MNXM30997"	"53481419"	"CE5935"	"m00080p"	"MAM00080"
"MAM00081m"	""	""	"CE2418"	""	"m00081m"	""	""	""	"MNXM31113"	"53481423"	"CE2418"	"m00081m"	"MAM00081"
"MAM00081x"	""	""	"CE2418"	""	"m00081p"	""	""	""	"MNXM31113"	"53481423"	"CE2418"	"m00081p"	"MAM00081"
"MAM00082m"	""	""	"CE2420"	""	"m00082m"	""	""	""	"MNXM31119"	"53481428"	"CE2420"	"m00082m"	"MAM00082"
"MAM00082x"	""	""	"CE2420"	""	"m00082p"	""	""	""	"MNXM31119"	"53481428"	"CE2420"	"m00082p"	"MAM00082"
"MAM00083m"	""	""	"CE2421"	""	"m00083m"	""	""	""	"MNXM31120"	"53481430"	"CE2421"	"m00083m"	"MAM00083"
"MAM00083x"	""	""	"CE2421"	""	"m00083p"	""	""	""	"MNXM31120"	"53481430"	"CE2421"	"m00083p"	"MAM00083"
"MAM00084m"	"citmcoa__L"	"CHEBI:36882"	""	"HMDB0006345"	"m00084m"	""	"C01011"	""	"MNXM1251;MNXM163785"	"53477827"	"citmcoa_L"	"m00084m"	"MAM00084"
"MAM00085c"	""	""	""	""	"m00085c"	""	""	""	""	""	"M00085"	"m00085c"	"MAM00085"
"MAM00086c"	""	""	""	""	"m00086c"	""	""	""	""	""	"M00086"	"m00086c"	"MAM00086"
"MAM00087c"	""	""	"CE4840"	""	"m00087c"	""	""	""	"MNXM163965"	""	"CE4840"	"m00087c"	"MAM00087"
"MAM00088m"	"dd3coa"	"CHEBI:27989"	""	""	"m00088m"	"HC01022"	"C02944"	"LMFA07050009"	"MNXM14550"	"16061154"	"dd3coa"	"m00088m"	"MAM00088"
"MAM00088x"	"dd3coa"	"CHEBI:27989"	""	""	"m00088p"	"HC01022"	"C02944"	"LMFA07050009"	"MNXM14550"	"16061154"	"dd3coa"	"m00088p"	"MAM00088"
"MAM00089m"	""	""	"CE2442"	""	"m00089m"	""	""	""	""	""	"CE2442"	"m00089m"	"MAM00089"
"MAM00089x"	""	""	"CE2442"	""	"m00089p"	""	""	""	""	""	"CE2442"	"m00089p"	"MAM00089"
"MAM00090x"	""	""	"CE5938"	""	"m00090p"	""	""	""	"MNXM31216"	"53481434"	"CE5938"	"m00090p"	"MAM00090"
"MAM00091m"	""	""	"CE2440"	""	"m00091m"	""	""	""	""	""	"CE2440"	"m00091m"	"MAM00091"
"MAM00091x"	""	""	"CE2440"	""	"m00091p"	""	""	""	""	""	"CE2440"	"m00091p"	"MAM00091"
"MAM00092c"	"dcsptn1crn"	""	""	""	"m00092c"	""	""	""	"MNXM8558"	""	"dcsptn1crn"	"m00092c"	"MAM00092"
"MAM00092m"	"dcsptn1crn"	""	""	""	"m00092m"	""	""	""	"MNXM8558"	""	"dcsptn1crn"	"m00092m"	"MAM00092"
"MAM00092r"	"dcsptn1crn"	""	""	""	"m00092r"	""	""	""	"MNXM8558"	""	"dcsptn1crn"	"m00092r"	"MAM00092"
"MAM00093c"	"dcsptn1coa"	""	""	""	"m00093c"	""	"C16173"	"LMFA07050043"	"MNXM3265"	"23724650"	"dcsptn1coa"	"m00093c"	"MAM00093"
"MAM00093m"	"dcsptn1coa"	""	""	""	"m00093m"	""	"C16173"	"LMFA07050043"	"MNXM3265"	"23724650"	"dcsptn1coa"	"m00093m"	"MAM00093"
"MAM00093x"	"dcsptn1coa"	""	""	""	"m00093p"	""	"C16173"	"LMFA07050043"	"MNXM3265"	"23724650"	"dcsptn1coa"	"m00093p"	"MAM00093"
"MAM00093r"	"dcsptn1coa"	""	""	""	"m00093r"	""	"C16173"	"LMFA07050043"	"MNXM3265"	"23724650"	"dcsptn1coa"	"m00093r"	"MAM00093"
"MAM00094c"	"dcsptn1"	"CHEBI:65136"	""	""	"m00094c"	""	""	"LMFA04000064"	"MNXM11427"	"159656"	"dcsptn1"	"m00094c"	"MAM00094"
"MAM00094l"	"dcsptn1"	"CHEBI:65136"	""	""	"m00094l"	""	""	"LMFA04000064"	"MNXM11427"	"159656"	"dcsptn1"	"m00094l"	"MAM00094"
"MAM00094r"	"dcsptn1"	"CHEBI:65136"	""	""	"m00094r"	""	""	"LMFA04000064"	"MNXM11427"	"159656"	"dcsptn1"	"m00094r"	"MAM00094"
