mets	metBiGGID	metChEBIID	metEHMNID	metHMDBID	metHMR2ID	metHepatoNET1ID	metKEGGID	metLipidMapsID	metMetaNetXID	metPubChemID	metRecon3DID	metRetired	metsNoComp
"MAM00001c"	"carveol"	"CHEBI:15389"	""	""	"m00001c"	""	"C00964"	""	"MNXM45735"	""	"carveol"	"m00001c"	"MAM00001"
"MAM00001e"	"carveol"	"CHEBI:15389"	""	""	"m00001s"	""	"C00964"	""	"MNXM45735"	""	"carveol"	"m00001s"	"MAM00001"
"MAM00002c"	"appnn"	"CHEBI:36740"	""	"HMDB0006525"	"m00002c"	""	"C09880"	""	"MNXM163755"	"6654"	"appnn"	"m00002c"	"MAM00002"
"MAM00002e"	"appnn"	"CHEBI:36740"	""	"HMDB0006525"	"m00002s"	""	"C09880"	""	"MNXM163755"	"6654"	"appnn"	"m00002s"	"MAM00002"
"MAM00003c"	""	"CHEBI:78990"	""	""	"m00003c"	""	""	"LMFA01030283"	"MNXM150165;MNXM27815"	""	"M00003"	"m00003c"	"MAM00003"
"MAM00003l"	""	"CHEBI:78990"	""	""	"m00003l"	""	""	"LMFA01030283"	"MNXM150165;MNXM27815"	""	"M00003"	"m00003l"	"MAM00003"
"MAM00003r"	""	"CHEBI:78990"	""	""	"m00003r"	""	""	"LMFA01030283"	"MNXM150165;MNXM27815"	""	"M00003"	"m00003r"	"MAM00003"
"MAM00003e"	""	"CHEBI:78990"	""	""	"m00003s"	""	""	"LMFA01030283"	"MNXM150165;MNXM27815"	""	"M00003"	"m00003s"	"MAM00003"
"MAM00004c"	""	""	""	""	"m00004c"	""	""	""	"MNXM148601"	""	"M00004"	"m00004c"	"MAM00004"
"MAM00004m"	""	""	""	""	"m00004m"	""	""	""	"MNXM148601"	""	"M00004"	"m00004m"	"MAM00004"
"MAM00004r"	""	""	""	""	"m00004r"	""	""	""	"MNXM148601"	""	"M00004"	"m00004r"	"MAM00004"
"MAM00005c"	""	"CHEBI:34127"	""	""	"m00005c"	""	""	"LMFA03060071"	"MNXM9658"	""	"M00005"	"m00005c"	"MAM00005"
"MAM00006c"	""	""	""	""	"m00006c"	""	""	""	""	""	"M00006"	"m00006c"	"MAM00006"
"MAM00006m"	""	""	""	""	"m00006m"	""	""	""	""	""	"M00006"	"m00006m"	"MAM00006"
"MAM00006r"	""	""	""	""	"m00006r"	""	""	""	""	""	"M00006"	"m00006r"	"MAM00006"
"MAM00007c"	""	"CHEBI:74069"	"CE5151"	""	"m00007c"	""	""	"LMFA07050056"	"MNXM11852"	""	"CE5151"	"m00007c"	"MAM00007"
"MAM00007m"	""	"CHEBI:74069"	"CE5151"	""	"m00007m"	""	""	"LMFA07050056"	"MNXM11852"	""	"CE5151"	"m00007m"	"MAM00007"
"MAM00007x"	""	"CHEBI:74069"	"CE5151"	""	"m00007p"	""	""	"LMFA07050056"	"MNXM11852"	""	"CE5151"	"m00007p"	"MAM00007"
"MAM00007r"	""	"CHEBI:74069"	"CE5151"	""	"m00007r"	""	""	"LMFA07050056"	"MNXM11852"	""	"CE5151"	"m00007r"	"MAM00007"
"MAM00008c"	""	"CHEBI:77220"	""	""	"m00008c"	""	"C16525"	"LMFA01030130"	"MNXM11473"	""	"M00008"	"m00008c"	"MAM00008"
"MAM00008l"	""	"CHEBI:77220"	""	""	"m00008l"	""	"C16525"	"LMFA01030130"	"MNXM11473"	""	"M00008"	"m00008l"	"MAM00008"
"MAM00008r"	""	"CHEBI:77220"	""	""	"m00008r"	""	"C16525"	"LMFA01030130"	"MNXM11473"	""	"M00008"	"m00008r"	"MAM00008"
"MAM00008e"	""	"CHEBI:77220"	""	""	"m00008s"	""	"C16525"	"LMFA01030130"	"MNXM11473"	""	"M00008"	"m00008s"	"MAM00008"
"MAM00009c"	""	"CHEBI:76410"	"CE4843"	""	"m00009c"	""	"C16180"	"LMFA07050036"	"MNXM167435;MNXM6496"	""	"CE4843"	"m00009c"	"MAM00009"
"MAM00009m"	""	"CHEBI:76410"	"CE4843"	""	"m00009m"	""	"C16180"	"LMFA07050036"	"MNXM167435;MNXM6496"	""	"CE4843"	"m00009m"	"MAM00009"
"MAM00009r"	""	"CHEBI:76410"	"CE4843"	""	"m00009r"	""	"C16180"	"LMFA07050036"	"MNXM167435;MNXM6496"	""	"CE4843"	"m00009r"	"MAM00009"
"MAM00010c"	""	"CHEBI:53460"	""	""	"m00010c"	""	"C16522"	"LMFA01030378"	"MNXM8271"	""	"M00010"	"m00010c"	"MAM00010"
"MAM00010l"	""	"CHEBI:53460"	""	""	"m00010l"	""	"C16522"	"LMFA01030378"	"MNXM8271"	""	"M00010"	"m00010l"	"MAM00010"
"MAM00010r"	""	"CHEBI:53460"	""	""	"m00010r"	""	"C16522"	"LMFA01030378"	"MNXM8271"	""	"M00010"	"m00010r"	"MAM00010"
"MAM00010e"	""	"CHEBI:53460"	""	""	"m00010s"	""	"C16522"	"LMFA01030378"	"MNXM8271"	""	"M00010"	"m00010s"	"MAM00010"
"MAM00011c"	""	""	""	""	"m00011c"	""	""	""	""	""	"M00011"	"m00011c"	"MAM00011"
"MAM00011m"	""	""	""	""	"m00011m"	""	""	""	""	""	"M00011"	"m00011m"	"MAM00011"
"MAM00011r"	""	""	""	""	"m00011r"	""	""	""	""	""	"M00011"	"m00011r"	"MAM00011"
"MAM00012c"	""	"CHEBI:74328"	""	""	"m00012c"	""	"C16179"	"LMFA07050044"	"MNXM162872;MNXM6497"	""	"M00012"	"m00012c"	"MAM00012"
"MAM00012m"	""	"CHEBI:74328"	""	""	"m00012m"	""	"C16179"	"LMFA07050044"	"MNXM162872;MNXM6497"	""	"M00012"	"m00012m"	"MAM00012"
"MAM00012r"	""	"CHEBI:74328"	""	""	"m00012r"	""	"C16179"	"LMFA07050044"	"MNXM162872;MNXM6497"	""	"M00012"	"m00012r"	"MAM00012"
"MAM00013c"	"prostg1"	"CHEBI:15548"	""	"HMDB0001320"	"m00013c"	""	"C04654"	""	"MNXM168925;MNXM3139"	"5280710"	"prostg1"	"m00013c"	"MAM00013"
"MAM00014x"	""	"CHEBI:74057"	"CE6229"	""	"m00014p"	""	""	""	"MNXM150224"	"53481472"	"CE6229"	"m00014p"	"MAM00014"
"MAM00015x"	""	""	"CE6228"	""	"m00015p"	""	""	""	"MNXM33354"	"53481473"	"CE6228"	"m00015p"	"MAM00015"
"MAM00016c"	""	""	"CE5155"	""	"m00016c"	""	"C16531"	"LMFA07050057"	"MNXM11430;MNXM162947"	""	"CE5155"	"m00016c"	"MAM00016"
"MAM00016m"	""	""	"CE5155"	""	"m00016m"	""	"C16531"	"LMFA07050057"	"MNXM11430;MNXM162947"	""	"CE5155"	"m00016m"	"MAM00016"
"MAM00016x"	""	""	"CE5155"	""	"m00016p"	""	"C16531"	"LMFA07050057"	"MNXM11430;MNXM162947"	""	"CE5155"	"m00016p"	"MAM00016"
"MAM00016r"	""	""	"CE5155"	""	"m00016r"	""	"C16531"	"LMFA07050057"	"MNXM11430;MNXM162947"	""	"CE5155"	"m00016r"	"MAM00016"
"MAM00017c"	""	"CHEBI:134479"	""	""	"m00017c"	""	""	"LMFA01030367"	"MNXM24465;MNXM27114"	""	"M00017"	"m00017c"	"MAM00017"
"MAM00017l"	""	"CHEBI:134479"	""	""	"m00017l"	""	""	"LMFA01030367"	"MNXM24465;MNXM27114"	""	"M00017"	"m00017l"	"MAM00017"
"MAM00017r"	""	"CHEBI:134479"	""	""	"m00017r"	""	""	"LMFA01030367"	"MNXM24465;MNXM27114"	""	"M00017"	"m00017r"	"MAM00017"
"MAM00017e"	""	"CHEBI:134479"	""	""	"m00017s"	""	""	"LMFA01030367"	"MNXM24465;MNXM27114"	""	"M00017"	"m00017s"	"MAM00017"
"MAM00018c"	""	"CHEBI:76563"	""	""	"m00018c"	""	""	""	"MNXM146661"	""	"M00018"	"m00018c"	"MAM00018"
"MAM00018m"	""	"CHEBI:76563"	""	""	"m00018m"	""	""	""	"MNXM146661"	""	"M00018"	"m00018m"	"MAM00018"
"MAM00018x"	""	"CHEBI:76563"	""	""	"m00018p"	""	""	""	"MNXM146661"	""	"M00018"	"m00018p"	"MAM00018"
"MAM00018r"	""	"CHEBI:76563"	""	""	"m00018r"	""	""	""	"MNXM146661"	""	"M00018"	"m00018r"	"MAM00018"
"MAM00019c"	""	"CHEBI:82618"	""	""	"m00019c"	""	""	"LMFA01030290"	"MNXM29438;MNXM33770"	""	"M00019"	"m00019c"	"MAM00019"
"MAM00019l"	""	"CHEBI:82618"	""	""	"m00019l"	""	""	"LMFA01030290"	"MNXM29438;MNXM33770"	""	"M00019"	"m00019l"	"MAM00019"
"MAM00019r"	""	"CHEBI:82618"	""	""	"m00019r"	""	""	"LMFA01030290"	"MNXM29438;MNXM33770"	""	"M00019"	"m00019r"	"MAM00019"
"MAM00019e"	""	"CHEBI:82618"	""	""	"m00019s"	""	""	"LMFA01030290"	"MNXM29438;MNXM33770"	""	"M00019"	"m00019s"	"MAM00019"
"MAM00020c"	""	""	""	""	"m00020c"	""	""	""	""	""	"M00020"	"m00020c"	"MAM00020"
"MAM00020m"	""	""	""	""	"m00020m"	""	""	""	""	""	"M00020"	"m00020m"	"MAM00020"
"MAM00020r"	""	""	""	""	"m00020r"	""	""	""	""	""	"M00020"	"m00020r"	"MAM00020"
"MAM00021c"	""	"CHEBI:77806"	""	""	"m00021c"	""	"C16533"	"LMFA01030405"	"MNXM9691"	""	"M00021"	"m00021c"	"MAM00021"
