rxns	rxnBiGGID	rxnEHMNID	rxnHMR2ID	rxnHepatoNET1ID	rxnKEGGID	rxnMetaNetXID	rxnREACTOMEID	rxnRatconID	rxnRecon3DID	rxnRetired	rxnRheaID	rxnRheaMasterID	rxnTCDBID	spontaneous
"MAR03905"	"ALCD2x"	"R00754C"	"HMR_3905"	"r0187"	"R00754"	"MNXR95725"	""	"RCR11018"	"ALCD2if"	"HMR_3905"	"RHEA:25291"	"RHEA:25290"	""	0
"MAR03907"	"ALCD2y"	""	"HMR_3907"	""	"R00746"	"MNXR95726"	""	"RCR11019"	"ALCD2yf"	"HMR_3907"	""	""	""	0
"MAR04097"	"ACS"	"R00235C"	"HMR_4097"	"r0066"	"R00235"	"MNXR95413"	""	"RCR10002"	"ACS"	"HMR_4097"	"RHEA:23177"	"RHEA:23176"	""	0
"MAR04099"	"ACSm"	"R00235C"	"HMR_4099"	"r0067"	"R00235"	"MNXR95413"	""	"RCR10144"	"ACSm"	"HMR_4099"	"RHEA:23177"	"RHEA:23176"	""	0
"MAR04108"	""	"R00236C"	"HMR_4108"	"r0068"	"R00236"	"MNXR105304"	""	"RCR11020"	"r0068"	"HMR_4108"	""	""	""	0
"MAR04133"	""	"R00316C"	"HMR_4133"	"r0097"	"R00316"	"MNXR105307"	""	"RCR11021"	"r0097"	"HMR_4133"	""	""	""	0
"MAR04281"	""	"R00703C"	"HMR_4281"	"r0173"	"R00703"	"MNXR101040"	""	"RCR10083"	"r0173"	"HMR_4281"	""	"RHEA:23444"	""	0
"MAR04388"	"LDH_L"	"R00703C"	"HMR_4388"	"r0171"	"R00703"	"MNXR101040"	""	"RCR10441"	"LDH_L"	"HMR_4388"	""	"RHEA:23444"	""	0
"MAR04283"	""	"R00711C"	"HMR_4283"	"r0177"	"R00711"	"MNXR95750"	""	"RCR11022"	"ALDD2y"	"HMR_4283"	"RHEA:25299"	"RHEA:25298"	""	0
"MAR08357"	"ALDD2xm"	""	"HMR_8357"	""	"R00710"	"MNXR106570;MNXR95749"	""	"RCR11023"	"ALDD2xm"	"HMR_8357"	"RHEA:25295"	"RHEA:25294"	""	0
"MAR04379"	"PFK"	""	"HMR_4379"	"r0736"	"R00756"	"MNXR102507;MNXR106666"	""	"RCR14180"	"PFK"	"HMR_4379"	""	"RHEA:16109"	""	0
