rxns	rxnBiGGID	rxnEHMNID	rxnHMR2ID	rxnHepatoNET1ID	rxnKEGGID	rxnMetaNetXID	rxnREACTOMEID	rxnRatconID	rxnRecon3DID	rxnRetired	rxnRheaID	rxnRheaMasterID	rxnTCDBID	spontaneous
"MAR04301"	""	""	"HMR_4301"	"r0191"	"R00769"	"MNXR105312;MNXR106676"	""	"RCR14181"	"r0191"	"HMR_4301"	""	""	""	0
"MAR04355"	""	"R01829C"	"HMR_4355"	"r0407"	"R01829"	"MNXR105337;MNXR99461"	""	"RCR14182"	"r0407"	"HMR_4355"	""	"RHEA:30167"	""	0
"MAR04358"	"PYK"	"R00200C"	"HMR_4358"	"r0054"	"R00200"	"MNXR103371"	""	"RCR10276"	"PYK"	"HMR_4358"	"RHEA:18159"	"RHEA:18157"	""	0
"MAR04363"	"ENO"	"R00658C"	"HMR_4363"	"r0164"	"R00658"	"MNXR97932"	""	"RCR10443"	"ENO"	"HMR_4363"	""	"RHEA:10164"	""	0
"MAR04365"	"PGM"	"R01518C"	"HMR_4365"	"r0341"	"R01518"	"MNXR102547"	""	"RCR10444"	"PGM"	"HMR_4365"	""	"RHEA:15901"	""	0
"MAR04368"	"PGK"	"R01512C"	"HMR_4368"	"r0337"	"R01512"	"MNXR102538"	""	"RCR10230"	"PGK"	"HMR_4368"	""	"RHEA:14801"	""	0
"MAR04370"	"ACYP"	""	"HMR_4370"	""	"R01515"	"MNXR95410"	""	"RCR10445"	"ACYP"	"HMR_4370"	""	""	""	0
"MAR04371"	""	""	"HMR_4371"	""	"R01662"	"MNXR107112"	""	"RCR11025"	"DPGM"	"HMR_4371"	""	"RHEA:17765"	""	0
"MAR04372"	""	""	"HMR_4372"	""	"R01516"	"MNXR107035"	""	"RCR11026"	"DPGase"	"HMR_4372"	""	"RHEA:21904"	""	0
"MAR04373"	"GAPD"	"R01061C"	"HMR_4373"	"r0253"	"R01061"	"MNXR100040"	""	"RCR11027"	"GAPD"	"HMR_4373"	""	"RHEA:10300"	""	0
"MAR04375"	"FBA"	""	"HMR_4375"	"r0256"	"R01068"	"MNXR99459"	""	"RCR14183"	"FBA"	"HMR_4375"	""	"RHEA:14729"	""	0
"MAR04377"	"FBP"	"R00762C"	"HMR_4377"	"r0487"	"R00762"	"MNXR106670;MNXR99465"	""	"RCR14184"	"FBP"	"HMR_4377"	""	"RHEA:11064"	""	0
"MAR04381"	"PGI"	""	"HMR_4381"	"r0192"	"R00771"	"MNXR102535;MNXR106678"	""	"RCR14185"	"PGI"	"HMR_4381"	""	"RHEA:11816"	""	0
"MAR04391"	"TPI"	"R01015C"	"HMR_4391"	"r0243"	"R01015"	"MNXR104918"	""	"RCR14186"	"TPI"	"HMR_4391"	""	"RHEA:18585"	""	0
"MAR04394"	"HEX1"	""	"HMR_4394"	"r0353"	"R00299"	"MNXR100612"	""	"RCR10145"	"HEX1"	"HMR_4394"	""	"RHEA:17825"	""	0
"MAR04396"	"PGMT"	"R00959C"	"HMR_4396"	"r0621"	"R08639"	"MNXR102528;MNXR102548"	""	"RCR10146"	"PGMT"	"HMR_4396"	""	""	""	0
"MAR04521"	"G6PPer"	""	"HMR_4521"	"r0396"	"R00303"	"MNXR99912"	""	"RCR11028"	"G6PPer"	"HMR_4521"	""	"RHEA:16689"	""	0
"MAR06412"	""	"R02569C"	"HMR_6412"	"r0555"	"R02569"	"MNXR102430;MNXR107584"	""	"RCR14187"	"r0555"	"HMR_6412"	""	"RHEA:17017"	""	0
"MAR07745"	""	""	"HMR_7745"	""	"R01602"	"MNXR107082"	""	"RCR10447"	"HMR_7745"	"HMR_7745"	"RHEA:10267"	"RHEA:10264"	""	0
"MAR07747"	""	""	"HMR_7747"	""	"R09086"	"MNXR112530"	""	"RCR10449"	"HMR_7747"	"HMR_7747"	"RHEA:11460"	"RHEA:11461"	""	0
"MAR08360"	"CAt7r"	""	"HMR_8360"	""	""	"MNXR96461"	""	"RCR11029"	"CAT2p"	"HMR_8360"	""	""	""	0
"MAR08652"	"CBPS"	""	"HMR_8652"	""	""	"MNXR96485"	""	"RCR11030"	"CBPPer"	"HMR_8652"	""	""	""	0
"MAR08757"	"ETOHtx"	""	"HMR_8757"	""	""	"MNXR97980"	""	"RCR11031"	"ETOHMO"	"HMR_8757"	""	""	""	0
"MAR03989"	"MALTe"	""	"HMR_3989"	"r0014"	"R00028"	"MNXR101350"	""	"RCR30246"	"MALTe"	"HMR_3989"	""	"RHEA:68796"	""	0
"MAR04122"	"UDPGD"	"R00286C"	"HMR_4122"	"r0092"	"R00286"	"MNXR105063"	""	"RCR14189"	"UDPGD"	"HMR_4122"	""	"RHEA:23596"	""	0
"MAR04837"	"TREHe"	"R00010C"	"HMR_4837"	"r0785"	"R00010"	"MNXR95163"	""	"RCR30496"	"TREHe"	"HMR_4837"	""	"RHEA:32675"	""	0
"MAR05395"	""	""	"HMR_5395"	"r1387"	"R03681"	""	""	"RCR14190"	"HMR_5395;GGNG"	"HMR_5395"	""	"RHEA:23360"	""	0
"MAR05396"	"GLGNS1"	""	"HMR_5396"	"r1388"	""	"MNXR100244"	""	"RCR14191"	"GLGNS1"	"HMR_5396"	""	""	""	0
"MAR09727"	""	""	"HMR_9727"	""	""	""	""	"RCR14192"	"HMR_9727"	"HMR_9727"	""	""	""	0
"MAR05397"	"GLBRAN"	""	"HMR_5397"	"r1389"	""	"MNXR100154"	""	"RCR11032"	"GLBRAN"	"HMR_5397"	""	""	""	0
"MAR05398"	"GLPASE1"	""	"HMR_5398"	"r1390"	""	"MNXR100265"	""	"RCR11033"	"GLPASE1"	"HMR_5398"	""	""	""	0
"MAR05399"	""	""	"HMR_5399"	"r1391"	""	"MNXR105467"	""	"RCR11034"	"r1391"	"HMR_5399"	""	""	""	0
"MAR05400"	""	""	"HMR_5400"	"r1392"	""	"MNXR105468"	""	"RCR11035"	"r1392"	"HMR_5400"	""	""	""	0
"MAR05401"	""	""	"HMR_5401"	"r1393"	""	""	""	"RCR11036"	"r1393"	"HMR_5401"	""	""	""	0
"MAR08568"	""	"RE0958"	"HMR_8568"	""	""	"MNXR103496"	""	"RCR11037"	"RE0958C"	"HMR_8568"	""	""	""	0
"MAR08569"	""	"RE0958"	"HMR_8569"	""	""	"MNXR103497"	""	"RCR30247"	"RE0958E"	"HMR_8569"	""	""	""	0
"MAR08570"	""	"RE0951"	"HMR_8570"	""	""	"MNXR158862"	""	"RCR11038"	"HMR_8570"	"HMR_8570"	""	""	""	0
"MAR08571"	""	"RE0951"	"HMR_8571"	""	""	"MNXR158863"	""	"RCR30248"	"HMR_8571"	"HMR_8571"	""	""	""	0
"MAR08572"	""	"RE0944"	"HMR_8572"	""	""	"MNXR103495"	""	"RCR11039"	"HMR_8572;RE0944C"	"HMR_8572"	""	""	""	0
"MAR08573"	""	"RE0944"	"HMR_8573"	""	""	"MNXR145626"	""	"RCR30249"	"HMR_8573;RE0944E"	"HMR_8573"	""	""	""	0
"MAR08574"	""	"RE0935"	"HMR_8574"	""	""	"MNXR103491"	""	"RCR11040"	"HMR_8574;RE0935C"	"HMR_8574"	""	""	""	0
"MAR08575"	""	"RE0935"	"HMR_8575"	""	""	"MNXR101622"	""	"RCR30250"	"HMR_8575;RE0935E"	"HMR_8575"	""	""	""	0
"MAR08576"	""	"RE0926"	"HMR_8576"	""	""	"MNXR103488"	""	"RCR11041"	"HMR_8576;RE0926C"	"HMR_8576"	""	""	""	0
"MAR08577"	""	"RE0926"	"HMR_8577"	""	""	"MNXR101621"	""	"RCR30251"	"HMR_8577;RE0926E"	"HMR_8577"	""	""	""	0
"MAR08578"	""	"RE0915"	"HMR_8578"	""	""	"MNXR103479"	""	"RCR11042"	"HMR_8578;RE0915C"	"HMR_8578"	""	""	""	0
"MAR08579"	""	"RE0915"	"HMR_8579"	""	""	"MNXR101620"	""	"RCR30252"	"HMR_8579;RE0915E"	"HMR_8579"	""	""	""	0
"MAR08581"	""	"RE0905"	"HMR_8581"	""	""	""	""	"RCR30253"	"MLTG1e"	"HMR_8581"	""	""	""	0
"MAR08591"	"MLTG1"	""	"HMR_8591"	""	""	"MNXR101619"	""	"RCR11043"	"MLTG1"	"HMR_8591"	""	""	""	0
"MAR08592"	"MLTG1ly"	""	"HMR_8592"	""	""	"MNXR101619"	""	"RCR10450"	"MLTG1ly"	"HMR_8592"	""	""	""	0
"MAR08580"	""	"RE0905"	"HMR_8580"	""	""	""	""	"RCR11044"	"HMR_8580"	"HMR_8580"	""	""	""	0
"MAR08582"	""	"RE0446"	"HMR_8582"	""	""	""	""	"RCR10451"	"HMR_8582"	"HMR_8582"	""	""	""	0
"MAR08587"	"MALT"	""	"HMR_8587"	""	"R00028"	"MNXR101350"	""	"RCR10452"	"MALT"	"HMR_8587"	""	"RHEA:68796"	""	0
"MAR08589"	"MALTly"	""	"HMR_8589"	""	"R00028"	"MNXR101350"	""	"RCR10231"	"MALTly"	"HMR_8589"	""	"RHEA:68796"	""	0
"MAR08583"	"AMY1e"	""	"HMR_8583"	""	"R01790"	"MNXR107171;MNXR95832"	""	"RCR30254"	"AMY1e"	"HMR_8583"	""	""	""	0
"MAR08584"	"O16G2e"	""	"HMR_8584"	""	""	"MNXR102084"	""	"RCR30255"	"O16G2e"	"HMR_8584"	""	""	""	0
"MAR08585"	""	""	"HMR_8585"	""	"R01660"	"MNXR107111"	""	"RCR11045"	"HMR_8585"	"HMR_8585"	"RHEA:16770"	"RHEA:16769"	""	0
"MAR03944"	"GALUi"	"R00289C"	"HMR_3944"	"r0094"	"R00289"	"MNXR100022"	""	"RCR14193"	"GALU"	"HMR_3944"	""	"RHEA:19889"	""	0
"MAR04128"	"UDPG4E"	"R00291C"	"HMR_4128"	"r0095"	"R00291"	"MNXR105057"	""	"RCR14194"	"UDPG4E"	"HMR_4128"	""	"RHEA:22168"	""	0
"MAR04130"	"GALKr"	""	"HMR_4130"	""	""	"MNXR99985"	""	"RCR10453"	"GALK"	"HMR_4130"	""	""	""	0
"MAR04131"	"UGLT"	""	"HMR_4131"	""	"R00955"	"MNXR105090"	""	"RCR14195"	"UGLT"	"HMR_4131"	""	"RHEA:13989"	""	0
"MAR04132"	""	"R00955C"	"HMR_4132"	"r0233"	"R00955"	"MNXR105090"	""	"RCR14196"	"UGLT"	"HMR_4132"	""	"RHEA:13989"	""	0
"MAR04303"	"SUCRe"	"R00801C"	"HMR_4303"	"r0194"	"R00801"	"MNXR104638"	""	"RCR30256"	"SUCRe"	"HMR_4303"	""	""	""	0
"MAR04414"	""	"R01092C"	"HMR_4414"	"r0265"	"R01092"	"MNXR99985"	""	"RCR10454"	"GALK"	"HMR_4414"	""	"RHEA:13553"	""	0
"MAR04415"	"LACZe"	"R01100C"	"HMR_4415"	"r0266"	"R01100"	"MNXR101000"	""	"RCR30497"	"LACZe"	"HMR_4415"	""	"RHEA:10076"	""	0
"MAR04416"	""	"R01104C"	"HMR_4416"	"r0627"	"R01104"	"MNXR100115"	""	"RCR30257"	"r0627"	"HMR_4416"	""	""	""	0
"MAR04774"	""	"R03237C"	"HMR_4774"	"r0610"	"R03237"	"MNXR105355;MNXR108039"	""	"RCR11046"	"r0610"	"HMR_4774"	""	""	""	0
"MAR04775"	""	"R03239C"	"HMR_4775"	"r0611"	"R03239"	"MNXR105356;MNXR108041"	""	"RCR14197"	"r0611"	"HMR_4775"	""	""	""	0
"MAR04831"	""	""	"HMR_4831"	""	"R01680"	"MNXR107115"	""	"RCR30498"	"HMR_4831"	"HMR_4831"	""	""	""	0
"MAR04832"	""	"R04783C"	"HMR_4832"	"r0737"	"R04783"	"MNXR105374;MNXR109113"	""	"RCR30499"	"r0737"	"HMR_4832"	""	""	""	0
"MAR07674"	"UGALGTg"	""	"HMR_7674"	""	"R00503"	"MNXR105080"	""	"RCR11047"	"UGALGTg"	"HMR_7674"	""	"RHEA:12404"	""	0
"MAR08761"	"KHK3"	""	"HMR_8761"	""	"R02927"	"MNXR100938"	""	"RCR11048"	"HMR_8761"	"HMR_8761"	""	"RHEA:15513"	""	0
"MAR08762"	"FBP26"	""	"HMR_8762"	""	""	"MNXR99466"	""	"RCR14198"	"HMR_8762"	"HMR_8762"	""	""	""	0
"MAR08764"	"LACZly"	""	"HMR_8764"	""	"R06114"	"MNXR101000"	""	"RCR10278"	"LACZly"	"HMR_8764"	""	""	""	0
"MAR08766"	"GALSIDEtl"	""	"HMR_8766"	""	"R01095"	"MNXR100012"	""	"RCR11049"	"GALOR"	"HMR_8766"	""	"RHEA:37967"	""	0
"MAR08767"	"GALt2_2"	""	"HMR_8767"	""	"R00502"	"MNXR100027"	""	"RCR11050"	"GALT"	"HMR_8767"	""	"RHEA:14209"	""	0
"MAR00454"	"TRIOK"	""	"HMR_0454"	"r0252"	"R01059"	"MNXR104940"	""	"RCR11051"	"TRIOK"	"HMR_0454"	""	"RHEA:13941"	""	0
"MAR04297"	"PFK26"	""	"HMR_4297"	"r0188"	"R00757"	"MNXR102508"	""	"RCR14199"	"PFK26"	"HMR_4297"	""	""	""	0
"MAR04310"	"KHK"	"R00866C"	"HMR_4310"	"r0206"	"R00866"	"MNXR100936"	""	"RCR11052"	"KHK"	"HMR_4310"	""	"RHEA:18145"	""	0
"MAR04315"	""	""	"HMR_4315"	""	"R00875"	"MNXR104283"	""	"RCR14200"	"SBTD_D2"	"HMR_4315"	""	"RHEA:33031"	""	0
"MAR04316"	""	""	"HMR_4316"	""	"R01787"	"MNXR104287"	""	"RCR14201"	"SBTR"	"HMR_4316"	""	""	""	0
"MAR04317"	""	"RE2782C"	"HMR_4317"	""	""	"MNXR103725"	""	"RCR14202"	"RE2782C"	"HMR_4317"	""	""	""	0
"MAR04318"	""	"RE2783"	"HMR_4318"	""	""	""	""	"RCR10279"	"HMR_4318"	"HMR_4318"	""	""	""	0
"MAR04319"	"HEX7"	""	"HMR_4319"	"r0356"	"R00760"	"MNXR100614"	""	"RCR14203"	"HEX7"	"HMR_4319"	""	"RHEA:16125"	""	0
"MAR04320"	""	"RE1508C"	"HMR_4320"	""	""	"MNXR103514"	""	"RCR10232"	"RE1508C"	"HMR_4320"	""	""	""	0
"MAR04356"	"FBA2"	"R02568C"	"HMR_4356"	"r0554"	"R02568"	"MNXR99460"	""	"RCR14204"	"FBA2"	"HMR_4356"	""	"RHEA:30851"	""	0
"MAR04383"	"MAN6PI"	"R00772C"	"HMR_4383"	"r0405"	"R00772"	"MNXR101382;MNXR106679"	""	"RCR14205"	"MAN6PI"	"HMR_4383"	""	"RHEA:12356"	""	0
"MAR04385"	"PMANM"	"R01818C"	"HMR_4385"	"r0404"	"R01818"	"MNXR101729"	""	"RCR10147"	"PMANM"	"HMR_4385"	""	"RHEA:11140"	""	0
"MAR04386"	"MAN1PT2"	"R00883C"	"HMR_4386"	"r0207"	"R00883"	"MNXR101376"	""	"RCR10455"	"MAN1PT2"	"HMR_4386"	""	"RHEA:12905"	""	0
"MAR04387"	""	""	"HMR_4387"	"r0208"	"R00885"	"MNXR101375"	""	"RCR10456"	"r0208"	"HMR_4387"	""	"RHEA:15229"	""	0
"MAR04399"	"GMAND"	"R00888C"	"HMR_4399"	"r0209"	"R00888"	"MNXR100377"	""	"RCR10457"	"GMAND"	"HMR_4399"	""	"RHEA:23820"	""	0
"MAR04400"	""	"R05692C"	"HMR_4400"	"r0782"	"R05692"	"MNXR100108;MNXR105384"	""	"RCR10148"	"r0782"	"HMR_4400"	""	"RHEA:18885"	""	0
"MAR04401"	"F1PGT"	"R01951C"	"HMR_4401"	"r0452"	"R01951"	"MNXR99061"	""	"RCR14206"	"F1PGT"	"HMR_4401"	""	"RHEA:13549"	""	0
"MAR04402"	"FK"	"R03161C"	"HMR_4402"	"r0597"	"R03161"	"MNXR107992;MNXR99595"	""	"RCR14207"	"FK"	"HMR_4402"	""	"RHEA:13241"	""	0
"MAR04403"	""	""	"HMR_4403"	"r0598"	"R03163"	"MNXR107994;MNXR99468"	""	"RCR11053"	"r0598"	"HMR_4403"	""	"RHEA:17233"	""	0
"MAR04490"	"HEX4"	""	"HMR_4490"	"r0359"	"R01326"	"MNXR95795"	""	"RCR10024"	"HEX4"	"HMR_4490"	""	"RHEA:11028"	""	0
"MAR04706"	"FBP26"	""	"HMR_4706"	"r0567"	"R00763"	"MNXR106671;MNXR99466"	""	"RCR14208"	"FBP26"	"HMR_4706"	""	"RHEA:17289"	""	0
"MAR08768"	"GFUCS"	""	"HMR_8768"	""	"R05692"	"MNXR100108"	""	"RCR11054"	"GFUCS"	"HMR_8768"	""	"RHEA:18885"	""	0
"MAR04590"	"XYLUR"	"R01904C"	"HMR_4590"	"r0427"	"R01904"	"MNXR105265"	""	"RCR11055"	"XYLUR"	"HMR_4590"	"RHEA:17027"	"RHEA:17025"	""	0
"MAR04591"	""	""	"HMR_4591"	"r0784"	"R05831"	"MNXR105262"	""	"RCR10280"	"XYLTD_Dr;r0784"	"HMR_4591"	""	""	""	0
"MAR04592"	""	""	"HMR_4592"	""	"R01431"	"MNXR105261"	""	"RCR11056"	"HMR_4592"	"HMR_4592"	"RHEA:27448"	"RHEA:27445"	""	0
"MAR04593"	""	""	"HMR_4593"	""	"R01896"	"MNXR105262"	""	"RCR11057"	"XYLTD_Dr;r0784"	"HMR_4593"	"RHEA:20434"	"RHEA:20433"	""	0
"MAR04594"	""	""	"HMR_4594"	""	"R01430"	"MNXR105257"	""	"RCR11058"	"HMR_4594"	"HMR_4594"	""	"RHEA:22000"	""	0
"MAR04595"	""	""	"HMR_4595"	""	"R01639"	"MNXR105255"	""	"RCR14209"	"XYLK"	"HMR_4595"	""	"RHEA:10964"	""	0
"MAR08341"	"ARABR"	""	"HMR_8341"	""	"R01759"	"MNXR95911"	""	"RCR11059"	"ARABR"	"HMR_8341"	""	"RHEA:25229"	""	0
"MAR08342"	"ABTD"	""	"HMR_8342"	""	"R01903"	"MNXR95187"	""	"RCR11060"	"ABTD"	"HMR_8342"	""	"RHEA:16381"	""	0
"MAR08344"	"GULNDer"	""	"HMR_8344"	""	"R01481"	"MNXR100472"	""	"RCR11061"	"GULNDer"	"HMR_8344"	""	"RHEA:14909"	""	0
"MAR08352"	"GULN3D"	""	"HMR_8352"	""	"R02640"	"MNXR100471"	""	"RCR11062"	"GULN3D"	"HMR_8352"	"RHEA:12892"	"RHEA:12889"	""	0
"MAR08353"	"DHAPAx"	""	"HMR_8353"	""	"R01905"	"MNXR97362"	""	"RCR11063"	"DGULND"	"HMR_8353"	"RHEA:11087"	"RHEA:11084"	""	0
"MAR08726"	"RBK_Dr"	""	"HMR_8726"	""	"R01526"	"MNXR103432"	""	"RCR11064"	"RBK_D"	"HMR_8726"	""	"RHEA:17601"	""	0
"MAR08727"	"UDPG1P"	""	"HMR_8727"	""	""	"MNXR105055"	""	"RCR10458"	"UDPG1P"	"HMR_8727"	""	""	""	0
"MAR08728"	"GUR1PP"	""	"HMR_8728"	""	""	"MNXR100480"	""	"RCR10459"	"GUR1PP"	"HMR_8728"	""	""	""	0
"MAR08729"	"UDPGNP"	""	"HMR_8729"	""	"R08615"	"MNXR105069"	""	"RCR10085"	"UDPGNP"	"HMR_8729"	""	"RHEA:26073"	""	0
"MAR06537"	""	"RE0383C"	"HMR_6537"	""	"R01481"	"MNXR100472"	""	"RCR11065"	"RE0383C"	"HMR_6537"	""	"RHEA:14909"	""	0
"MAR01568"	"ALDD2x"	"R00710C"	"HMR_1568"	"r0176"	"R00710"	"MNXR95749"	""	"RCR10149"	"ALDD2x"	"HMR_1568"	"RHEA:25295"	"RHEA:25294"	""	0
"MAR03853"	"LGTHL"	""	"HMR_3853"	""	"R02530"	"MNXR100355"	""	"RCR11066"	"LGTHL"	"HMR_3853"	"RHEA:19071"	"RHEA:19069"	""	0
"MAR03854"	""	""	"HMR_3854"	""	"R02531"	"MNXR95715"	""	"RCR11067"	"ALCD22_L"	"HMR_3854"	""	""	""	0
"MAR03855"	""	""	"HMR_3855"	""	"R02577"	"MNXR107414"	""	"RCR11068"	"HMR_3855"	"HMR_3855"	""	""	""	0
"MAR03857"	"GLYOX"	""	"HMR_3857"	""	"R01736"	"MNXR100353"	""	"RCR11069"	"GLYOX"	"HMR_3857"	""	"RHEA:25245"	""	0
"MAR03859"	"D_LACDcm"	""	"HMR_3859"	""	"R00197"	"MNXR106428"	""	"RCR21043"	"HMR_3859"	"HMR_3859"	""	"RHEA:13521"	""	0
"MAR04087"	"ME1m"	"R00214C"	"HMR_4087"	"r0057"	"R00214"	"MNXR101446"	""	"RCR10281"	"ME1m"	"HMR_4087"	""	"RHEA:12653"	""	0
"MAR04089"	"ME2"	"R00216C"	"HMR_4089"	"r0058"	"R00216"	"MNXR101443"	""	"RCR11070"	"ME2"	"HMR_4089"	""	"RHEA:18253"	""	0
"MAR04091"	"ME2m"	"R00216C"	"HMR_4091"	"r0059"	"R00216"	"MNXR101443"	""	"RCR10282"	"ME2m"	"HMR_4091"	""	"RHEA:18253"	""	0
"MAR04093"	"ACOAH"	"R00227C"	"HMR_4093"	"r0061"	"R00227"	"MNXR95363"	""	"RCR10003"	"ACOAHi"	"HMR_4093"	"RHEA:20290"	"RHEA:20289"	""	0
"MAR04095"	"ACOAHim"	"R00227C"	"HMR_4095"	"r0062"	"R00227"	"MNXR95363"	""	"RCR10150"	"r0062"	"HMR_4095"	"RHEA:20290"	"RHEA:20289"	""	0
"MAR04101"	"PEPCK_re"	"R00431C"	"HMR_4101"	"r0123"	"R00431"	"MNXR102487"	""	"RCR10283"	"PEPCK"	"HMR_4101"	"RHEA:10389"	"RHEA:10388"	""	0
"MAR04103"	"PEPCKm"	"R00431C"	"HMR_4103"	"r0124"	"R00431"	"MNXR102487"	""	"RCR11071"	"PEPCKm"	"HMR_4103"	"RHEA:10389"	"RHEA:10388"	""	0
"MAR04143"	"PCm"	"R00344C"	"HMR_4143"	"r0106"	"R00344"	"MNXR102391"	""	"RCR11072"	"PCm"	"HMR_4143"	"RHEA:20845"	"RHEA:20844"	""	0
"MAR04193"	""	""	"HMR_4193"	"r0153"	"R00572"	"MNXR103373"	""	"RCR11073"	"r0153"	"HMR_4193"	"RHEA:56954"	"RHEA:56952"	""	0
"MAR08497"	"ALR2"	""	"HMR_8497"	""	"R02528"	"MNXR95788"	""	"RCR11074"	"ALR2"	"HMR_8497"	"RHEA:27988"	"RHEA:27986"	""	0
"MAR08498"	"ACTNMO"	""	"HMR_8498"	""	""	"MNXR95423"	""	"RCR11075"	"ACTNMO"	"HMR_8498"	""	""	""	0
"MAR08499"	"ACTLMO"	""	"HMR_8499"	""	""	"MNXR95422"	""	"RCR11076"	"ACTLMO"	"HMR_8499"	""	""	""	0
"MAR08500"	"ALR3"	""	"HMR_8500"	""	""	"MNXR95789"	""	"RCR11077"	"ALR3"	"HMR_8500"	""	""	""	0
"MAR08501"	"LALDD"	""	"HMR_8501"	""	""	"MNXR101007"	""	"RCR11078"	"HMR_8501"	"HMR_8501"	""	""	""	0
"MAR08502"	"LALDO"	""	"HMR_8502"	""	"R03082"	"MNXR101009"	""	"RCR10284"	"LALDO"	"HMR_8502"	""	""	""	0
"MAR08503"	"LCADi"	""	"HMR_8503"	""	""	"MNXR101018"	""	"RCR11079"	"LCADi"	"HMR_8503"	""	""	""	0
"MAR08504"	"LCADi_D"	""	"HMR_8504"	""	"R01735"	"MNXR101019"	""	"RCR11080"	"LCADi_D"	"HMR_8504"	""	""	""	0
"MAR08506"	"LCADm"	""	"HMR_8506"	""	""	"MNXR101018"	""	"RCR11081"	"LCADim"	"HMR_8506"	""	""	""	0
"MAR08507"	"ALCD21_D"	""	"HMR_8507"	""	""	"MNXR95713"	""	"RCR10151"	"ALCD21_D;PPDOx"	"HMR_8507"	""	""	""	0
"MAR08508"	"LCARS"	""	"HMR_8508"	""	""	"MNXR95714"	""	"RCR11082"	"ALCD21_L"	"HMR_8508"	""	""	""	0
"MAR08509"	"PPDOy"	""	"HMR_8509"	""	""	"MNXR103108"	""	"RCR11083"	"PPDOy"	"HMR_8509"	""	""	""	0
"MAR08511"	"GLYOXm"	""	"HMR_8511"	""	"R01736"	"MNXR100353"	""	"RCR11084"	"GLYOXm"	"HMR_8511"	""	"RHEA:25245"	""	0
"MAR08512"	"LDH_D"	""	"HMR_8512"	""	"R00704"	"MNXR101037"	""	"RCR11085"	"LDH_D"	"HMR_8512"	""	"RHEA:16369"	""	0
"MAR08514"	"L_LACDcm"	""	"HMR_8514"	""	"R00196"	""	""	"RCR21044"	"L_LACDcm"	"HMR_8514"	""	"RHEA:19909"	""	0
"MAR08516"	"MGSA"	""	"HMR_8516"	""	"R01016"	"MNXR101551"	""	"RCR14210"	"MGSA"	"HMR_8516"	"RHEA:17938"	"RHEA:17937"	""	0
"MAR08517"	"MGSA2"	""	"HMR_8517"	""	"R01016"	"MNXR101551;MNXR101552"	""	"RCR11086"	"MGSA2"	"HMR_8517"	""	"RHEA:17937"	""	0
"MAR04280"	"LDH_Lm"	"R00703C"	"HMR_4280"	"r0172"	"R00703"	"MNXR101040"	""	"RCR11087"	"LDH_Lm"	"HMR_4280"	""	"RHEA:23444"	""	0
"MAR00153"	"ACS2"	""	"HMR_0153"	"r0218"	"R00925"	"MNXR106753;MNXR95222"	""	"RCR10460"	"ACS2"	"HMR_0153"	"RHEA:20374"	"RHEA:20373"	""	0
"MAR03212"	"PPCOAOm"	""	"HMR_3212"	""	"R00924"	"MNXR103101"	""	"RCR11088"	"PPCOAOm"	"HMR_3212"	""	""	""	0
