sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM2796692,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796693,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796694,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796695,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796696,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796697,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796698,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796699,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796700,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796701,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796702,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796703,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796704,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796705,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796706,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796707,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,4
GSM2796630,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796631,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796652,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796653,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796660,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796661,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796662,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796663,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796664,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796665,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796666,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796667,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796668,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796669,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796748,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796749,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,4
GSM2796642,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796643,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796644,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796645,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796646,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796647,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796648,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796649,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796650,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796651,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796654,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796655,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796656,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796657,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796658,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796659,Trem2 KO (KOMP) x APPPS1,TREM2KO,Cortex,Mixed,Male,8
GSM2796730,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796731,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796732,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796733,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796734,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796735,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796736,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796737,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796738,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796739,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796740,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796741,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796742,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796743,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796746,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796747,Trem2 KO (KOMP) x APPPS1,TREM2KO,Hippocampus,Mixed,Male,8
GSM2796674,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796675,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796676,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796677,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796678,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796679,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796680,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796681,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796682,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796683,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796684,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796685,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796686,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796687,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796690,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796691,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,4
GSM2796628,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796629,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796670,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796671,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796672,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796673,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796688,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796689,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796708,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796709,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796710,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796711,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
