sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM2796722,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796723,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796744,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796745,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,4
GSM2796632,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796633,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796634,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796635,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796636,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796637,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796638,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796639,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796640,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796641,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796750,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796751,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796752,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796753,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796754,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796755,Trem2 KO (KOMP) x APPPS1,WT,Cortex,Mixed,Male,8
GSM2796712,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796713,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796714,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796715,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796716,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796717,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796718,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796719,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796720,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796721,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796724,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796725,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796726,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796727,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796728,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
GSM2796729,Trem2 KO (KOMP) x APPPS1,WT,Hippocampus,Mixed,Male,8
