"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUST00000103586"	0.00769235958187474	0	5.81559128774006	0	1	NA
"Trav12d-1"	0.0202237686444842	0.537084016895128	5.81559128774006	0.0923524350872737	0.926418029157882	NA
"ENSMUST00000180859"	0.0147558436146522	-0.184251304959024	5.81559128774006	-0.0316822995019349	0.974725410751804	NA
"Trav15d-1-dv6d-1"	0.583635442175141	1.40157920687156	1.26359392102651	1.10920065659461	0.267343629425823	NA
"Trav3-4"	1.14404156103925	-0.369051874550932	0.709808859199566	-0.519931344569442	0.603111427755099	NA
"Trbv3"	0.0560694533427849	-0.184251304959025	5.81559128774006	-0.0316822995019351	0.974725410751804	NA
"Trav21-dv12"	0.0179380846866035	0	5.81559128774006	0	1	NA
"Trbv1"	0.035284001391888	0.537084016895128	5.81559128774006	0.0923524350872738	0.926418029157882	NA
"Trav17"	0.0292419805394644	0	5.81559128774006	0	1	NA
"Trbv4"	0.0812536858931018	-0.364585135422552	5.81559128774005	-0.0626909831492354	0.950012577675581	NA
"Trbv5"	0.0709079996873556	-0.364585135422561	5.81559128774006	-0.062690983149237	0.95001257767558	NA
"Trdv1"	0.096996091714031	0.17641763998904	4.389193916687	0.0401936308437703	0.967938755379007	NA
"Trbv29"	0.047717840740061	-0.184251304959023	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Trav7d-4"	0.0751467435744375	-0.5449189658861	5.81559128774006	-0.0936996667965393	0.925347734972068	NA
"Trav8d-1"	0.00678714997701334	0	5.81559128774006	0	1	NA
"Trav1"	0.0506030585468148	-1.08592045727671	5.81559128774006	-0.186725717738446	0.851875690891278	NA
"Trav7-4"	0.0306919357937648	-0.00391747449548626	5.81559128774006	-0.00067361585463283	0.999462532350323	NA
"Trbv31"	0.00740448539343903	-0.184251304959023	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Trav9d-1"	0.159540882201195	0.356754737768083	2.8821056236949	0.123782672930188	0.901487351291834	NA
"Trav6d-5"	0.373045227905747	1.13079565083241	1.18734998762045	0.952369278327634	0.340909734340199	NA
"Trav9-1"	0.0364728701109599	-0.364585135422561	5.81559128774006	-0.062690983149237	0.95001257767558	NA
"Trav6-5"	0.0383546397033121	-0.725252796349637	5.81559128774006	-0.124708350443841	0.900754446316686	NA
"Trav14-2"	0.00719610687478557	0	5.81559128774006	0	1	NA
"Trav15-2-dv6-2"	0.00853427968193418	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Trav3-3"	1.23052055082263	0.69523529942755	0.733152219336259	0.948282336316139	0.342985740693912	NA
"Trbv12-1"	0.0560398677799539	1.07808550828574	5.81559128774006	0.18537848602918	0.852932181620908	NA
"Trbv13-1"	0.00768508872742991	0	5.81559128774006	0	1	NA
"Trbv12-2"	0.424389126609231	0.35426678028171	1.33299079983408	0.265768361136331	0.79041761129959	NA
"Trbv13-2"	0.240863419424196	-1.08593696520407	1.84894994444544	-0.587326319171811	0.556984568136019	NA
"Trav9-4"	1.82875429199266	1.13806413165832	0.7589133357424	1.49959696062663	0.133718835480843	NA
"Trbv13-3"	0.00732248603097071	0	5.81559128774006	0	1	NA
"Trbv14"	0.00670677673618585	0	5.81559128774006	0	1	NA
"Trbv15"	0.0417038409398857	0	5.81559128774006	0	1	NA
"Trbv16"	0.00715348102908783	-0.184251304959024	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Trbv17"	0.00704584018199059	0	5.81559128774006	0	1	NA
"Trav4-4-dv10"	0.920857873758316	-0.184254351611443	0.866956309916726	-0.212530146564296	0.831693461376359	NA
"Trav5-4"	0.0538326410165963	0	5.81559128774006	0	1	NA
"Trbv20"	0.0166615160032804	0	5.81559128774006	0	1	NA
"Trav6-7-dv9"	0.296140742846159	-0.184254252343952	1.35244826777716	-0.136237560233476	0.891633483195153	NA
"Sprr2g"	0.0465658192018311	0.356750186431591	5.81559128774006	0.0613437514399717	0.95108544777838	NA
"Casp16"	1.57818873586154	0.702262232745941	0.692059427776719	1.01474267174135	0.31022850749691	NA
"Pcdhgb8"	89.7783793674723	-0.0642932511640964	0.100350579828615	-0.640686394377597	0.521726455600849	0.759858974947754
"H2-T10"	19.3807930582474	-0.253164528666053	0.18606928335238	-1.36059280771565	0.173642405752533	0.419556342710365
"Serpinb10"	0.0599135723455268	0.356750186431591	5.81559128774006	0.0613437514399717	0.95108544777838	NA
"Clec7a"	4.52846378222343	0.530348383363912	0.415079141862684	1.27770424932449	0.201353726377213	0.457642552075994
"Art2a"	0.595637865713269	-0.87099080649161	1.13351590744404	-0.7683975149988	0.442251056277051	NA
"Hyi"	8.22820028175571	-0.658919177022835	0.520600982407779	-1.26568946139005	0.205624282817846	0.46340192104512
"Gbp11"	11.9643704924924	0.455601548956708	0.294611875912614	1.54644665136258	0.121996734823441	0.337502183796053
"H2-Q5"	6.8981957044044	0.181075166533231	0.298594102047775	0.606425797734809	0.544232041971298	0.772788478897003
"Mx2"	1.01072686089598	0.845333676173623	1.40378094371215	0.602183467413533	0.547052019310515	NA
"Cdk3"	13.4661782513824	-0.481562698942724	0.224636433541127	-2.14374263048723	0.0320535143726144	0.13630279701082
"Cxcl11"	1.73179660897401	0.750444354936249	1.38802011692841	0.540658125760403	0.588743245885264	NA
"H2-Bl"	8.42161982250258	-0.404171951521685	0.300676592732784	-1.34420823333221	0.178881059996732	0.426509950940623
"Oas1b"	1.00180475593999	0.840758587302944	0.826590372860299	1.01714055100063	0.309086571938485	NA
"Slc22a13b"	19.1136459621443	-0.423878059064826	0.186543291524928	-2.27227715132379	0.0230697759478039	0.107879865808202
"Trbc2"	116.006307937102	-0.817378113860229	0.240972149978363	-3.39200241162151	0.000693838295033241	0.00825003635248436
"Trbc1"	0.712468991413721	0.169313456481532	1.41006305799926	0.12007509559308	0.9044236604701	NA
"Trdj1"	0.0465760595481459	-0.00391747449548486	5.81559128774006	-0.000673615854632589	0.999462532350323	NA
"Traj45"	0.00587801441800049	0	5.81559128774006	0	1	NA
"Traj35"	0.00808223621620652	0	5.81559128774006	0	1	NA
"Traj17"	0.0386061291417713	0	5.81559128774006	0	1	NA
"Traj38"	0.0419669092571938	0.537084016895128	5.81559128774006	0.0923524350872737	0.926418029157882	NA
"Traj20"	0.066565855088396	0	5.81559128774006	0	1	NA
"Traj40"	0.0174533662536745	0	5.81559128774006	0	1	NA
"Traj16"	0.0190285522928962	-0.364585135422561	5.81559128774006	-0.0626909831492369	0.95001257767558	NA
"Traj11"	0.0323513795086306	0	5.81559128774006	0	1	NA
"Traj2"	0.00734576889124988	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj44"	0.0272523193988188	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj28"	0.0149593441835099	0	5.81559128774006	0	1	NA
"Traj22"	0.00773583222993323	0	5.81559128774006	0	1	NA
"Igkj2"	0.045753645541079	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj60"	0.0453178818863999	0	5.81559128774006	0	1	NA
"Traj43"	0.0692769659999028	0	5.81559128774006	0	1	NA
"Traj32"	0.0210854962233699	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Igkj5"	0.0438986572544768	0.537084016895127	5.81559128774006	0.0923524350872736	0.926418029157882	NA
"Traj13"	0.0514724269729644	-0.364585135422562	5.81559128774006	-0.0626909831492371	0.95001257767558	NA
"Traj59"	0.0940978288771595	1.43552406551673	5.03648530642574	0.285024968440835	0.77562501292994	NA
"Igkj4"	0.0773206289312082	0.176417035868583	5.11014239743385	0.0345229197443057	0.972460165926677	NA
"Traj42"	0.0160345220063018	-0.184251304959024	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Traj52"	0.0142521514142786	0	5.81559128774006	0	1	NA
"Traj19"	0.0156808976520119	-0.184251304959024	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Igkj3"	0.145257992151769	0.717426958527035	2.90209834056777	0.247209733901256	0.804745912492669	NA
"Traj46"	0.0381163917929415	0.35675018643159	5.81559128774006	0.0613437514399715	0.95108544777838	NA
"Traj23"	0.0063369596022618	0	5.81559128774006	0	1	NA
"Traj61"	0.133566472903714	0.176418717813464	2.65448527848738	0.0664606126254329	0.947011114919029	NA
"Traj51"	0.0268131011324328	-0.184251304959022	5.81559128774006	-0.0316822995019347	0.974725410751805	NA
"Traj31"	0.0364402782404779	0	5.81559128774006	0	1	NA
"Traj37"	0.0288820933634461	0	5.81559128774006	0	1	NA
"Traj58"	0.0559022222747553	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj50"	0.0167538724143497	-0.364585135422561	5.81559128774006	-0.062690983149237	0.95001257767558	NA
"Traj39"	0.0662971720758542	-0.00391747449548506	5.81559128774006	-0.000673615854632624	0.999462532350323	NA
"Traj33"	0.0194551761754625	0	5.81559128774006	0	1	NA
"Traj21"	0.0161879382020843	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj9"	0.0235712009287943	-0.544918965886098	5.81559128774006	-0.093699666796539	0.925347734972068	NA
"Traj7"	0.025349329235251	0	5.81559128774006	0	1	NA
"Igkj1"	0.0134356038346947	0	5.81559128774006	0	1	NA
"Traj25"	0.0139452384254633	0	5.81559128774006	0	1	NA
"Traj12"	0.00821749986540163	0	5.81559128774006	0	1	NA
"Traj30"	0.00693304894095993	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj27"	0.0179223634306035	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Traj41"	0.0220971945312937	0.176416355968052	5.81559128774006	0.0303350677926693	0.975799829379629	NA
"Trgj4"	0.0171105338980655	0	5.81559128774006	0	1	NA
"Trdj2"	0.28756287666891	-0.544927463351993	1.62302174790642	-0.335748713198027	0.737060368131397	NA
"Traj56"	0.0196158276834548	0	5.81559128774006	0	1	NA
"Traj26"	0.039149141004907	0.35675018643159	5.81559128774006	0.0613437514399715	0.95108544777838	NA
"Traj18"	0.0168190098311496	0.35675018643159	5.81559128774006	0.0613437514399716	0.95108544777838	NA
"Ighj4"	0.760562819462565	1.26593825137108	0.864053861199621	1.46511497513998	0.142889551649214	NA
"Ighj3"	0.539340204837971	1.81977495593484	0.954427637431698	1.90666624117438	0.056563821225022	NA
"Ighj2"	0.258760553368776	1.78866323834585	1.75062131928932	1.02173052426436	0.306908459880195	NA
"Ighj1"	2.01952087406505	2.14346668177167	0.626902604477432	3.41913826240745	0.000628197974305258	NA
"Trac"	7.22987435615705	0.28332998244818	0.221427968183283	1.27955824538686	0.200700542663831	0.456706860677651
"Igkc"	6.39267221852517	-0.93061144349197	0.452713935071141	-2.05562800567588	0.0398183862150305	0.158824722079947
"Trgc1"	0.0711302731840903	0	5.81559128774006	0	1	NA
"Trgc2"	0.283772489061284	1.61918698721968	1.51562521028436	1.0683294103533	0.285371946438699	NA
"Trgc4"	0.192137145185591	0.717428070311945	2.30712843616423	0.310961478809008	0.755829906256401	NA
"ENSMUST00000103566"	0.00909024317669295	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Ighm"	123.981272015399	0.291665691722502	0.112176952392962	2.6000500593097	0.00932101622780611	0.0574725386955409
"Ighg1"	0.0374679232643717	0	5.81559128774006	0	1	NA
"Ighg3"	0.484307716663651	-0.00391753861744845	1.04203913059312	-0.00375949280831577	0.997000365797828	NA
"Ighd"	6.46595740359687	1.10863509513946	0.328270480260831	3.37720008895892	0.000732277606454214	0.00856938524648576
"Igha"	0.0162963469424934	0	5.81559128774006	0	1	NA
"Ighe"	0.059840180322047	0	5.81559128774006	0	1	NA
"Ighg2c"	31.2959656611026	-0.0859973821943747	0.295691646583968	-0.290834669115192	0.771177768754997	0.90262852782473
"Ighg2b"	4.19771675211473	0.432409908183161	0.697201181520725	0.620208226325714	0.535120706254457	0.767501720602908
"Ighv1-55"	0.0472423063078441	-0.544918965886099	5.81559128774006	-0.0936996667965392	0.925347734972068	NA
"Ighv10-3"	0.0150546471939186	0	5.81559128774006	0	1	NA
"Ighv5-6"	0.00828295794433775	0	5.81559128774006	0	1	NA
"Ighv1-62-2"	0.00828295794433775	0	5.81559128774006	0	1	NA
"Ighv11-2"	0.0277192914554781	0	5.81559128774006	0	1	NA
"Ighv14-3"	0.00821749986540163	0	5.81559128774006	0	1	NA
"Ighv3-8"	0.0208843891113646	0	5.81559128774006	0	1	NA
"Ighv1-7"	0.0155479135899439	-0.00391747449548602	5.81559128774006	-0.000673615854632789	0.999462532350323	NA
"Ighv8-8"	0.123939214378464	-0.725252796349638	5.81559128774005	-0.124708350443841	0.900754446316686	NA
"Ighv2-6"	0.00704584018199059	0	5.81559128774006	0	1	NA
"Ighv1-58"	0.105243954515567	0	5.81559128774006	0	1	NA
"Ighv13-2"	0.0314370164668835	0	5.81559128774006	0	1	NA
"Ighv6-3"	0.0927004214667697	-1.4622242632443	5.81440667398313	-0.251482970702255	0.801440726641024	NA
"Ighv6-6"	0.0655064035761454	0	5.81559128774006	0	1	NA
"Ighv1-16"	0.00739906471547417	0	5.81559128774006	0	1	NA
"Ighv9-3"	0.0568335936848117	0.35675018643159	5.81559128774006	0.0613437514399716	0.95108544777838	NA
"Ighv7-3"	0.0165508107659619	0.35675018643159	5.81559128774006	0.0613437514399716	0.95108544777838	NA
"Ighv1-34"	0.00693212973340133	0	5.81559128774006	0	1	NA
"Ighv2-2"	0.00884316033114205	-0.184251304959024	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Ighv1-39"	0.0602185887756746	0	5.81559128774005	0	1	NA
"Ighv5-9-1"	0.0153654563024705	0	5.81559128774006	0	1	NA
"Ighv14-4"	0.0166210753447259	-0.364585135422561	5.81559128774006	-0.062690983149237	0.95001257767558	NA
"Ighv1-59"	0.0395201079150937	0.897751677822205	5.81559128774006	0.154369802381878	0.877318162437371	NA
"Ighv1-9"	0.0245883451256221	-0.184251304959023	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Ighv5-17"	0.0580537547034503	-0.184251902437338	5.22837816200637	-0.0352407375151748	0.971887778551929	NA
"Ighv1-18"	0.00740448539343903	-0.184251304959023	5.81559128774006	-0.0316822995019349	0.974725410751805	NA
"Ighv1-42"	0.0138696188055517	0	5.81559128774006	0	1	NA
"Ighv1-43"	0.00852744771310814	0	5.81559128774006	0	1	NA
"Ighv5-4"	0.0654256767448128	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Ighv7-1"	0.00652102093818908	0.176416355968052	5.81559128774006	0.0303350677926694	0.975799829379629	NA
"Ighv1-47"	0.0228070877566931	0	5.81559128774006	0	1	NA
"Ighv1-19"	0.0932702249853031	0	5.81559128774005	0	1	NA
"Ighv8-5"	0.0180587220670841	-0.364585135422561	5.81559128774006	-0.062690983149237	0.95001257767558	NA
"Ighv1-15"	0.067661832228139	0	5.81559128774006	0	1	NA
"Ighv2-3"	0.0226825528908449	0	5.81559128774006	0	1	NA
"Ighv1-61"	0.0210755409444764	0	5.81559128774006	0	1	NA
"Ighv1-52"	0.00760236258556437	0	5.81559128774006	0	1	NA
"Ighv1-53"	0.300853946677179	0	4.23361334597182	0	1	NA
"Ighv1-54"	0.0345784655096115	-0.725252796349637	5.81559128774006	-0.124708350443841	0.900754446316686	NA
"Ighv4-1"	0.0150268553629444	0	5.81559128774006	0	1	NA
"Ighv14-2"	0.0150706540977793	0.35675018643159	5.81559128774006	0.0613437514399716	0.95108544777838	NA
"Ighv1-23"	0.0162480790252533	0	5.81559128774006	0	1	NA
