Gene	p	FC
Gnai3	0.191940304879554	-1
Cdc45	0.840460763346126	1
H19	0.538786377396039	1
Scml2	0.141927535006717	1
Apoh	0.371478285623545	-1
Narf	0.29521759236818	-1
Cav2	0.480624598083217	-1
Klf6	0.158891652634055	1
Scmh1	0.0947313286893825	1
Cox5a	0.905682500974406	-1
Tbx2	0.774044837662687	1
Tbx4	0.761085642990414	-1
Ngfr	0.732885091605588	-1
Wnt3	0.996612913741522	-1
Wnt9a	0.556070107394685	-1
Fer	0.464721280659618	1
Xpo6	0.199184868968924	1
Tfe3	0.143536526555991	1
Axin2	0.592217653908467	1
Brat1	0.120992499060979	1
Gna12	0.355244496239493	-1
Slc22a18	0.982685571014987	1
Itgb2l	0.425301992962927	1
Igsf5	0.19599537171312	1
Pih1d2	0.765683773026982	-1
Dlat	0.611380007697696	1
Sdhd	0.493123896206248	-1
Fgf23	0.526956355757297	1
Ccnd2	0.341973168399803	-1
Gpr107	0.776651875421053	-1
Nalcn	0.0886113575402885	1
Btbd17	0.148711590849299	-1
Slfn4	0.77538375239143	-1
Th	0.473792796752702	-1
Ins2	0.835720304026157	1
Scnn1g	0.211417866698349	1
Drp2	0.282412806295634	1
Tspan32	0.29585423227969	-1
Lhx2	0.125952045329342	-1
Clec2g	0.881555395561076	1
Gmpr	0.286977951890914	-1
Glra1	0.781097568511533	-1
Mid2	0.262818096729999	1
Trim25	0.110041805434955	-1
Dgke	0.363141718754144	1
Scpep1	0.724284763287974	-1
Mnt	0.345709703889596	-1
Itgb2	0.426480806059553	-1
Hddc2	0.697689342091417	1
Tpd52l1	0.6653650082055	1
Pemt	0.0954611536210392	-1
Cdh1	0.724930124069594	1
Cdh4	0.0562319164737407	1
Ckmt1	0.298488728638041	-1
Bcl6b	0.0649404817137473	-1
Clec10a	0.591753748735548	1
Alox12	0.172527415561708	1
Arvcf	0.909002875855559	-1
Rtca	0.584833148789517	-1
Dbt	0.404946865159087	-1
Dazap2	0.0189675972693612	-1
Mcts1	0.121471564159964	-1
Rem1	0.0760057826245412	-1
Rnf17	0.452220108108744	1
Trappc10	0.260320059065022	1
Ccm2	0.677010615985482	1
Tbrg4	0.567088539070934	1
Tmprss2	0.620668774449313	-1
Mx1	0.289575000974488	-1
Fap	0.806462057062593	-1
Gcg	0.680597191095958	1
Ndufa9	0.377653445202523	-1
Egfl6	0.109556870016882	-1
Lck	0.315287416722944	1
Tssk3	0.362639295664638	1
Cttnbp2	0.61500684049547	-1
Galnt1	0.37590995416547	-1
Myf5	0.699029629860562	1
Mkrn2	0.536786739677244	1
Pparg	0.603896716686254	-1
Raf1	0.983371865288052	-1
Sept1	0.689404103431842	-1
Pdgfb	0.107353594995996	-1
Acvrl1	0.259691721384077	-1
Grasp	0.356339801976288	1
Acvr1b	0.0686468197397709	1
Tom1l2	0.484300299815157	1
Gpa33	0.864020478001456	-1
Zfp385a	0.44080942189479	-1
Itga5	0.359652697852063	-1
Gabra2	0.0761815424828036	-1
Wdr77	0.627288864842797	-1
Adora3	0.83667120740735	1
Atp5pb	0.0629738260101488	-1
Sox9	0.245538738777956	-1
Hnrnpd	0.864829551001724	1
Dynlt1c	0.949903337891776	-1
C1d	0.872584831637704	-1
Gm2a	0.43782712052294	-1
Krit1	0.971981100332586	-1
Clcn4	0.731817243076871	1
Sema4f	0.229373618931159	1
Hk2	0.797088752823391	1
Myo18a	0.257291144861792	1
Sez6	0.0291502192320207	1
Haao	0.198508428641208	-1
Cd52	0.822616358076739	-1
Abhd15	0.694859645527232	-1
Loxl3	0.770214356755176	-1
Btn1a1	0.752637067826527	-1
Kat2b	0.573204305369974	-1
Rab5b	0.806622413690089	1
Cryba1	0.773019559364318	1
Dnmt3l	0.602582636545227	1
Aire	0.938118588033334	1
Icosl	0.651260088938557	-1
Spg7	0.826713783609187	-1
Sult5a1	0.0562460810536516	1
Rpl13	0.654101870055814	-1
Chmp1a	0.410271005888906	-1
Rpa1	0.352626228954759	-1
Serpinf1	0.608986043671691	-1
Tubgcp3	0.656270071621867	1
Oprm1	0.328175366988094	1
Polr3d	0.491875619214021	-1
Tcf7	0.757485344393982	-1
Ddx3x	0.326911249873753	1
Il12rb1	0.647880415300396	1
Slc5a5	0.968498609306414	1
Kcnn3	0.0305961534174387	1
Usp32	0.883910442154477	1
Car4	0.100097119787729	-1
Txnrd3	0.816339525815871	1
Fasl	0.618097173448745	1
Zfp512b	0.371620813547565	1
Dnajc5	0.495081244695939	1
Tpd52l2	0.125989834184742	-1
Fmr1	0.563599284994965	-1
Bcl11a	0.0596141191152192	1
Il4	0.895082925958743	-1
Pxmp4	0.960426697790174	-1
Dlg3	0.281976789637245	1
Gnb1l	0.226838105094919	1
Dbh	0.970214308509925	1
Mmp11	0.910258945037062	-1
Smarcb1	0.501571563791844	1
Vpreb3	0.134811211218323	-1
Hip1r	0.703660110690002	-1
Nsun5	0.239990050583782	-1
Top1mt	0.433979845658312	1
Gm38393	0.285057724327581	-1
Mmp14	0.720640492043975	1
Slc7a7	0.435112199313709	-1
Oxa1l	0.35209560690662	1
Heatr6	0.571904104228223	-1
Ccl3	0.609691632847334	-1
Wfdc18	0.732524153678418	-1
Ilf2	0.0525459645687502	-1
Chtop	0.690287889005042	-1
Snapin	0.816066997260469	-1
S100a4	0.901547336933565	-1
S100a3	0.957767196815859	1
S100a5	0.976033489812688	1
S100a6	0.0193397505040959	-1
Icam2	0.714333096349881	-1
Mapk7	0.534125594406107	-1
Epn2	0.409477394470361	-1
B9d1	0.574456630073238	-1
Sec24b	0.161182089682916	1
N4bp3	0.784879364952582	-1
Rmnd5b	0.740909757965884	-1
Nhp2	0.0350319975346218	-1
Vps9d1	0.308970968658964	1
Zfp276	0.510382233552858	-1
C1ql4	0.97222525604718	-1
Mfsd10	0.417676566786593	1
Luzp1	0.510938624042764	-1
Kctd10	0.201371546082269	-1
Poldip2	0.0280715334447962	-1
Sebox	0.196263375829715	1
Ift20	0.984831259572349	1
Col6a1	0.296113858343817	1
Pcbp3	0.412630149752784	1
Lgals9	0.0694268910119506	-1
Araf	0.374483753649441	1
Cfp	0.382628439306212	-1
Timp1	0.377326947449323	-1
Uxt	0.391639007420142	-1
Cnnm3	0.974314822052078	1
Lman2l	0.960891651570421	-1
Mcm3ap	0.060697841496315	1
Pcnt	0.0792573919768647	1
Ftcd	0.740186780357827	1
Mxd1	0.26548488616606	-1
Gmcl1	0.296464174497094	-1
Snrnp27	0.0980599112069087	-1
Oas1c	0.833760864531661	1
Oas1h	0.610911079270586	-1
Ocrl	0.128871276995516	1
Calm1	0.662954808699724	-1
Agpat3	0.235885784866555	-1
Slc26a3	0.641312204602626	1
Sema6b	0.712212552553044	1
Uhrf1	0.347488405148341	-1
Dpp9	0.34889111225716	1
Ramp2	0.808011280009675	1
Lsr	0.92840921075092	1
Gramd1a	0.742857479139767	-1
Hpn	0.0755002051685875	-1
Gabrg1	0.990160395717977	1
Ckb	0.719704223735827	-1
Sp1	0.454498010006915	1
Itgb7	0.674066435138903	-1
Myg1	0.270829226819838	1
Rarg	0.973422656892134	1
Pfdn5	0.0209922094850576	-1
Efnb2	0.673430011628494	1
Rrp15	0.525218212805344	-1
Rnd2	0.0276299481815254	-1
Srr	0.0949958782854246	1
Sync	0.859349781844706	-1
Fndc5	0.0609845529460543	-1
Acp5	0.64943442142623	1
Cnn1	0.0708206055911796	-1
Fbxo9	0.423496973528896	-1
Vps50	0.224396136872453	1
Hars	0.714011977449447	1
Zmat2	0.0402411348239956	-1
Ube2c	0.999338024887703	-1
Smg5	0.557982590105431	1
Cct3	0.303724519966604	-1
ENSMUSG00000001417	0.740831043545267	-1
Glmp	0.0252222863927529	-1
Mef2d	0.14503585374689	1
Tmem79	0.853781755096654	1
Snd1	0.798921753992881	1
Col18a1	0.621089020439122	1
Slc19a1	0.542604070994616	1
Kpnb1	0.792503596068366	1
Npepps	0.310138896995805	1
Tbx21	0.447749272150956	-1
Mrpl10	0.416808768739351	1
Cyp51	0.000880897270534712	-1
Tcf25	0.718196880020201	-1
Tubb6	0.0701171665496906	-1
Def8	0.852722119234262	1
Meox1	0.474723807096041	-1
Sost	0.864334873593392	-1
Nkx2-1	0.425121020419937	-1
Pax9	0.768241289081907	-1
Irx2	0.995753457543397	1
Col1a1	0.933346258871532	-1
Itga3	0.82171367044661	-1
Sgca	0.308435659024672	1
Dlx3	0.529677093273613	-1
Foxm1	0.347224551507283	-1
Itfg2	0.221024631755289	-1
Nrip2	0.0853992457976222	1
Tulp3	0.525725138784859	1
Gtf2h4	0.896428014852113	-1
Tubb5	0.475220604750772	1
Ell2	0.630264506952141	-1
Jup	0.130666358987538	-1
Fkbp10	0.76009449039101	-1
Klhl10	0.542616965054994	1
Nom1	0.732235913429145	1
Ergic1	0.228803795436232	1
Tnk1	0.742363833200396	-1
Acap1	0.867371187041785	1
Tcea3	0.45400617757031	1
Ifrd1	0.164191088143367	1
Stk38l	0.355313297711317	-1
Brpf1	0.411822849240025	-1
Akr1b3	0.885381941994751	1
Gstt1	0.386226214249935	-1
Gstt3	0.21287644371547	-1
Ddt	0.280260909897414	-1
Tat	0.974362702244303	-1
Marveld3	0.485673128670787	1
Ddx18	0.252157890607064	-1
Ubl3	0.126806000992863	-1
Gramd3	0.247831520580027	-1
Eef1e1	0.578788485149116	1
Akt1	0.305407451879882	-1
Cldn15	0.793437130065022	-1
Il16	0.980825590018779	-1
Tcirg1	0.849851721666998	1
Naglu	0.8705500992578	-1
Coasy	0.903627487959439	1
Smo	0.106488478230285	-1
Tspan33	0.587338280051957	1
Crnkl1	0.5941063735828	-1
Rin2	0.369595834302724	-1
Folh1	0.0787142064131314	-1
Chordc1	0.362719734740938	-1
Rtcb	0.589056127953935	1
Pwp1	0.634756329780845	-1
Fbxo7	0.432115772562147	-1
Capns1	0.34233850070934	-1
Lrp3	0.541383529483674	1
Evx2	0.638780707268759	-1
Hoxd13	0.881555395561076	1
Folr1	0.366512966543888	1
Clpb	0.685358485770166	1
Sept7	0.113123581908568	-1
Zdhhc4	0.232873760355853	1
Rac1	0.287869007392866	-1
Nup214	0.0171184195824755	1
Aif1l	0.930607331690224	1
Cpa3	0.778338412192466	1
Ltbp1	0.873275197068946	1
Ugp2	0.0635234276885965	-1
Kcnh6	0.423163717782918	-1
