Gene	p	FC
Gnai3	0.976606285681915	1
Cdc45	0.510223121965846	1
H19	0.938080041192623	-1
Scml2	0.336580011448455	1
Apoh	0.333260995321201	1
Narf	0.495068371321485	-1
Cav2	0.738839227860581	1
Klf6	0.266998836415323	-1
Scmh1	0.253399827477115	1
Cox5a	0.0583999106733945	-1
Tbx2	0.816137345459191	1
Tbx4	0.294785702636614	1
Ngfr	0.484441439472001	1
Wnt3	0.279732318397499	-1
Wnt9a	0.00441012249799498	-1
Fer	0.325072757520158	-1
Xpo6	0.654181559766898	1
Tfe3	0.760486087176804	1
Axin2	0.728231718135609	-1
Brat1	0.664843963375529	-1
Gna12	0.314041173143106	-1
Slc22a18	0.254296109735859	1
Igsf5	0.302374449767275	1
Pih1d2	0.753302149644837	-1
Dlat	0.403497137352202	-1
Sdhd	0.853541096983307	-1
Fgf23	0.346438565474891	1
Ccnd2	0.44477222615325	-1
Gpr107	0.954562984817246	-1
Nalcn	0.706654439536759	-1
Btbd17	0.0196535110087654	-1
Th	0.213926716641908	-1
Ins2	0.468161257182969	1
Scnn1g	0.162890267024534	-1
Drp2	0.329797444036079	1
Tspan32	0.351370523898332	1
Lhx2	0.0132551057851462	-1
Gmpr	0.662872998011945	-1
Glra1	0.305294859513728	-1
Mid2	0.431083587013366	1
Trim25	0.0602791295616063	1
Dgke	0.452484683984217	-1
Scpep1	0.0257138495702487	1
Mnt	0.535194237630956	1
Itgb2	0.000596253760351622	1
Hddc2	0.652440561920602	-1
Tpd52l1	0.970197461024177	-1
Pemt	0.415940066835033	1
Cdh1	0.10337648442058	1
Cdh4	0.89990611415953	-1
Ckmt1	0.840827956130707	1
Bcl6b	0.670359958057422	1
Clec10a	0.0397232439573431	1
Alox12	0.974606266197437	-1
Arvcf	0.924787354735239	-1
Rtca	0.984846615698018	-1
Dbt	0.0338884893640502	-1
Dazap2	0.174313699133402	-1
Mcts1	0.717554338467623	-1
Rem1	0.379386826292253	1
Rnf17	0.452182582131993	-1
Trappc10	0.490691628832317	1
Ccm2	0.799908352718275	-1
Tbrg4	0.503682701997726	1
Tmprss2	0.300902433514982	1
Mx1	0.00663926255806118	1
Fap	0.454207957305718	-1
Gcg	0.957933261625094	-1
Ndufa9	0.940082193627613	-1
Egfl6	0.52853749822309	-1
Lck	0.85677554321044	-1
Tssk3	0.931903739305992	-1
Cttnbp2	0.0212826172318458	-1
Galnt1	0.563004589555275	-1
Myf5	0.831717680709176	-1
Mkrn2	0.582535261844886	-1
Pparg	0.329282189501996	1
Raf1	0.0718654174756694	-1
Sept1	0.641460463827799	1
Pdgfb	0.105400487922631	1
Acvrl1	0.0296515576307005	1
Grasp	0.458458138153683	-1
Acvr1b	0.881968803803626	1
Tom1l2	0.822513963029192	-1
Zfp385a	0.636217952219288	1
Itga5	0.660215272770097	-1
Gabra2	0.969312237052639	1
Wdr77	0.747933383254327	-1
Adora3	0.0428188560061118	1
Atp5pb	0.886494677319427	-1
Sox9	0.904195424639322	1
Hnrnpd	0.884961342284198	-1
Dynlt1c	0.498560541086326	1
C1d	0.746940469688916	1
Gm2a	0.140448276458058	1
Krit1	0.335641605570487	-1
Clcn4	0.593721839071569	-1
Sema4f	0.958809808455542	1
Hk2	0.0110937157284312	1
Myo18a	0.221931099384476	1
Sez6	0.296942483149387	1
Haao	0.0359564917485525	1
Cd52	0.0021224768288333	1
Abhd15	0.560560436706503	-1
Loxl3	0.39934504327721	-1
Btn1a1	0.632470556188565	-1
Kat2b	0.643428859499222	1
Rab5b	0.344767958657663	-1
Cryba1	0.781228603505463	1
Dnmt3l	0.565827886290223	1
Aire	0.565708150012765	1
Icosl	0.994628166948356	1
Spg7	0.556763529961157	1
Sult5a1	0.774122368596679	-1
Rpl13	0.414130838899805	-1
Chmp1a	0.437195204044024	-1
Rpa1	0.229143567847271	1
Serpinf1	0.0265325917550798	1
Tubgcp3	0.870933948422565	1
Oprm1	0.276424176625723	1
Polr3d	0.694947276132972	-1
Tcf7	0.54184409052705	-1
Ddx3x	0.467599121919402	1
Il12rb1	0.415186097414721	1
Slc5a5	0.332004048441915	1
Kcnn3	0.87772836294124	-1
Usp32	0.100088331663442	-1
Car4	0.671437197808793	-1
Txnrd3	0.319888582667628	-1
Fasl	0.562893556745724	1
Zfp512b	0.371119794058297	1
Dnajc5	0.361118056970612	-1
Tpd52l2	0.73475131278297	-1
Fmr1	0.492151991871088	-1
Bcl11a	0.833134556372484	-1
Il4	0.138129877989991	-1
Pxmp4	0.787266144868783	-1
Dlg3	0.800007614709865	-1
Gnb1l	0.793126288664521	1
Dbh	0.94058970931364	-1
Mmp11	0.558695434472557	1
Smarcb1	0.452979439069772	1
Vpreb3	0.360396077397603	1
Hip1r	0.739104084260451	-1
Nsun5	0.18262918764089	-1
Top1mt	0.0269048563799723	1
Gm38393	0.628211339776594	-1
Mmp14	0.786422966572148	1
Slc7a7	0.101509390702384	1
Oxa1l	0.493648959792405	-1
Heatr6	0.337428152745139	1
Ccl3	0.0363033496728226	1
Wfdc18	0.934262596775969	1
Ilf2	0.764327955894111	-1
Chtop	0.15221730327782	-1
Snapin	0.970289735124104	1
S100a4	0.617431599334186	1
S100a3	0.399486800915735	1
S100a5	0.812987454748229	1
S100a6	0.0161921473158156	1
Scn4a	0.487513077799354	-1
Icam2	0.886043848714416	1
Mapk7	0.649370977598374	-1
Epn2	0.32835885723001	-1
B9d1	0.633206786332861	-1
Sec24b	0.312190692969307	1
N4bp3	0.979078603128618	1
Rmnd5b	0.495095247961115	-1
Nhp2	0.844337571031905	-1
Vps9d1	0.312390676512983	-1
Zfp276	0.305170350178817	-1
C1ql4	0.907692614905701	-1
Mfsd10	0.119984191864781	1
Luzp1	0.114992635648959	-1
Kctd10	0.313995082845251	1
Poldip2	0.225474674745325	-1
Sebox	0.951521921263192	1
Ift20	0.220199423060778	1
Col6a1	0.112445486884412	1
Pcbp3	0.125087744865678	1
Lgals9	0.0208843355933596	1
Araf	0.393792355717134	1
Cfp	0.318334904309681	-1
Timp1	0.734221927758065	1
Uxt	0.785741389945407	1
Cnnm3	0.173720089863545	1
Lman2l	0.849943948965286	-1
Mcm3ap	0.765654196215688	1
Pcnt	0.2322941076842	1
Ftcd	0.955509980498488	-1
Mxd1	0.0818182375151647	-1
Gmcl1	0.315196520869066	-1
Snrnp27	0.815976145206539	1
Oas1c	0.761716953320546	1
Oas1h	0.973808535489901	-1
Ocrl	0.571675881610587	1
Calm1	0.00300420425474805	-1
Agpat3	0.217576403046811	-1
Slc26a3	0.212156333486905	-1
Sema6b	0.698207983514432	-1
Uhrf1	0.496483435687084	1
Dpp9	0.894810945589652	1
Ramp2	0.685808328711188	1
Lsr	0.543115424512432	1
Gramd1a	0.300834964486566	1
Hpn	0.318120241246043	-1
Gabrg1	0.791963199625274	-1
Ckb	0.398639119396375	-1
Sp1	0.628437314362289	-1
Itgb7	0.764124165430161	1
Myg1	0.194850279708625	-1
Rarg	0.458044156440687	1
Pfdn5	0.523355219538842	-1
Efnb2	0.940069382332591	1
Rrp15	0.528694058982414	1
Rnd2	0.423658358871592	-1
Srr	0.976060942045189	-1
Sync	0.22098604740674	1
Fndc5	0.018793822742884	-1
Acp5	0.303684937233556	1
Cnn1	0.112277485372142	1
Fbxo9	0.846530137512347	-1
Vps50	0.581690595903652	-1
Hars	0.738253350207374	-1
Zmat2	0.663017382022529	-1
Ube2c	0.590204124982154	1
Smg5	0.995115073074646	1
Cct3	0.887768020576084	-1
ENSMUSG00000001417	0.781721660656769	1
Glmp	0.458352681912402	1
Mef2d	0.279941593706744	1
Tmem79	0.506968092816329	-1
Snd1	0.66552863967382	1
Col18a1	0.0256681044405593	1
Slc19a1	0.913429576871846	-1
Kpnb1	0.758159817764333	1
Npepps	0.491983145080731	-1
Tbx21	0.492074953604369	1
Mrpl10	0.965833604354209	1
Cyp51	0.456655650633755	1
Tcf25	0.324016346024768	-1
Tubb6	0.988143653902294	1
