Gene	p	FC
Xkr4	0.14249499201057	-0.167781653725868
Rp1	0.484769372588817	-0.485148227851675
Sox17	0.00612961453086039	-0.32314566338961
Mrpl15	0.0446288942636237	-0.0916316878657316
Lypla1	0.644153090354835	0.0209907686649837
Tcea1	0.0734678871690343	-0.0474423615023693
Rgs20	0.0994441764438212	0.0969398863437716
Atp6v1h	0.507355101586963	-0.0173166665515346
Oprk1	0.213483046856026	-0.172002317926248
Npbwr1	0.342451807604351	-0.122726781473816
Rb1cc1	1.07106403893364e-05	-0.13397456010022
Fam150a	0.987785677279716	-0.0510537500199476
St18	0.6365253444054	-0.0265972218554809
Pcmtd1	0.548721881868856	-0.0181001675311258
Sntg1	0.0014775039348036	-0.148485735406159
Rrs1	0.243980859182329	0.058672020408397
Adhfe1	0.917603462388008	0.00713659000265009
2610203C22Rik	0.543333262536366	0.098467583679948
3110035E14Rik	0.000911147317635088	-0.106867286689433
Mybl1	0.888250012735509	-0.0153964983283574
Vcpip1	0.207242156444002	-0.0424061331586404
1700034P13Rik	0.495998315063677	0.649696415158191
Sgk3	0.0549181047599315	0.131414201024077
Mcmdc2	0.0743926125596123	-0.137060722546792
Snhg6	0.199487795954624	0.110564160168116
Snord87	0.850847743331202	-0.134415311448689
Tcf24	0.062511138424897	0.462506442629794
Ppp1r42	0.706904063082426	-0.101913445718023
Cops5	0.717197008342275	-0.0121401865576364
Cspp1	0.321797124122528	-0.0534325741956432
Arfgef1	0.00481625814951719	-0.0768987887746277
Cpa6	0.275729921729265	-0.492004723003521
Prex2	0.0246452666898825	-0.150303838163824
A830018L16Rik	0.000209212416211815	-0.12921365287054
Gm17644	0.368523910705423	-0.0559878410456613
Sulf1	0.000549570015229977	0.838173411754019
Slco5a1	0.894723737792647	-0.0211298136924246
Prdm14	0.990459092343873	-0.0510504303952484
Ncoa2	0.00019396602273771	-0.107709489273123
Tram1	0.0044723339180023	0.113418652405534
Lactb2	0.00382797772180999	0.209524875221543
Xkr9	0.699863458301894	-0.772407289973893
Gm5523	0.201198362965803	0.749428482217646
Eya1	0.691845399740812	0.0244823464073302
Msc	0.751070849837179	-0.0612966725723132
Trpa1	0.000738262710918493	-1.14862894433206
Kcnb2	0.0191126783018573	-0.227876333247645
Terf1	0.282349231100418	0.0839613957143484
Sbspon	0.230675363949939	-0.195886907074865
4930444P10Rik	0.218856760503663	0.295296888732679
Rpl7	3.97334958904151e-12	0.160985837754071
Rdh10	0.169505877344913	0.0839393903922339
Stau2	0.00342468156516582	-0.0706324652934644
Ube2w	0.197066067775757	-0.0404118230561156
Tceb1	0.0054143342224308	-0.0873476966855455
D030040B21Rik	0.424211289268428	0.864327166014328
Tmem70	0.0613055051426107	-0.0793207581833869
Ly96	0.151849033773311	0.307213381603475
Jph1	0.626339610931277	-0.0368063452270823
Gdap1	0.0160073607862037	-0.0577980158626603
Pi15	0.156850143868192	0.185178677147303
Crispld1	0.593447550194828	-0.0455375972606446
Defb41	1	0
Tfap2d	0.807782577747829	0.40208188592066
Tfap2b	0.91972092460892	0.0628755790666882
