Gene	p	FC
Fam175a	0.883869888026064	0.0290995192991634
Mob3b	0.873835505548697	0.0315875521178885
Mdm4	0.418666860529208	0.106908009062295
Mir145a	1	0
1810034E14Rik	0.843314054146968	0.164461551376954
Vapa	0.285239137062089	-0.0673427836436081
Grik2	0.934084497003243	0.00892529585078047
Cacnb2	0.538105173605897	0.0693245921683417
Crat	0.379814259378729	-0.058022454483893
Akr1c14	0.660339708490418	0.177000159691808
Skap2	0.0919722846939493	0.229442149865786
Atg4c	0.632646324502882	-0.0407296581119664
Tsks	0.415426316894283	-0.316939311378947
Dand5	0.0437945304880388	-0.268153185670504
Med16	0.0477313181934657	-0.165269164773381
Tiam1	0.548976056440635	-0.0682335383267168
Desi1	0.103659982919064	-0.117654991663022
Bcr	0.293910373546427	-0.099450550838166
Dusp3	0.645171603750962	-0.0413527187254022
Itgax	6.04689555046085e-50	5.08756136187282
Gm16130	0.32376155697942	-1.04467336817049
Rhog	0.220561713211003	0.14839071993684
Ncam1	0.786230286765843	0.0243290648506642
Sec11c	0.524382594114732	-0.0501852146090155
Ppfia2	0.302457264122686	0.078839404728
Nipal1	0.766881665673501	1.26513000442895
Abca4	3.37498630094029e-06	0.941335888970397
Fkbp14	0.410752504887207	0.12515674965528
Mlx	0.229774920501529	-0.11266053351568
Kbtbd3	0.0932659608735438	-0.333239557466954
Lrrc74b	0.586263287066591	-0.331635314863662
Klhdc9	0.975918310571978	-0.0038522614496025
Madd	0.517796685238568	-0.0636213286567855
Patl2	0.842557838001955	0.315049598292112
Asb12	0.939566057809454	0.154288833158649
Zfp51	0.764849071280486	-0.0866811321206662
Fubp3	0.429874660018815	0.0701059518007736
Wac	0.655297882577573	0.0463590046277463
Grb14	0.42000413901259	-0.0934168062531959
Tagln2	0.0614851460660782	0.281181779506773
Ipp	0.70940601696415	0.0884725888991576
Mpl	0.581120017629001	-0.301264611811642
Sarm1	0.535595644735217	-0.087010184845222
5031414D18Rik	0.0165449577055859	0.772530734430886
Itpr3	0.293901207613109	0.182231581039501
Rab24	0.420002493138749	-0.0601578882074565
Etv3	0.804459763010463	0.0358363995256574
