Gene	p	FC
Gnai3	0.745148652126947	0.0213031181291057
Cdc45	0.548983699631902	-0.0974465172312286
H19	0.118222197270203	0.631546863895584
Scml2	0.81154368573409	-0.0514207752817775
Apoh	0.689535349377371	-0.16833254169772
Narf	0.957057001122936	0.00286579325957987
Cav2	0.329575320217054	0.103928711567462
Klf6	0.409220293178099	-0.0529319636547438
Scmh1	0.810642026003789	0.00971112874641101
Cox5a	0.273579663061613	0.0958281355691297
Tbx2	0.15170566234539	-0.236927594200031
Tbx4	0.0636107875218491	-0.888956093064121
Zfy2	1	0
Ngfr	0.209341333269179	-0.187961393158156
Wnt3	0.592574622465862	-0.0571908940633097
Wnt9a	0.577849451652537	-0.076283747671217
Fer	0.0615798990952102	-0.134827352229943
Xpo6	0.0459116040199217	-0.0692602500283332
Tfe3	0.069112151329087	0.0769607700318695
Axin2	0.713232901182967	-0.0260000835752478
Brat1	0.314295313557907	0.0669235549077417
Gna12	0.520123638202291	0.0435433511298397
Slc22a18	0.587776110660048	-0.24346827588985
Itgb2l	0.122605417323596	-1.05541321077171
Igsf5	0.496580613615657	-0.225108669429334
Pih1d2	0.465033521198407	0.135139133961793
Dlat	0.69228194701493	-0.0139462990253937
Sdhd	0.47871746811701	-0.0393670312257284
Fgf23	0.63209954804455	-0.208244312718993
Fgf6	1	0
Ccnd2	0.369896036482426	0.0966481381175497
Gpr107	0.678474875778468	-0.0148409701724255
Nalcn	0.0600972517482472	-0.10230826459245
Btbd17	0.836864755786337	-0.0182490066108759
Slfn4	0.686413006621625	-0.451126021619965
Th	0.995285906923264	0.00143798912984563
Ins2	0.467077028021587	-1.426018940431
Scnn1g	0.365831164093752	-0.3511332249746
Drp2	0.904948137951214	0.00610953043511284
Tspan32	0.165420650434364	-0.582122926345034
Lhx2	0.133958262950103	0.132398658160308
Clec2g	0.84785857087028	0.308677808432838
Gmpr	0.359438001373881	0.0710475699356018
Glra1	0.970733559401906	-0.0123421539242095
Mid2	0.0487679415814982	-0.148880908869141
Trim25	0.0937159069133304	0.195276094764413
Dgke	0.0948689642535204	-0.0780993933381024
Scpep1	0.0270200939697859	0.152829655716955
Mnt	0.0183351217783836	0.141322863384703
Itgb2	0.00049130766972899	0.412392961718901
Hddc2	0.32395732824057	0.120581077321128
Tpd52l1	0.405361432786429	-0.0663281292551619
Pemt	0.330250689016814	0.184394031376842
Cdh1	0.655882900015986	0.164991559232786
Cdh4	0.0627257842404885	-0.12966693292934
Ckmt1	0.746690138097651	0.0235503366905694
Bcl6b	0.0201444252640017	0.589796855752979
Clec10a	0.00195780729907444	0.817368874191927
Alox12	0.334079102223573	-0.328570957373253
Arvcf	0.337701610887653	-0.0420091005090471
Comt	0.508136493108627	0.0416582786472107
Rtca	0.553965201233458	-0.0346429061009359
Dbt	0.997828720052412	0.000158450103150205
Dazap2	0.359734294492304	-0.0303073005267004
Mcts1	0.661513510327679	0.0223431697783527
Rem1	0.0251097364259812	-0.797178811670849
Rnf17	0.0496728466226897	-0.738219947440211
Trappc10	0.057104157887881	-0.0609367785000922
Ccm2	0.395761794618928	0.0593204818484973
Wap	0.455573836252884	1.62889253686624
Tbrg4	0.581453969846512	0.0276455290464279
Tmprss2	0.215534183145305	-0.954728234190094
Mx1	0.00315208937880808	0.959870699051261
Fap	0.786337247676177	-0.0486508022273336
Gcg	0.728088616440917	0.493428740908249
Ndufa9	0.810395298630608	-0.0134799892722643
Egfl6	0.480478410264637	0.111623077472192
Lck	0.288117923933757	0.181714280637974
Tssk3	0.276789387954951	0.696144592647175
Cttnbp2	0.544018727629374	-0.0448754097413546
Galnt1	0.335050448140033	-0.0397172470828696
Myf5	0.930279294252862	0.145048553503638
Mkrn2	0.435125497238991	-0.039855892116097
Pparg	0.302491314363266	0.165056451575159
Raf1	0.974575251100098	0.00128090362437626
Sept1	0.532835450904893	0.103336710534724
Pdgfb	0.221285623974724	0.120964071832666
Acvrl1	0.589505103090882	0.0445041123880495
Grasp	0.132104752338348	0.163556452450911
Acvr1b	0.40601097475809	-0.0268798459397298
Tom1l2	0.620219757521232	0.0141345600498594
Gpa33	0.28842159730602	-1.90131812810341
Zfp385a	0.0394820185744791	0.113448711391822
Itga5	0.0773584196072808	0.206895622286394
Gabra2	0.305810837568148	0.0737389109932099
Wdr77	0.631816475652344	-0.0239915554941105
Adora3	0.686236596841801	0.128665874070545
Atp5pb	0.871114298314292	-0.00905642890436842
Sox9	0.757064539954321	0.0282377323909278
Hnrnpd	0.550098647855839	-0.0344365467500368
Dynlt1c	0.379684918188936	-0.138331745824174
C1d	0.739785155139191	-0.0196639026506363
Gm2a	0.282495969617262	0.0555742227837713
Krit1	0.714484749647363	-0.0289640595327458
Clcn4	0.29532208292272	-0.030593750522175
Vmn2r88	1	0
Grm6	0.329595266120984	-1.78520462538519
Sema4f	0.388742259757096	0.044087371882973
Hk2	0.0246388163448464	0.20475457617077
Myo18a	0.514859305995497	-0.0176510713908083
Sez6	0.262816773759968	-0.057439250689418
Haao	0.708093618184668	0.248231511016482
Cd52	4.60539495113157e-05	1.08735656146923
Abhd15	0.229735116901937	-0.362131599071962
Hoxb6	0.853114026332446	0.313437602334314
Loxl3	0.910558822026558	-0.0140303642874481
Tcl1b5	1	0
Btn1a1	0.5676858406374	0.252745635505919
Kat2b	0.276910033260247	-0.0633619365321006
Rab5b	0.709007649268439	-0.00997658816330054
Cryba1	0.159993794642793	-1.50949795162646
Dnmt3l	0.684975327363604	0.279002122428567
Aire	0.367855482083366	-0.420860924826503
Icosl	0.5259893447965	0.115785886771428
Spg7	0.068057963756862	0.0794495967923852
Sult5a1	0.574203339232275	0.245646821867135
Rpl13	0.821381114056364	0.0172282411585946
Chmp1a	0.86737799472185	0.00936707969223882
Rpa1	0.959007866490881	-0.00224960622754781
Serpinf1	0.449932089522696	0.112059625905642
Tubgcp3	0.104019633625581	-0.0583199070679606
Oprm1	0.143465456232486	-0.267843460639427
Polr3d	0.283709350761971	0.0626661777128929
Tcf7	0.641947888350116	0.0587913887227852
Ddx3x	0.245079304548215	-0.07536726859641
Il12rb1	0.27531086250309	0.282004250244206
Slc5a5	0.809262341828235	0.0329745104724235
Kcnn3	0.660509510679134	-0.0337940003716427
Usp32	0.029973127128501	-0.112258257344575
Car4	0.015536939610022	0.193599320278795
Txnrd3	0.174814863581242	-0.167107738470125
Fasl	0.203121114569694	0.689064325401814
Zfp512b	0.964413354391655	-0.00259295867328792
Dnajc5	0.36926958203226	-0.0226250061733367
Tpd52l2	0.652270610399499	0.018473840871247
Fmr1	0.428672953241273	-0.0812883415029054
Bcl11a	0.89213817174797	-0.00953483168083863
Il4	0.0166887651952375	0.175466527882704
Pxmp4	0.3373063487642	0.0658372534624718
Dlg3	0.826949077661016	-0.00881885659122801
Gnb1l	0.202405206068093	-0.152834649080127
Dbh	0.143462993511588	-0.321891530985184
Mmp11	0.961266564746315	0.00864653194231344
Smarcb1	0.875234564390239	0.00769345285793158
Vpreb3	0.234568332631223	0.771418058136114
Hip1r	0.912661164726846	0.00539833855997361
Nsun5	0.701110468795038	0.0286305790239863
Top1mt	0.821143215909136	0.0165134487710268
Hoxa10	1	0
Hoxa4	0.264639707394686	0.883801696918369
Gm38393	0.836754661207126	-0.0484443919565741
Mmp14	0.0512950311679242	0.354165344799516
Slc7a7	0.788744222390899	-0.0490694529423702
Oxa1l	0.982852056608529	-0.00111548744895721
Heatr6	0.173079332873761	-0.0717433471606993
Ccl3	0.00555127805216098	1.24232542832863
Wfdc18	0.646352756707154	-0.188859862156679
Icam4	0.843721526280891	0.0436800844457603
Ilf2	0.890937066394886	0.00634448382678149
Chtop	0.494238041533226	0.026516731135684
Snapin	0.737118712680551	-0.017925057088756
S100a4	0.566583140657257	0.575222914086558
S100a3	0.437463031297311	0.343042358749897
S100a5	0.726788069098983	-0.433246594322107
S100a6	0.177145992018466	0.186568647620078
Scn4a	0.401959370105906	-1.09328212248188
Icam2	0.858510808474451	-0.037593365480423
Mapk7	0.244580963168012	0.0833211111341518
Epn2	0.810252237486787	-0.00730218574417873
B9d1	0.253616997180826	-0.0777709896045966
Sec24b	0.210177228618751	-0.0495725330560869
N4bp3	0.198981019628776	0.124939238756063
Rmnd5b	0.418940538896205	-0.048342496702922
Nhp2	0.615697978957795	0.0444534533256603
Vps9d1	0.0776230207513629	0.0812332633555074
Zfp276	0.388125176055518	0.0633939737328842
C1ql4	0.106078111841457	-0.447114844683783
Mfsd10	0.372808025788403	0.0544314767569486
Luzp1	0.595797891196316	-0.0308465723775376
Slc13a2	1	0
Kctd10	0.323714878995717	-0.0525210906725276
Poldip2	0.815643761176196	0.0118250956822317
Sebox	0.333015004624899	0.167746399264361
Ift20	0.979578940989224	-0.00166171996064939
Col6a1	0.427306791876667	0.0775502231925154
Pcbp3	0.978949274725102	0.0032677508286507
Lgals9	0.0713161237214152	0.245034213892495
Araf	0.527151204071316	0.0161586517106349
Cfp	0.105627985289434	0.187112944404379
