Gene	p	FC
Gnai3	0.0951003178182026	-1
Cdc45	0.0580401521847203	1
H19	0.229509090702743	-1
Scml2	0.00893103325781973	1
Apoh	0.995589387085182	1
Narf	0.588656202205741	-1
Cav2	0.719690344259993	1
Klf6	0.267800840942761	1
Scmh1	0.0920050353129416	-1
Cox5a	0.0566463041601499	-1
Tbx2	0.0350140654730012	-1
Tbx4	0.383860567635894	-1
Zfy2	0.951903802177459	1
Ngfr	0.462151453026859	1
Wnt3	0.0518526583093636	1
Wnt9a	0.00896818945980905	-1
Fer	0.427726171080064	1
Xpo6	0.335280695923315	1
Tfe3	0.682327977349493	-1
Axin2	0.189588563563887	-1
Brat1	0.957408983867302	-1
Gna12	0.567659988496071	-1
Slc22a18	0.455102090529527	-1
Itgb2l	0.196769192263517	1
Igsf5	0.973181234277512	-1
Pih1d2	0.27619016376858	1
Dlat	0.404756529702797	-1
Sdhd	0.257512836823911	-1
Fgf23	0.826333210572551	-1
Fgf6	0.815704888233559	-1
Ccnd2	0.486946335371964	-1
Gpr107	0.347878919181447	1
Nalcn	0.0229217364678028	1
Btbd17	0.0595931853622868	-1
Slfn4	0.480814401028776	-1
Th	0.0033964575130302	-1
Ins2	0.762875318635916	1
Scnn1g	0.467202592139706	-1
Drp2	0.698321879943074	-1
Tspan32	0.0211312266114253	1
Lhx2	0.398028967495009	-1
Clec2g	0.712761476065811	-1
Gmpr	0.0671597993149579	-1
Glra1	0.419787010029747	1
Mid2	0.328637288566772	1
Trim25	0.132311519518124	1
Dgke	0.0935172873758432	1
Scpep1	0.96503811250484	1
Mnt	0.799871681665832	1
Itgb2	0.0131714557658336	1
Hddc2	0.691588607954226	-1
Tpd52l1	0.880863683621673	1
Pemt	0.920646910366756	1
Cdh1	0.976420395623095	-1
Cdh4	0.381509492344746	1
Ckmt1	0.560305625075432	-1
Bcl6b	0.10303457041252	-1
Clec10a	0.575154754621754	1
Alox12	0.615991775181811	-1
Arvcf	0.068173380775673	-1
Comt	0.836850416029974	-1
Rtca	0.265415402333141	-1
Dbt	0.508639190028391	1
Dazap2	0.00735671505292693	-1
Mcts1	0.0843508156835324	-1
Rem1	0.00879053576535435	-1
Rnf17	0.399009757750213	-1
Trappc10	0.0528434249092205	1
Ccm2	0.531532650767326	-1
Wap	0.924183623996106	1
Tbrg4	0.554782900964397	-1
Tmprss2	0.795896514289642	-1
Mx1	0.0797167075116736	1
Fap	0.981892807841956	-1
Gcg	0.0952823804010469	-1
Ndufa9	0.974461121315289	-1
Egfl6	0.577653131862122	-1
Lck	0.187916287137615	1
Tssk3	0.681597023954638	-1
Cttnbp2	0.16643492640495	-1
Galnt1	0.836476401066283	1
Myf5	0.74554498997186	1
Mkrn2	0.907842683275258	1
Pparg	0.0449080121730226	-1
Raf1	0.315740297998645	-1
Sept1	0.0170248909195697	-1
Pdgfb	0.479602675254891	-1
Acvrl1	0.907174942181545	-1
Grasp	0.144814313254931	-1
Acvr1b	0.0715979349015949	-1
Tom1l2	0.744882500186646	1
Gpa33	0.0480826997505827	-1
Zfp385a	0.508433320020212	-1
Itga5	0.587132117670448	1
Gabra2	0.29451539378501	1
Wdr77	0.168793711303714	-1
Adora3	0.0140804557009718	1
Atp5pb	0.0824991696931674	-1
Sox9	0.278429910909261	-1
Hnrnpd	0.60110952642889	1
Dynlt1c	0.161688997924931	1
C1d	0.507724617838402	1
Gm2a	0.965710212563704	-1
Krit1	0.699947741962286	1
Clcn4	0.372267451403284	-1
Grm6	0.494135803064648	1
Sema4f	0.882056060627809	-1
Hk2	5.18767852274374e-05	1
Myo18a	0.604227126423621	-1
Sez6	0.127359715800802	-1
Haao	0.746758764492066	1
Cd52	0.0123233115320781	1
Abhd15	0.733575347404532	-1
Hoxb6	0.818041372121675	1
Loxl3	0.646945089188713	-1
Btn1a1	0.573191701762537	1
Kat2b	0.506181124576555	1
Rab5b	0.980246930940341	1
Cryba1	0.839242721807914	-1
Dnmt3l	0.21252723365769	1
Aire	0.69612223938886	1
Icosl	0.73962843840673	1
Spg7	0.135324456264188	-1
Sult5a1	0.963748092667092	-1
Rpl13	0.0297710483439609	-1
Chmp1a	0.447385740070612	-1
Rpa1	0.580653848996961	-1
Serpinf1	0.487882083877479	-1
Tubgcp3	0.207459771161665	1
Oprm1	0.0311742457791033	1
Polr3d	0.589057916870791	-1
Tcf7	0.10933655983148	-1
Ddx3x	0.189170171651381	1
Il12rb1	0.299009439024227	1
Slc5a5	0.560034824359893	1
Kcnn3	0.00826011705891152	1
Usp32	0.0266553876701483	1
Car4	0.208439272045612	-1
Txnrd3	0.129678803398834	-1
Fasl	0.882572762708364	1
Zfp512b	0.665765732945003	-1
Dnajc5	0.522893695393624	1
Tpd52l2	0.656757243538407	-1
Fmr1	0.970994096913698	-1
Bcl11a	0.0723559738490278	-1
Il4	0.636158859511674	1
Pxmp4	0.871870485766775	-1
Dlg3	0.74959600764684	-1
Gnb1l	0.658549379655166	-1
Dbh	0.945923364634304	-1
Mmp11	0.366495771698311	1
Smarcb1	0.19427696364804	-1
Vpreb3	0.685404879486991	1
Hip1r	0.126284274378944	-1
Nsun5	0.564098547945463	-1
Top1mt	0.538030909969806	1
Hoxa10	0.951903802177459	1
Hoxa4	0.784929592492359	-1
Gm38393	0.30507566091134	1
Mmp14	0.473894916844701	-1
Slc7a7	0.335315130431458	-1
Oxa1l	0.3119694173115	-1
Heatr6	0.0623399891596673	1
Ccl3	3.06314215171835e-06	1
Wfdc18	0.103595162164384	-1
Icam4	0.119799959407737	-1
Ilf2	0.0724873173329458	-1
Chtop	0.185030268418848	-1
Snapin	0.292132344555418	-1
S100a4	0.256883732698714	-1
S100a3	0.394668637417167	1
S100a5	0.0488848947072665	-1
S100a6	0.737750606992078	1
Scn4a	0.598262181457602	-1
Icam2	0.799371779700473	-1
Mapk7	0.499413223203666	-1
Epn2	0.783361906174614	-1
B9d1	0.458431209753478	-1
Sec24b	0.248373959307009	1
N4bp3	0.125517840352492	-1
Rmnd5b	0.439618718694162	1
Nhp2	0.400404180272985	-1
Vps9d1	0.105225344606342	-1
Zfp276	0.505707144420879	-1
C1ql4	0.422853275440229	1
Mfsd10	0.906565673051011	1
Luzp1	0.0617386640836862	1
Slc13a2	0.942150598193153	1
