Gene	p	FC
Gnai3	0.407055597464041	1
Cdc45	0.0907843559211672	1
H19	0.128064902431731	1
Scml2	0.620611552624829	1
Apoh	0.983527372804655	1
Narf	0.427605750317256	-1
Cav2	0.00395413828923104	-1
Klf6	0.0543432992740549	-1
Scmh1	0.688683114633236	-1
Cox5a	0.698248444031916	1
Tbx2	0.157283669586764	1
Tbx4	0.709297187349223	1
Ngfr	0.129227007085618	1
Wnt3	0.832834543400344	1
Wnt9a	0.836585996123283	-1
Fer	0.0753471535812449	-1
Xpo6	0.180042274997689	1
Tfe3	0.0371798349839332	1
Axin2	0.646288449058507	1
Brat1	0.705487428905291	1
Gna12	0.628207575365019	-1
Slc22a18	0.440216536489598	1
Itgb2l	0.216148058131387	-1
Igsf5	0.723386815098428	-1
Pih1d2	0.838659765455398	-1
Dlat	0.143879350929442	-1
Sdhd	0.171033903538985	-1
Fgf23	0.275679227065163	1
Ccnd2	0.627621730804757	-1
Gpr107	0.585015427236563	-1
Nalcn	0.00770332332387785	-1
Btbd17	0.438416255952517	-1
Slfn4	0.366691852400645	-1
Th	0.350593433693435	-1
Ins2	0.665981781895898	1
Scnn1g	0.394779279689111	1
Drp2	0.676161928383071	-1
Tspan32	0.146523708548006	1
Lhx2	0.137098761547124	-1
Gmpr	0.971954830091057	1
Glra1	0.161352524445294	-1
Mid2	0.110764674840173	-1
Trim25	0.139356643537633	1
Dgke	0.358227514246456	-1
Scpep1	0.00832039004984737	1
Mnt	0.687065994469433	1
Itgb2	4.92340384251554e-05	1
Hddc2	0.779158924456238	-1
Tpd52l1	0.160658236364733	-1
Pemt	0.461702442099536	-1
Cdh1	0.652239087288638	-1
Cdh4	0.715224260206364	1
Ckmt1	0.0423311619246924	-1
Bcl6b	0.187809869738033	-1
Clec10a	0.658364764120936	-1
Alox12	0.845658802175953	-1
Arvcf	0.58948611817921	-1
Rtca	0.230748522127198	1
Dbt	0.891400445895414	-1
Dazap2	0.323444573447967	1
Mcts1	0.36515257561237	-1
Rem1	0.416063483049	-1
Rnf17	0.0599835801887653	-1
Trappc10	0.537990517333574	1
Ccm2	0.297404577155391	-1
Tbrg4	0.943759097489931	1
Tmprss2	0.221759056460696	1
Mx1	0.563977607388068	1
Fap	0.992140162383373	1
Gcg	0.373744629110684	1
Ndufa9	0.107659049503145	-1
Egfl6	0.276048841313391	-1
Lck	0.363612088786704	1
Tssk3	0.885437329716061	-1
Cttnbp2	0.331751767076432	-1
Galnt1	0.229518874385986	-1
Myf5	0.825606966841827	1
Mkrn2	0.389930928998779	-1
Pparg	0.976709831491834	1
Raf1	0.677189564782737	1
Sept1	0.928762686142054	-1
Pdgfb	0.576974608118067	1
Acvrl1	0.267223462092368	-1
Grasp	0.998483853248467	-1
Acvr1b	0.503250818033307	1
Tom1l2	0.0264233879483657	-1
Zfp385a	0.157800655449119	1
Itga5	0.0872608628247342	1
Gabra2	0.0233986152962899	-1
Wdr77	0.632691758889745	1
Adora3	0.176407358838801	1
Atp5pb	0.0383086730756425	-1
Sox9	0.94356776739001	-1
Hnrnpd	0.312241870215186	-1
Dynlt1c	0.843753286452281	-1
C1d	0.55271993336312	-1
Gm2a	0.00585824391225464	1
Krit1	0.0945054546822907	-1
Clcn4	0.00497847798318626	-1
Sema4f	0.143842626120247	-1
Hk2	0.0772379129870512	1
Myo18a	0.872850138687638	-1
Sez6	0.858679518038426	1
Haao	0.844942328240463	-1
Cd52	0.00807320781311505	1
Abhd15	0.824611652507291	-1
Loxl3	0.600985811396492	1
Btn1a1	0.367227402679239	1
Kat2b	0.265243950169579	1
Rab5b	0.391364119093467	-1
Cryba1	0.48250762401806	1
Dnmt3l	0.687956389681522	-1
Aire	0.200984872884325	1
Icosl	0.958102340407963	-1
Spg7	0.583044828902808	1
Sult5a1	0.748423303575843	-1
Rpl13	0.966069368793596	-1
Chmp1a	0.352649366861099	-1
Rpa1	0.962858231055931	-1
Serpinf1	0.622328386294047	1
Tubgcp3	0.675197215885355	1
Oprm1	0.956431761370468	-1
Polr3d	0.9887682037347	1
Tcf7	0.800156834829756	-1
Ddx3x	0.4384033407401	-1
Il12rb1	0.235628778471987	1
Slc5a5	0.752681171248692	1
Kcnn3	0.542843500917174	-1
Usp32	0.0457685266640394	-1
Car4	0.318586136464877	1
Txnrd3	0.0533585193342223	1
Fasl	0.419756111044882	1
Zfp512b	0.0569910333476851	1
Dnajc5	0.00310461211142975	-1
Tpd52l2	0.366874073276675	1
Fmr1	0.000934760439008665	-1
Bcl11a	0.131774982036632	1
Il4	0.775376061797539	1
Pxmp4	0.59014102894804	1
Dlg3	0.0950068944849103	-1
Gnb1l	0.139810216827578	1
Dbh	0.552803152126399	-1
Mmp11	0.360912099953925	1
Smarcb1	0.916864296800168	-1
Vpreb3	0.796985532468906	1
Hip1r	0.637285769932808	1
Nsun5	0.81137869193006	-1
Top1mt	0.971577519321225	1
Gm38393	0.755716194760649	1
Mmp14	0.392989309322494	1
Slc7a7	0.117105138107339	1
Oxa1l	0.041239931546714	1
Heatr6	0.440143276219791	-1
Ccl3	0.125042315830788	1
Wfdc18	0.841436551718054	-1
Ilf2	0.820579899602657	-1
Chtop	0.263378518562403	-1
Snapin	0.319991212505468	1
S100a4	0.489160174975946	1
S100a3	0.0849942942258844	1
S100a5	0.415030028290003	-1
S100a6	0.00016734128225103	1
Scn4a	0.631774322770541	1
Icam2	0.0476320623898878	-1
Mapk7	0.768604275081052	-1
Epn2	0.331973967476802	-1
B9d1	0.465986926832943	-1
Sec24b	0.625138561258838	1
N4bp3	0.322292594473384	-1
Rmnd5b	0.726293140070383	1
Nhp2	0.13187494700496	-1
Vps9d1	0.338785463420384	1
Zfp276	0.506006391176195	1
C1ql4	0.726904598824919	-1
Mfsd10	0.0203023793656464	1
Luzp1	0.00384372275102159	-1
Kctd10	0.922311671605756	-1
Poldip2	0.606201061924278	1
Sebox	0.826151744411457	1
Ift20	0.789628426982324	-1
Col6a1	0.424125194101331	-1
Pcbp3	0.957207578916289	-1
Lgals9	0.770139600471279	1
