Name	Genes (tot)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)
H+[g]	196	2.63504895438393	0.0042062574611932	0.140909624949972	0.557558432698244	0.288572973782987	0.966392969155418	1.85713430542432	0.0316460242943986	0.678490760871906	-1.53748676135358	0.937912922745855	0.999999961923577	1.53748676135358	0.0620870772541448	0.79234936686242
LacCer pool[c]	60	2.35029686017646	0.00937922186042364	0.209469288216128	2.22777844426817	0.0129476464862305	0.488857366531352	0.404487072177671	0.342927291276709	0.841534008062522	1.37719764625152	0.084225574682963	0.780976880046225	-1.37719764625152	0.915774425317037	1
UDP[c]	143	2.05044468748689	0.0201605280929774	0.400370160886227	0.842145028874061	0.199853389586335	0.966392969155418	0.845548308069768	0.198902386371491	0.841534008062522	-1.23079201847439	0.890799669259834	0.988047795389292	1.23079201847439	0.109200330740166	0.989580667327547
UDP[g]	100	2.11340587438242	0.0172830218022926	0.370547987441153	0.61158402059077	0.270406506519866	0.966392969155418	1.6111359983896	0.0535750418624064	0.834743825966246	-0.98828921042532	0.83849448596437	0.950175569718609	0.98828921042532	0.16150551403563	0.989580667327547
UDP-galactose[c]	60	1.21953792702816	0.111320044906182	0.742278868200778	0.342705966460285	0.365909836839027	0.966392969155418	0.311590849416708	0.37767574468686	0.841534008062522	0.398275835684994	0.345213435313921	0.780976880046225	-0.398275835684994	0.654786564686079	0.989580667327547
UDP-galactose[g]	58	1.15270184090802	0.12451639279357	0.742278868200778	0.463493829013089	0.321505218558249	0.966392969155418	0.0504423343674151	0.479884950679654	0.841534008062522	0.351847469625984	0.362476328158009	0.780976880046225	-0.351847469625984	0.637523671841991	0.989580667327547
D-galactosyl-N-acylsphingosine[c]	49	1.32044145019151	0.0933438360740325	0.742278868200778	0.379604616767332	0.352119466617328	0.966392969155418	0.729473265435557	0.232856107768703	0.841534008062522	0.0309370362581776	0.487659876693466	0.780976880046225	-0.0309370362581776	0.512340123306534	0.989580667327547
D-galactosyl-N-acylsphingosine[g]	50	1.21785141535889	0.111640220874998	0.742278868200778	0.379604616767332	0.352119466617328	0.966392969155418	0.492178224823532	0.311296678278309	0.841534008062522	0.0110419947835673	0.495594970935383	0.780976880046225	-0.0110419947835673	0.504405029064617	0.989580667327547
digalactosylceramide[c]	48	1.23116517418444	0.109130546855582	0.742278868200778	0.257464332679353	0.398410172909078	0.966392969155418	0.729473265435557	0.232856107768703	0.841534008062522	-0.133641209964479	0.553156852188525	0.797021701002821	0.133641209964479	0.446843147811475	0.989580667327547
digalactosylceramide[g]	49	1.12948028338117	0.12934764117659	0.742278868200778	0.257464332679353	0.398410172909078	0.966392969155418	0.492178224823532	0.311296678278309	0.841534008062522	-0.151534812507512	0.560223074254833	0.801465184526449	0.151534812507512	0.439776925745167	0.989580667327547
glucosylceramide pool[c]	53	1.15244850697945	0.124568408992923	0.742278868200778	0.371669742685156	0.355069377773483	0.966392969155418	0.3247940976913	0.372668455970329	0.841534008062522	-0.0822448622799069	0.532774000340769	0.780976880046225	0.0822448622799069	0.467225999659231	0.989580667327547
glucosylceramide pool[r]	50	0.976719685264132	0.164353973411237	0.742278868200778	0.257464332679353	0.398410172909078	0.966392969155418	0.14726424921089	0.44146172488536	0.841534008062522	-0.156604814080561	0.562221845861837	0.801465184526449	0.156604814080561	0.437778154138163	0.989580667327547
LacCer pool[r]	48	1.23116517418444	0.109130546855582	0.742278868200778	0.257464332679353	0.398410172909078	0.966392969155418	0.729473265435557	0.232856107768703	0.841534008062522	-0.133641209964479	0.553156852188525	0.797021701002821	0.133641209964479	0.446843147811475	0.989580667327547
UDP[r]	74	2.3634996136945	0.00905162276650197	0.209469288216128	1.99568534323906	0.0229840917168135	0.664469161532129	0.532085710909186	0.297333316761876	0.841534008062522	1.07012035484575	0.142282569046264	0.780976880046225	-1.07012035484575	0.857717430953736	0.995169658915041
UDP-galactose[r]	50	1.2444995016333	0.106657891334945	0.742278868200778	0.379604616767332	0.352119466617328	0.966392969155418	0.552974642677074	0.290140386907109	0.841534008062522	0.000593555976843311	0.499763205438956	0.780976880046225	-0.000593555976843311	0.500236794561044	0.989580667327547
