Gene	p	FC
Gnai3	0.982305573901634	1
Cdc45	0.678114514044385	-1
H19	0.704421714265433	-1
Scml2	0.804121548528449	-1
Apoh	0.993815135555373	-1
Narf	0.186098505799895	-1
Cav2	0.292768730194889	1
Klf6	0.603724582039246	1
Scmh1	0.834976363152888	-1
Cox5a	0.297941190384678	-1
Tbx2	0.452582714205234	-1
Tbx4	0.913293244490795	-1
Ngfr	0.363790266231624	-1
Wnt3	0.829673518607417	1
Wnt9a	0.814905226186223	-1
Fer	0.952181986471526	1
Xpo6	0.769661392747928	1
Tfe3	0.84968718817865	-1
Axin2	0.885491340005119	-1
Brat1	0.522833147257138	-1
Gna12	0.300891570926331	-1
Slc22a18	0.512786164930922	-1
Itgb2l	0.773293895030163	-1
Igsf5	0.665267441018245	1
Pih1d2	0.483811795540315	1
Dlat	0.930930268906015	1
Sdhd	0.961173955932967	-1
Fgf23	0.535998417587744	1
Ccnd2	0.427076297907371	-1
Gpr107	0.443955655975631	-1
Nalcn	0.693140677457441	1
Btbd17	0.648519500887134	-1
Slfn4	0.886981284459995	-1
Th	0.143405934389623	1
Ins2	0.775154435552605	-1
Scnn1g	0.0420741956637196	-1
Drp2	0.881144504592647	1
Tspan32	0.614305876140132	1
Lhx2	0.00419725818220201	-1
Clec2g	0.903454316890629	-1
Gmpr	0.995323947375049	-1
Glra1	0.721791487534582	1
Mid2	0.400245832608689	1
Trim25	0.630210005117253	1
Dgke	0.214519660462902	1
Scpep1	0.225734911386042	1
Mnt	0.764428614385116	1
Itgb2	0.980748140817553	1
Hddc2	0.257004849437783	-1
Tpd52l1	0.112631392298541	-1
Pemt	0.756668788395235	-1
Cdh1	0.467497982250903	1
Cdh4	0.797242754690909	1
Ckmt1	0.715220220974054	-1
Bcl6b	0.323081102063824	-1
Clec10a	0.950335327272596	-1
Alox12	0.468004865745857	-1
Arvcf	0.607391788643067	1
Rtca	0.447772754858552	1
Dbt	0.0284087651505632	-1
Dazap2	0.839356048689532	-1
Mcts1	0.866633588591927	-1
Rem1	0.754069549860234	-1
Rnf17	0.72261992575236	-1
Trappc10	0.784095150507825	-1
Ccm2	0.221620884182319	-1
Tbrg4	0.929155125651633	-1
Tmprss2	0.564221359501885	1
Mx1	0.327853671248656	-1
Fap	0.377691779184444	1
Gcg	0.872598200655852	1
Ndufa9	0.0349086624639379	-1
Egfl6	0.550078864567399	-1
Lck	0.715752334650099	1
Tssk3	0.909304472338428	1
Cttnbp2	0.810050199418127	-1
Galnt1	0.450223885849213	1
Mkrn2	0.776262532910431	-1
Pparg	0.52208643684016	1
Raf1	0.436744849585908	-1
Sept1	0.457184865562313	-1
Pdgfb	0.685160884091106	1
Acvrl1	0.166550733205201	-1
Grasp	0.830529831730215	-1
Acvr1b	0.76837475752538	1
Tom1l2	0.117847050584179	-1
Zfp385a	0.16582528115284	-1
Itga5	0.412643044975233	1
Gabra2	0.692502782777857	1
Wdr77	0.671145921907822	1
Adora3	0.671236135549496	1
Atp5pb	0.746819527047996	1
Sox9	0.765138039757305	-1
Hnrnpd	0.177449474280042	1
Dynlt1c	0.785246516647213	-1
C1d	0.522956663593308	1
Gm2a	0.112865561844822	-1
Krit1	0.870636455061877	1
Clcn4	0.392377091974205	1
Grm6	0.969026495450965	1
Sema4f	0.413515858322495	-1
Hk2	0.8423056213113	1
Myo18a	0.46242923630534	-1
Sez6	0.921718248798518	-1
Haao	0.521606119939985	1
Cd52	0.19310342471133	-1
Abhd15	0.799949540407351	-1
Loxl3	0.143770862232956	-1
Btn1a1	0.0939054775784735	1
Kat2b	0.812607196128716	1
Rab5b	0.993746383795744	-1
Cryba1	0.814357469762289	-1
Dnmt3l	0.66078649434853	1
