"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Xkr4"	335.773579755506	0.00441585734291493	0.108431842190073	0.040724728582719	0.967515347387498	0.995289129140005
"Rp1"	0.840658319215933	0.320712166319819	0.666139638946444	0.481448854818266	0.630197521512613	NA
"Sox17"	54.3908394899134	0.430982824493909	0.112387063219421	3.83480813670229	0.000125662346894101	0.00877584798105334
"Mrpl15"	272.774971790571	-0.0743860097412867	0.0433658167547221	-1.71531439525319	0.0862876007182042	0.492291046444973
"Lypla1"	375.785731000535	-0.0231902931608482	0.04351622150334	-0.532911460593339	0.594094871457437	0.899548856705149
"Tcea1"	1278.20635002759	-0.0477842224652372	0.0253318294090108	-1.88633129071364	0.0592503251834824	0.420712888864745
"Rgs20"	185.613589774239	-0.0379776933026269	0.0569801943438012	-0.666506910690425	0.505087147984862	0.862121464766935
"Atp6v1h"	1774.24920300994	-0.014585853149928	0.0249656464951457	-0.584236949472312	0.559060905406787	0.888076944338953
"Oprk1"	25.1597293494396	-0.150010239630827	0.13520997891424	-1.10946130481962	0.267231228436754	0.726919923458324
"Npbwr1"	29.7383556787363	0.10678381734716	0.120930765509858	0.883016136521973	0.377227553055555	0.802286219048361
"Rb1cc1"	1630.93700844464	-0.0128998363846796	0.0288889348408276	-0.446532087657615	0.655212939510238	0.918382353978878
"Fam150a"	0.0924633258965661	0.321938460564856	3.17978463386432	0.101245366474273	0.919355684474787	NA
"St18"	580.354839178907	-0.0359795273480384	0.0536139290915973	-0.671085442862596	0.502166099967672	0.861135136740477
"Pcmtd1"	2357.64637518267	0.00847306481768873	0.0288083813864564	0.294118045162792	0.768667702365733	0.949911808817307
"Sntg1"	432.264534300128	-0.084415608238734	0.0445086091935114	-1.89661303213762	0.0578790293214957	0.417507976641958
"Rrs1"	250.045984793653	-0.020931316717728	0.0480320714043275	-0.435777931406102	0.662997856972226	0.919650857948503
"Adhfe1"	201.904016625647	-0.046197998216777	0.0665581007480166	-0.694100307814953	0.487619305568869	0.853346253276399
"2610203C22Rik"	18.2552021503086	0.0515344115587444	0.159851571935556	0.322389144721833	0.747157906860524	0.945038067316525
"3110035E14Rik"	3394.70452993554	0.00122827437095034	0.0306938417237429	0.0400169643801942	0.968079601506051	0.995289129140005
"Mybl1"	39.4372765211258	-0.0597714403701545	0.109584106452784	-0.545438953740141	0.585451655437911	0.897199232978743
"Vcpip1"	951.688454493206	0.00660917457953991	0.0319153561642795	0.207084468853181	0.835943891257873	0.968447422264352
"1700034P13Rik"	0.620778474867205	-0.156794644468383	0.939212848371969	-0.166942610229588	0.867415205459828	NA
"Sgk3"	163.491344595413	-0.0734762083903143	0.0666221382033368	-1.10287976897497	0.270079380974554	0.729250444306642
"Mcmdc2"	97.8598852501504	0.0716429871469822	0.0732907263158742	0.977517767230325	0.328312886112091	0.771280329744161
"Snhg6"	86.1846979664945	-0.0575054739121415	0.0839833378895356	-0.684724796099189	0.49351759891431	0.856968472054776
"Snord87"	0.722061380057405	0.27017280335007	0.799155775883312	0.338072765665049	0.735308353332068	NA
"Tcf24"	6.09364520758417	0.0518508352851985	0.313077863916335	0.165616420901143	0.868458823750513	0.977097454210958
"Ppp1r42"	7.16180581433551	-0.397072670825388	0.2652793874863	-1.49680936234028	0.134442869492437	0.575178115334634
"Cops5"	638.595513687465	-0.0514475040682131	0.0321867130150375	-1.59840813953811	0.109952174334926	0.539049198530253
"Cspp1"	363.687565752816	-0.0180866902370583	0.0513901601997879	-0.351948508561624	0.724876879037383	0.940206947986895
"Arfgef1"	2017.58442711844	-0.0164303731096396	0.0259656132538069	-0.632774313821791	0.526881032819715	0.873397798152448
"Cpa6"	3.95514960528656	-0.127623224482737	0.421881056081051	-0.302509967307512	0.762263336369375	0.948230411288832
"Prex2"	1417.13600946307	-0.074055647580671	0.0637161964298691	-1.16227351490107	0.245124381248297	0.706906820016578
"A830018L16Rik"	1370.26489332785	-0.0471763145630226	0.0331693692126738	-1.42228555088099	0.154943371765737	0.604717402124034
"Gm17644"	162.328397562885	0.0212781175215456	0.0601301875942236	0.353867472776514	0.723438204748029	0.940206947986895
"Sulf1"	120.563009981014	0.359024658757027	0.232275765334352	1.54568281473629	0.122181189638403	0.556729734943561
"Slco5a1"	52.3303761347655	0.0932601974594263	0.150662633329011	0.619000182054224	0.53591623895304	0.877047044331566
"Prdm14"	0.0651353326055599	-0.158956941820854	4.07065116298823	-0.0390495120943169	0.968850913749595	NA
"Ncoa2"	1671.64864659806	0.0136386112828669	0.027516837220146	0.495646035689074	0.620144166960599	0.907300648572281
"Tram1"	390.276012237984	0.0359624117780257	0.0388731881812469	0.925121232926674	0.354902849519209	0.790010645082507
"Lactb2"	170.38809093979	0.0345837314254127	0.070370710004989	0.491450653588131	0.623107745573645	0.90781450330084
"Xkr9"	0.157819763690569	-0.158957968746425	1.91040226718472	-0.083206543185627	0.933687310073974	NA
"Gm5523"	1.50590941781438	-0.271112899747507	0.541047477209018	-0.501088926883158	0.616308539500482	0.906284452116419
"Eya1"	218.054098150194	-0.0697053787994258	0.0589749260222948	-1.18194940631336	0.23722577642203	0.699213270384312
"Msc"	14.5610601879105	0.105601010021982	0.176659417329091	0.597766094887893	0.549996016735178	0.883691599806451
"Trpa1"	6.48408523380395	-0.71104512628372	0.340496319098554	-2.08826083103093	0.0367743126603356	0.340158988017416
"Kcnb2"	171.175308013269	-0.0887822771337804	0.0917199741230007	-0.967971022481093	0.333058841920947	0.77511381736499
"Terf1"	118.661360200418	0.0891922943931009	0.0743920234410184	1.19894970277044	0.230547503681133	0.692066085399339
"Sbspon"	21.6049880043795	0.207673128561219	0.153688175404365	1.35126289328907	0.176611234054256	0.631818388083126
"4930444P10Rik"	8.82373381191725	0.335879445914424	0.235529669896514	1.42606002064199	0.153851017648361	0.603817891153803
"Rpl7"	2184.16846497577	-0.0305141078667831	0.0224569937479291	-1.35877972845751	0.174216398818565	0.628074712133512
"Rdh10"	138.75044368302	0.0197347821996651	0.0583595101487848	0.338158804783525	0.735243518073843	0.943063313325739
"Stau2"	1133.12417065882	-0.0129170913717361	0.0230273839940364	-0.560944802721897	0.574835166268801	0.89298935217167
"Ube2w"	993.061820212617	-0.00776005960737784	0.0297855592717861	-0.260530935026908	0.794454256261893	0.956093584096351
"Tceb1"	850.874493293577	-0.0276440026597855	0.0299702541589746	-0.922381322265413	0.356329708775486	0.791484008457558
"D030040B21Rik"	0.364846269978893	-0.378043627152189	1.05875588063093	-0.357064016425494	0.721043881926846	NA
"Tmem70"	465.813315464989	-0.0788773840199237	0.0404402110603184	-1.95046914820189	0.0511202271168948	0.395776961977407
"Ly96"	10.8214358854418	0.108238993678598	0.22057715141083	0.49070809458864	0.623632920543093	0.908178969883317
"Jph1"	669.746472283936	-0.099698074367199	0.0721664636702532	-1.38150145229153	0.167124831592456	0.617289555214171
"Gdap1"	1790.71571084684	-0.0118595475623413	0.0229011460046237	-0.517858257396677	0.604557168032856	0.903389767159239
"Pi15"	33.812915141813	0.137915130329009	0.12776953939049	1.0794053965203	0.280407046287849	0.735218138939599
