"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gnai3"	101.05814749109	0.112958739393423	0.69600230677973	0.162296501452792	0.871072369593779	1
"Cdc45"	6.32777945525764	-1.98714207389638	3.02380807083551	-0.657165411079585	0.511074563481624	0.94920629216563
"H19"	3.50334706551646	1.52666270408155	3.43879193297976	0.443953206194326	0.657076415734903	NA
"Scml2"	1.16740604650999	0	11.4805037308773	0	1	NA
"Narf"	55.274820707855	-0.0275842176911417	0.850506927283463	-0.0324326784488943	0.974127002555165	1
"Cav2"	85.9618848527167	0.543190728614719	0.86389011441587	0.628772941778601	0.52949771683723	0.950294825614581
"Klf6"	1063.64715192023	0.624294241032337	0.334411405221201	1.86684494393781	0.0619232441348891	0.572897137931824
"Scmh1"	43.1686138585148	1.78720910725082	0.862610728240643	2.07186051452891	0.0382784512383926	0.499457938607257
"Cox5a"	353.061676050893	-0.0335299213645104	0.440349921256022	-0.0761438114235881	0.93930468481584	1
"Tbx2"	4.14280634587402	0	3.97098342937842	0	1	NA
"Tbx4"	1.2374051485786	0.518313994383062	7.72887624878995	0.0670620123416015	0.946532335544882	NA
"Ngfr"	15.8360907314678	2.00130165339603	2.03017799260159	0.985776449498126	0.324242824797396	0.88488043297739
"Wnt3"	11.9788094013897	-0.952329892501398	2.12547006495919	-0.448056130359889	0.654112687738845	0.979815944800613
"Wnt9a"	4.3716305479228	0	3.59617819400892	0	1	NA
"Fer"	31.9211795458344	0.400010499477825	0.922611813292128	0.433563166778106	0.664605686859332	0.981520009351651
"Xpo6"	47.3247275478099	0.109796582414587	0.74870413632171	0.146648825735095	0.8834092129061	1
"Tfe3"	78.1360443809802	-0.513347197059098	0.749680500688832	-0.684754634257416	0.493498766821847	0.945709133680545
"Axin2"	30.4963466527589	0.577158606517836	1.95213412163704	0.29565520120812	0.767493412632446	1
"Brat1"	18.0608209062936	4.00869214285305	1.86448340902441	2.15002832605016	0.0315529742574835	0.470872148588928
"Gna12"	111.210285709847	-0.302341380517694	0.514019728873003	-0.58819022604557	0.556404617081347	0.957300522211111
"Slc22a18"	2.0492411389879	2.87306053372547	5.06778407113869	0.566926390981753	0.570764193094844	NA
"Itgb2l"	0.839361327935133	2.58192777900564	11.4404094555991	0.225684910057306	0.821446495347686	NA
"Igsf5"	2.90910783474356	-4.089276895589	3.97542040690288	-1.02864011275095	0.303648821174173	NA
"Pih1d2"	9.73102655474771	1.50509047513841	2.55867720477394	0.588229915180483	0.556377980365097	0.957300522211111
"Dlat"	59.0213347518307	-0.191107556837613	0.772741031844817	-0.24731125818616	0.804667346589727	1
"Sdhd"	21.0597811736205	0.469883743118879	1.91033036287768	0.24596988680589	0.805705543324878	1
"Ccnd2"	504.833975912543	-0.701004362857387	0.544803196465012	-1.28671117828584	0.198194975430507	0.793652517209969
"Gpr107"	94.6579653244961	-0.472066867014381	0.53052295135368	-0.889814221627656	0.373565648910509	0.906043631820941
"Nalcn"	12.0871485264538	-1.94616484043253	2.45541076503781	-0.792602552755592	0.428009420968683	0.923955681856204
"Btbd17"	84.5484995087122	-2.35991357951971	0.883075749498665	-2.6723795561813	0.00753154061851385	0.291277189703867
"Slfn4"	0.59544691637507	0	11.4805037308521	0	1	NA
"Th"	1.26712098739282	0	11.4805037308773	0	1	NA
"Ins2"	2.53694909335963	-2.0355893337445	4.21484825428071	-0.482956730809253	0.629126459340766	NA
"Drp2"	13.1282495152695	0	2.40426224948668	0	1	1
"Tspan32"	7.77200762259597	-1.16481226225745	1.7565721452455	-0.663116664698481	0.507255838435331	0.947771234498679
"Lhx2"	25.1737300085177	-4.2947607417864	1.74054087343513	-2.46748628965562	0.0136065431928322	0.350873417529226
"Clec2g"	0.0602968331616222	0	11.4805037308773	0	1	NA
"Gmpr"	41.4064996823285	-0.620880240264782	0.965386637274371	-0.643141531374152	0.520132267953336	0.949966182225575
"Glra1"	0.441946215204725	0	11.4805037308773	0	1	NA
"Mid2"	4.40652186737277	0	3.4472163097018	0	1	NA
"Trim25"	66.9662609840001	0.228455552728377	0.583615242239989	0.391448913930925	0.695465442774902	0.987432580057571
"Dgke"	27.7576927421695	3.54754677305249	1.79612011390227	1.97511666708361	0.0482549098254867	0.529543610027111
"Scpep1"	76.2666963335954	0.00326433803843025	0.652360634066734	0.00500388568525476	0.996007493529029	1
"Mnt"	67.5053249432948	0.745145327543878	0.648702596804022	1.14867017831438	0.2506920071687	0.836154924778511
"Itgb2"	268.845891767717	-0.0408268362623938	0.604828531798491	-0.0675015051637742	0.94618246381299	1
"Hddc2"	18.4575848217221	3.81668337065042	1.90245676144025	2.00618665717322	0.0448363369033885	0.52446684953806
"Tpd52l1"	34.8845055221542	1.18273131124178	1.38586049288737	0.85342739569523	0.39342233454528	0.912684952004562
"Pemt"	0.744126622568519	0	11.4805037308773	0	1	NA
"Cdh1"	38.3630530109848	-1.07563686974018	1.12738265615261	-0.954100955757988	0.340032542361403	0.891512310076361
"Cdh4"	14.0523882516516	1.38149655287566	2.24727283018516	0.614743583564723	0.538724072158059	0.951947222109114
"Ckmt1"	3.84428142840336	1.55538156468214	3.82752696798344	0.406367238609321	0.684472787751143	NA
"Bcl6b"	11.0814607255036	-1.92995156089035	2.27973488390511	-0.846568420966742	0.397235721868534	0.915386184364243
"Clec10a"	38.4388169868373	1.8643321043712	1.01471127134318	1.83730304079837	0.0661651712539481	0.586294467158306
"Alox12"	7.34426221465431	1.79117891542857	2.50006702698842	0.716452357513882	0.473712075438622	0.938397679222226
"Arvcf"	40.8299799264912	0.75512609025384	0.752113815921338	1.00400507778043	0.315376166075198	0.879761572087647
"Comt"	146.325688555534	0.276520161752384	0.4990717361243	0.554068967919901	0.579531646720252	0.964246847196455
"Rtca"	52.4437134677779	-0.684945819475159	0.87265613006103	-0.784897734491657	0.432513530457904	0.926790832918832
"Dbt"	164.780116035276	0.754547538878003	0.577251244490231	1.30713886904539	0.191165552489451	0.790867592708384
"Dazap2"	730.120167501067	0.587719013582356	0.357697972098361	1.64305939487055	0.100370645014444	0.673348347061025
"Mcts1"	128.229730004422	0.116544870731808	0.428500674302497	0.27198293426613	0.785635141362608	1
"Rem1"	2.1212534498722	0	5.95712551453886	0	1	NA
"Rnf17"	1.85194250065768	4.98267948926216	5.06965310149653	0.982844267547871	0.325684090999235	NA
"Trappc10"	140.032107264149	-0.34816819199985	0.500101465820356	-0.696195103984992	0.486306653407201	0.942564350294529
"Ccm2"	72.4679449852256	-0.632432430616333	0.553462493554999	-1.14268344825698	0.253170044372407	0.83795540131584
"Tbrg4"	24.7405956950928	-1.8108894180247	1.08507750973304	-1.66890328274359	0.0951365489327734	0.666006286086642
"Tmprss2"	0.490682463610432	0	11.4805037308773	0	1	NA
"Mx1"	6.52560547458157	-1.97969577115875	2.17274103220317	-0.911151279336467	0.36221567066668	0.900262848746099
"Fap"	8.58575425697757	2.06977086772692	2.50974798603271	0.824692709883876	0.409546071579922	0.917688027949703
"Ndufa9"	63.2900757394217	-0.543656079231168	0.658552178607902	-0.825532276547	0.409069466031513	0.917688027949703
"Egfl6"	4.33066339531176	0	3.8765668385205	0	1	NA
"Lck"	4.70185001023627	3.14409213748495	2.8205914362675	1.11469250635092	0.264982213340727	NA
"Tssk3"	0.0831169302933357	0	11.4805037308773	0	1	NA
"Cttnbp2"	56.6199760121626	1.61922343327889	1.77543716513995	0.912013933847806	0.361761382604859	0.900262848746099
"Galnt1"	259.992662945121	-0.288628318560072	0.347430728516645	-0.830750693216948	0.40611448223531	0.917688027949703
"Mkrn2"	14.6725885333661	3.50067924151015	1.93742590046633	1.80687129281567	0.0707823494860181	0.605191112450143
"Pparg"	1.4290281798528	0	11.4805037308773	0	1	NA
"Raf1"	36.9973612735421	2.26875968848719	1.13720135954088	1.99503779119922	0.0460387582920607	0.526138612254631
"Sept1"	1.86552210855387	-4.41425620738841	4.16781179487735	-1.05913040814702	0.289540393143206	NA
"Pdgfb"	183.632613065311	1.49670559958793	0.900124601895729	1.66277601616016	0.0963572792466787	0.667123837385369
"Acvrl1"	82.8253957353657	-0.412867471245728	0.736276875036928	-0.56075029006584	0.574967778709123	0.964231852122983
"Grasp"	70.9701701281335	-0.621259524064903	0.71063609857359	-0.874230179569985	0.381992913759899	0.909187729101897
"Acvr1b"	20.1641427507721	0.202165449477881	1.4089869492551	0.143482840337707	0.885908862450153	1
"Tom1l2"	119.264022455567	0.291952008850826	0.641146396579665	0.45535935382045	0.648850732074625	0.979815944800613
"Gpa33"	0.153917587547865	0	11.4805037308773	0	1	NA
"Zfp385a"	21.0361546277695	-0.0688033960568323	1.15409842597475	-0.059616575595553	0.952461016433722	1
"Itga5"	10.7073411784142	-1.0946324265384	2.00128141812904	-0.54696576734408	0.584402250768545	0.965213935040344
"Gabra2"	90.8071577431215	-2.03377718910585	0.904486546656418	-2.24854332728777	0.0245415655459409	0.438200583472084
"Wdr77"	38.413003043576	0.0827483356088555	0.908859181406405	0.091046376932461	0.927455740592915	1
"Adora3"	155.175434078621	-0.653050666795455	0.450838548390983	-1.44852446430359	0.147470429114823	0.744490576585401
"Atp5f1"	160.135881311702	0.519380334828881	0.434365533966008	1.195721792396	0.231805144216335	0.825743683736633
"Sox9"	359.892403550657	-0.819807653309594	0.606827795630042	-1.35097248216592	0.176704247748502	0.785624291930021
"Hnrnpd"	173.039237169245	0.0624293221501486	0.371172936622611	0.168194703844002	0.866430107313434	1
"Dynlt1c"	0.646660720702162	0	11.4805037308773	0	1	NA
"C1d"	42.1689789115856	-0.416456944416486	0.916833844440545	-0.454233825400075	0.649660539560686	0.979815944800613
"Gm2a"	126.393390713257	-1.42646946743871	0.550105364060137	-2.59308409012855	0.00951195102563464	0.307809532822192
"Krit1"	46.8590284207238	1.03249863327775	0.925277945723648	1.11587943714604	0.264473744796904	0.845606772133471
"Clcn4"	335.961879131096	0.0501026274096114	0.303332812842244	0.165173780377227	0.868807202013464	1
"Sema4f"	4.05091967866621	-2.01662830234304	3.63446575080232	-0.554862376099668	0.578988798176399	NA
"Hk2"	1333.9399997409	-0.0257948624546089	0.402719883341566	-0.0640516237752558	0.948929121334481	1
"Myo18a"	152.66382275746	-0.51219080723324	0.488619044812416	-1.04824159571978	0.294527310606267	0.864730813691688
"Sez6"	9.55134497178326	-1.954295466433	2.55196431334911	-0.765800468372637	0.443795035487147	0.930954218865078
"Haao"	4.51925980420451	0	3.02116399923217	0	1	NA
"Cd52"	538.523869428475	-0.83876033714875	0.48971619284434	-1.71274781068012	0.0867589451961768	0.652039829491647
"Abhd15"	10.8660369981367	2.13377097836779	1.80972555209703	1.17905777254196	0.238375171843149	0.830941505676969
"Hoxb6"	0.0889050681803151	0	11.4805037308773	0	1	NA
"Loxl3"	13.8120561932187	-0.296974347104392	1.74248908802761	-0.170431108662235	0.864671108837266	1
"Btn1a1"	0.0844239739866471	0	11.4805037308773	0	1	NA
"Kat2b"	62.1826886175869	-0.525444905630055	0.707976329323073	-0.742178634888055	0.457979111461466	0.932806257238819
"Rab5b"	24.9480149869518	1.30368639641385	1.23912765835955	1.05210015095601	0.292753602905534	0.863760064177286
"Aire"	0.233484583822201	0	11.4805037308773	0	1	NA
"Icosl"	28.1155597239368	2.07373313261851	0.921511226583313	2.25036122490584	0.0244260243209441	0.438200583472084
"Spg7"	90.6060067294566	0.309788401948094	0.58048528264851	0.53367141460445	0.593568889625982	0.96805786735543
"Sult5a1"	0.986405202108849	0	11.4805037308773	0	1	NA
"Rpl13"	70.7805031788657	-0.092355605372322	0.589779209235205	-0.156593525044879	0.875565205853022	1
"Chmp1a"	124.661100034045	-0.0795214888337398	0.389840073237065	-0.203984901227387	0.838365297920378	1
"Rpa1"	81.4319659503776	0.0766877250724514	0.601467174686411	0.127501097815412	0.898543804343107	1
"Serpinf1"	32.6346116308799	0.158460353655132	0.885375317170068	0.178975345915018	0.85795706021982	1
"Tubgcp3"	75.7205826746652	-1.01614610482625	0.812265547357605	-1.25100234539294	0.210933621744237	0.808548400230686
"Polr3d"	50.281831115365	0.872113055702711	0.740477474253502	1.17777121658146	0.238887826503969	0.830941505676969
"Tcf7"	11.1745964807742	-5.66275307332945	1.92774828957287	-2.93749609529372	0.00330874338566381	0.232368824047443
"Ddx3x"	716.986669855791	-0.119497049075424	0.418081451213688	-0.285822412662711	0.775014141096186	1
"Il12rb1"	2.61410732194743	0	9.89550413970012	0	1	NA
"Slc5a5"	4.44481373351036	-2.65091510790579	2.44983116970283	-1.08208073302755	0.279216656173039	NA
"Kcnn3"	0.986466120063306	0	11.4805037308773	0	1	NA
"Usp32"	63.5658486233124	0.125758194106042	0.625147249593931	0.201165716057663	0.840568998101891	1
"Car4"	48.6177822359395	-0.856168752094082	1.27680497890396	-0.670555618313017	0.502503663744892	0.947252408969705
"Txnrd3"	7.78241369086266	4.07096366252703	2.60011450261338	1.56568630282832	0.117422074461151	0.701509311784281
"Fasl"	0.554765066556922	0	11.4805037308773	0	1	NA
"Zfp512b"	41.674572618474	-1.64654512743108	0.750889879087018	-2.19279174388802	0.0283223870574953	0.455826753021562
"Dnajc5"	404.304519478895	-0.65124012422095	0.368003127953585	-1.76965920872033	0.0767839290332179	0.621324936818157
"Tpd52l2"	87.2442677095883	-0.267528679659055	0.563596319590127	-0.474681381620118	0.63501409041547	0.978688904305167
"Fmr1"	80.1522962931571	-0.196580541232875	0.548167326945501	-0.358614115745025	0.719883785454535	0.993999751030771
"Bcl11a"	17.7363589142726	1.37935133863343	1.63670201336516	0.842762657691975	0.399361196443414	0.915654943330149
"Il4"	0.0329695435101529	0	11.4805037308773	0	1	NA
"Pxmp4"	30.7289418022	-1.24181142975887	0.830092898869189	-1.49599090830744	0.134656024414388	0.730718422282169
"Dlg3"	70.3240092932956	-0.0945036816131796	0.648663343231694	-0.145689875340195	0.884166214393294	1
"Gnb1l"	6.41718860720462	-3.79208270297099	2.3000164674669	-1.64871980553573	0.099205050714028	0.671485342155598
"Mmp11"	4.16506324053839	4.25926650219747	3.25499409314236	1.30853279001978	0.190692660350587	NA
"Smarcb1"	61.2480432891657	-0.0320774507213686	0.720756943602799	-0.0445052260766649	0.964501686299656	1
"Vpreb3"	3.27407161816229	0	4.48422378020561	0	1	NA
"Hip1r"	44.8565593251301	1.41296432154629	1.41865920874539	0.995985725702135	0.319257080785572	0.882474508032682
"Nsun5"	8.54543457603594	2.39623167661608	2.1856089693119	1.09636797353119	0.27291777356828	0.851920602941683
"Top1mt"	5.72934219493946	-0.512936298257173	2.34949186926307	-0.21831797120373	0.827181373163099	1
"Hoxa4"	2.46978137023045	0.518309878710485	5.33467974094411	0.0971585744374519	0.922600465158771	NA
"Gm38393"	0.660017490680223	0	11.4805037308773	0	1	NA
"Mmp14"	215.095005953561	-0.401965870416152	0.399188869206687	-1.00695660982478	0.313955625962531	0.879481198966568
"Slc7a7"	56.2601351914161	-0.938645732201613	1.04833177007796	-0.895370873031741	0.370588865516885	0.906043631820941
"Oxa1l"	39.0084637915407	0.451821242668976	0.757339157353394	0.596590362827555	0.550780907028619	0.957015059399524
"Heatr6"	41.8931379374624	-0.925795208829991	0.784608377857742	-1.17994560720565	0.238021849046175	0.830941505676969
"Ccl3"	662.1613727295	0.515749232013422	0.491694990191012	1.04892106346877	0.294214450227593	0.864570083764725
"Wfdc18"	5.82821666114754	0	2.93032643513529	0	1	1
"Icam4"	1.13338694976816	0	11.3886130496532	0	1	NA
"Ilf2"	34.7945719922878	-0.0720070304023834	0.82724032579728	-0.0870448745749723	0.930635842694589	1
"Chtop"	154.265542113918	-0.0448105015356254	0.478186469754819	-0.0937092627455585	0.925340112052694	1
"Snapin"	67.5564725595	0.41852979801191	0.60759289470363	0.688832607590087	0.490928613192119	0.944498911722239
"S100a4"	68.3550755099524	0.166044255391811	0.843933257590712	0.196750458520665	0.844022821579008	1
"S100a3"	0.209551581006958	0	11.4805037308773	0	1	NA
"S100a5"	12.1825894657615	0.518314854520029	2.70822966262917	0.191385118356929	0.848223878401889	1
"S100a6"	233.30318433413	0.380500124234025	0.733306120476677	0.518883060715061	0.603842291008548	0.971179813013094
"Icam2"	25.4048928910039	-0.947281074783867	2.07919892791051	-0.4555990588817	0.648678320025224	0.979815944800613
"Mapk7"	28.1135297773653	0.236467494898261	1.14901913398596	0.205799440500136	0.836947578262101	1
"Epn2"	307.760301381786	0.230164572809731	0.510113078821426	0.451203041767733	0.651843217561507	0.979815944800613
"B9d1"	11.6924170266083	-1.92148966222115	1.90541248800541	-1.00843763453685	0.313244413360139	0.879203078919779
"Sec24b"	58.2560602570618	0.616097870414596	0.732638182534452	0.840930605450152	0.400386811526013	0.915825661290631
"N4bp3"	16.6911447019476	-0.330725987947582	1.72923489791846	-0.191255675180792	0.848325286088193	1
"Rmnd5b"	23.4118858409064	-0.251586308607407	1.29274376989694	-0.194614210848191	0.845694977128525	1
"Nhp2"	23.8775490700339	-0.392441331639057	1.23305340915456	-0.318267910153326	0.750281723701348	1
"Vps9d1"	39.4038846815801	-0.871790065747741	0.892934261105006	-0.976320546451988	0.32890564116933	0.886232893950748
"Zfp276"	27.2993033730734	-0.0362930301532451	0.899235648693847	-0.0403598658549194	0.967806226569114	1
"Mfsd10"	20.2663512372218	-0.778092241912161	1.19878571292584	-0.649066996313371	0.51629507311067	0.949966182225575
"Luzp1"	94.0471418266477	-0.954506399841347	0.628053645805713	-1.51978482445849	0.128565064394832	0.718951522746703
"Slc13a2"	0.162913335916445	0	11.4805037308773	0	1	NA
"Kctd10"	22.9945286858047	-2.80624892641073	1.45194125544444	-1.93275651882468	0.0532661990528538	0.550292352186876
"Poldip2"	43.0557196760759	-0.088464114204128	0.781335500737802	-0.113221675094237	0.909854811918446	1
"Sebox"	6.51323729204774	0.51831622265183	2.88480862628237	0.1796709209511	0.85741092361946	1
"Ift20"	324.371310880083	0.323119675841604	0.361104410229127	0.894809552828719	0.370888902851213	0.906043631820941
"Col6a1"	8.48219863627705	0.494075746033466	2.07405678367565	0.238217077720439	0.811712732230614	1
"Pcbp3"	44.3017097877774	2.22335772572695	1.36178997912921	1.63267299642538	0.102537789685592	0.677208729802421
"Lgals9"	90.3663933775556	-0.204084898364982	0.864625440080521	-0.23603850743274	0.813402789635981	1
"Araf"	63.2934573793469	-0.0754055617752799	0.854257959463468	-0.0882702478097361	0.929661885437032	1
"Cfp"	8.10754683876544	3.12480789958651	2.24026752967468	1.39483693719396	0.163065017511367	0.765333372489727
"Timp1"	1.0870835853089	0.518311720113724	10.5747001886967	0.0490143182184727	0.960907885366324	NA
"Uxt"	4.80376364461582	3.14932341221365	2.89407073682601	1.08819849222745	0.276507490221875	NA
"Cnnm3"	68.4206092778181	-0.58338765406432	0.817426134330483	-0.713688527394767	0.475419802128677	0.939149424901143
"Lman2l"	15.8985240078446	-0.639430870147605	1.31394211898618	-0.486650713838888	0.626505878008863	0.976800484987572
"Mcm3ap"	40.6091257104055	-1.41000895577954	0.858865131751478	-1.64171172359055	0.100649760889224	0.673348347061025
"Pcnt"	162.375687882686	-0.212881252572995	0.401336200683505	-0.530431225018931	0.595812981373262	0.96805786735543
"Mxd1"	57.407577112901	-0.100902147529495	0.687274179228775	-0.146814983858003	0.883278057437479	1
"Gmcl1"	67.4564168876294	-0.716205819867562	0.728477669951893	-0.983154116329822	0.325531593328837	0.885141408068925
"Snrnp27"	353.021201712574	0.184799237182444	0.371450233393736	0.497507392831701	0.618831290908599	0.975224341593009
"Oas1c"	3.46544315358538	0.835028561024308	2.66402126605877	0.313446657375853	0.753941341334858	NA
"Ocrl"	40.8801931664344	-0.305009656072119	0.950456828874027	-0.320908479802764	0.748279747587849	1
"Calm1"	2382.96724250176	0.417592465210494	0.269393976232223	1.55011805034022	0.12111318438957	0.707234574743697
"Agpat3"	359.752454760656	-0.312267271679382	0.304161612342375	-1.02664918585414	0.304585684567962	0.872520024593361
"Slc26a3"	0.614300569721008	0	11.4805037308773	0	1	NA
"Sema6b"	5.70690039674841	1.12911910872808	2.49446358622287	0.452650066717471	0.650800740717351	0.979815944800613
"Uhrf1"	3.47142614634076	2.92501211420794	4.44361673657154	0.658250314464501	0.510377298844455	NA
"Dpp9"	33.3286703884451	0.123659951428489	1.10196663306775	0.112217509784515	0.910650946059397	1
"Ramp2"	49.858344078622	-0.309019499965988	1.28249247227985	-0.24095229145217	0.809592093094207	1
"Lsr"	101.710307659916	0.39294686674978	0.92674724344939	0.424006512592598	0.671561063705822	0.982828234001672
"Gramd1a"	119.285387251258	-0.318515009365118	0.593903338604886	-0.53630782765648	0.591745821629611	0.96805786735543
"Hpn"	5.93259557322015	-0.370830651419658	2.25390228705331	-0.16452827327509	0.869315291157568	1
"Gabrg1"	53.5453032955329	-0.27160888877195	1.22313300773846	-0.22205997798567	0.82426719297793	1
"Ckb"	702.482053292828	-0.259438997208584	0.273682860621325	-0.947954857748839	0.343152435864633	0.893617674698373
"Sp1"	225.845606563518	-0.439147962962558	0.44791889730151	-0.980418476666663	0.326879592987306	0.885141408068925
"Itgb7"	2.83866161393468	4.58071568116577	4.35148208531469	1.05267942998655	0.292487939319861	NA
"Myg1"	9.21592727022402	2.62616455068834	2.17721322919536	1.20620457173086	0.227738621610501	0.822556465643454
