sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3933551,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933559,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933567,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933571,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933577,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933585,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933597,TREM2KO,TREM2KO,Brain,Astrocyte,Female,2
GSM3933549,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933557,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933565,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933575,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933583,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933595,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933603,TREM2KO,WT,Brain,Astrocyte,Female,2
GSM3933555,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933563,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933573,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933581,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933589,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933593,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933601,TREM2KO,TREM2KO,Brain,Astrocyte,Female,16
GSM3933553,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933561,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933569,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933579,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933587,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933591,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933599,TREM2KO,WT,Brain,Astrocyte,Female,16
GSM3933552,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933560,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933568,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933572,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933578,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933586,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933598,TREM2KO,TREM2KO,Brain,Microglia,Female,2
GSM3933550,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933558,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933566,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933576,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933584,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933596,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933604,TREM2KO,WT,Brain,Microglia,Female,2
GSM3933556,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933564,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933574,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933582,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933590,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933594,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933602,TREM2KO,TREM2KO,Brain,Microglia,Female,16
GSM3933554,TREM2KO,WT,Brain,Microglia,Female,16
GSM3933562,TREM2KO,WT,Brain,Microglia,Female,16
GSM3933570,TREM2KO,WT,Brain,Microglia,Female,16
GSM3933580,TREM2KO,WT,Brain,Microglia,Female,16
GSM3933588,TREM2KO,WT,Brain,Microglia,Female,16
GSM3933592,TREM2KO,WT,Brain,Microglia,Female,16
GSM3933600,TREM2KO,WT,Brain,Microglia,Female,16
