"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"-343C11.2"	0.0180652769113352	0	5.87282451495514	0	1	NA
"00R_AC107638.2"	1.8826104361453	1.06773050266281	0.669110148060862	1.59574698688576	0.110545293522302	1
"0610009O20Rik"	5.79655336750473	1.40003443506623	0.458657083395184	3.05246443530873	0.0022697062520125	0.869090093108924
"1110020A21Rik"	0.928506423934507	-0.0860479103768869	1.12046261300838	-0.0767967707069255	0.938785219755953	1
"1600014C23Rik"	0.209517827545408	0	2.73718987459644	0	1	1
"1700007L15Rik"	0.217825620853915	0.741920475544141	2.21325551139469	0.33521682052725	0.737461534415847	1
"1700022N22Rik"	0.0640709276138607	0.330852863471442	5.87282451495514	0.0563362420635804	0.955073947675568	NA
"1700028P14Rik"	1.30328920028603	0.743410955042902	1.22529268334254	0.606721124796822	0.544036000467654	1
"1700086O06Rik"	2.29775817829082	-0.89744081103762	0.767476781963006	-1.16933936260873	0.242266929976138	1
"1810055G02Rik"	1.3720249127916	-0.861735435554769	0.950032534758808	-0.907058868013972	0.364375667748105	1
"19.47525802-47711187.1"	0.0113586478381491	0	5.87282451495514	0	1	NA
"2.145048962-146444327.1"	0.0759911149394396	0.330852863471443	5.87282451495514	0.0563362420635805	0.955073947675567	NA
"2010015M23Rik"	0.951231358629554	-0.432415613425689	1.07927435777137	-0.400654023059158	0.688674865491133	1
"2010110K18Rik"	0.012773938019272	0.330852863471441	5.87282451495514	0.0563362420635803	0.955073947675568	NA
"2010300F17Rik"	0.0160938743415167	0	5.87282451495514	0	1	NA
"2210008F06Rik"	0.0620689394306505	0	5.87282451495514	0	1	NA
"2310026I22Rik"	0.0150048848345045	0	5.87282451495514	0	1	NA
"2310031A07Rik"	0.0612499218388263	-0.493530085748574	5.87282451495514	-0.0840362392051389	0.933027618942745	NA
"2310039H08Rik"	3.5365096096171	-0.60165869579364	0.510410310523377	-1.17877457290527	0.238487951847445	1
"2410015M20Rik"	24.2027832195036	-0.0507244496169732	0.23769659422205	-0.213399984896661	0.831014992282764	1
