"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gnai3"	436.509976958166	0.00199859289157552	0.0901140100118202	0.0221784924598669	0.982305573901634	1
"Cdc45"	19.0798828849734	-0.152531468322624	0.367512573628184	-0.415037414412224	0.678114514044385	1
"H19"	1.67568377668294	-0.667886131928668	1.7605675161765	-0.379358431751113	0.704421714265433	1
"Scml2"	19.0075716054994	-0.0946020974431936	0.381434509959644	-0.248016618772125	0.804121548528449	1
"Apoh"	2.74122133306503	-0.00837948117313591	1.08099243875347	-0.00775165567559246	0.993815135555373	1
"Narf"	633.875539322627	-0.122565106623929	0.0926972136402586	-1.32220917771684	0.186098505799895	1
"Cav2"	481.024491681844	0.0817714830349197	0.0777245834274312	1.05206717654868	0.292768730194889	1
"Klf6"	548.935538541886	0.0414203097968481	0.079799945881854	0.519051853220201	0.603724582039246	1
"Scmh1"	482.500141213445	-0.0164094534340284	0.0787690843856333	-0.208323526444612	0.834976363152888	1
"Cox5a"	498.994261711102	-0.0940859173898717	0.0903926044666901	-1.04085857405008	0.297941190384678	1
"Tbx2"	21.153490960874	-0.308109429230951	0.410202070608865	-0.751116221265345	0.452582714205234	1
"Tbx4"	2.47783758207416	-0.118227861382161	1.08579907346309	-0.10888557954381	0.913293244490795	1
"Ngfr"	57.9074683542372	-0.205790158062192	0.226599594414727	-0.908166488972396	0.363790266231624	1
"Wnt3"	49.3112297332654	0.0524810005499438	0.243961159568541	0.215120311129687	0.829673518607417	1
"Wnt9a"	138.804919369453	-0.0336564948971415	0.143768057824412	-0.234102730512275	0.814905226186223	1
"Fer"	167.610261625338	0.00723767194172086	0.120694421683709	0.0599669134725037	0.952181986471526	1
"Xpo6"	1100.18667165596	0.0182773186454096	0.0624187336522844	0.292817838106536	0.769661392747928	1
"Tfe3"	393.200155088801	-0.015847912762694	0.083622394597446	-0.189517566902803	0.84968718817865	1
"Axin2"	241.132152946017	-0.0163675475971795	0.113654399829263	-0.144011561556506	0.885491340005119	1
"Brat1"	272.023190730718	-0.0687834118128618	0.107644917278786	-0.638984297184438	0.522833147257138	1
"Gna12"	1112.1124345411	-0.0995854272164587	0.0962621366736034	-1.03452334072039	0.300891570926331	1
"Slc22a18"	9.77479922383003	-0.405784015799458	0.619985617549751	-0.654505530955958	0.512786164930922	1
"Itgb2l"	0.684020707511924	-0.655100425067064	2.27410914033631	-0.288069034791436	0.773293895030163	1
"Igsf5"	5.08512440455241	0.295898081793325	0.683916696222581	0.432652227131804	0.665267441018245	1
"Pih1d2"	21.9605162362714	0.231026155371536	0.32995017696	0.700184971864838	0.483811795540315	1
"Dlat"	1057.98350475405	0.00558315933637406	0.0644152683740514	0.0866744713994415	0.930930268906015	1
"Sdhd"	745.701257229328	-0.00348525979757222	0.0715946501694117	-0.0486804501359414	0.961173955932967	1
"Fgf23"	4.25102406916582	0.601942756567832	0.972639590000138	0.618875442411045	0.535998417587744	1
"Ccnd2"	727.336018501374	-0.120864824865448	0.152183475402955	-0.794204656881562	0.427076297907371	1
"Gpr107"	618.102979662817	-0.0522712902422825	0.0682811251053697	-0.765530593727312	0.443955655975631	1
"Nalcn"	1554.29600240617	0.0255016078483779	0.0646270459590638	0.394596526422254	0.693140677457441	1
"Btbd17"	120.46497141092	-0.0774685387194569	0.169954274959375	-0.455819888837598	0.648519500887134	1
"Slfn4"	1.0736544228457	-0.26063384633255	1.83383554251489	-0.142124983560478	0.886981284459995	1
"Th"	116.94830825179	0.29741170544462	0.203257727847555	1.46322458975671	0.143405934389623	1
"Ins2"	0.470991734201389	-0.728569383922626	2.55066268086854	-0.285639253432969	0.775154435552605	1
"Scnn1g"	2.24577002953152	-2.97984705301075	1.46589347912407	-2.03278553008595	0.0420741956637196	1
"Drp2"	1073.07817088196	0.00963487895725297	0.0644393724295352	0.149518510097049	0.881144504592647	1
"Tspan32"	2.55841585098732	0.659584510442137	1.30886387310687	0.50393667668164	0.614305876140132	1
"Lhx2"	398.053188761961	-0.27716646099885	0.0968117224533557	-2.86294318472011	0.00419725818220201	1
"Clec2g"	0.0718910370550099	-0.728558611803349	6.00631008342227	-0.121298867638254	0.903454316890629	1
"Gmpr"	356.38130546897	-0.000580839059174212	0.0991092063896103	-0.00586059641009396	0.995323947375049	1
"Glra1"	26.5235459071493	0.118565010629492	0.33298648475067	0.356065534366268	0.721791487534582	1
"Mid2"	458.563616500168	0.0776436637331344	0.0923030200154297	0.841182268144154	0.400245832608689	1
"Trim25"	110.265636945582	0.0816179936004405	0.169531968313768	0.481431286454381	0.630210005117253	1
"Dgke"	1164.83294234315	0.0832647270500181	0.0670822659075609	1.24123307290718	0.214519660462902	1
"Scpep1"	174.805530163347	0.149633325704776	0.123519064756905	1.21141886881403	0.225734911386042	1
"Mnt"	433.193841635211	0.0267013292935786	0.0891023385653364	0.299670353477863	0.764428614385116	1
"Itgb2"	73.2922896542842	0.00614706393654419	0.254737550555873	0.0241309690037076	0.980748140817553	1
"Hddc2"	91.979909594747	-0.211632297958979	0.186707123116594	-1.13349878904631	0.257004849437783	1
"Tpd52l1"	202.569089203368	-0.186451164065087	0.117525367219013	-1.58647591134626	0.112631392298541	1
"Pemt"	17.1190881757464	-0.135407004639557	0.436996675217314	-0.309858203319785	0.756668788395235	1
"Cdh1"	21.5136470676744	0.272172088298973	0.374605788426136	0.726556013569552	0.467497982250903	1
"Cdh4"	338.182253928113	0.0234978816215796	0.0914609414764002	0.25691711939837	0.797242754690909	1
"Ckmt1"	1850.64522404659	-0.0232873779825463	0.0638265258042253	-0.364854230887885	0.715220220974054	1
"Bcl6b"	24.230582758871	-0.348731024129485	0.352914437264349	-0.98814609805342	0.323081102063824	1
"Clec10a"	3.28981073062149	-0.0577691329060328	0.927486500185911	-0.0622856859851364	0.950335327272596	1
"Alox12"	7.78446422050587	-0.44585279246657	0.614351552824214	-0.725729088527498	0.468004865745857	1
"Arvcf"	1.25329506346345	0.84200093466237	1.6387715892632	0.513800056199984	0.607391788643067	1
"Rtca"	261.021275733928	0.101795573309202	0.134094444946493	0.759133410409515	0.447772754858552	1
"Dbt"	218.392298307747	-0.249212370875656	0.11371278625026	-2.19159497444014	0.0284087651505632	1
"Dazap2"	1175.63105315181	-0.0119430239790312	0.0589146935802256	-0.202717238319641	0.839356048689532	1
"Mcts1"	361.002496755403	-0.0150479841649577	0.0896054427344353	-0.167936050598573	0.866633588591927	1
"Rem1"	5.35264026610013	-0.209395891118385	0.668403040055561	-0.313277885601745	0.754069549860234	1
"Rnf17"	12.3049047419726	-0.16961927976943	0.477855292031793	-0.354959508867685	0.72261992575236	1
"Trappc10"	1399.54349384957	-0.0144705611401477	0.0528149078143086	-0.273986299304443	0.784095150507825	1
"Ccm2"	457.284380855626	-0.105853538755254	0.0866069313064374	-1.22222941234018	0.221620884182319	1
"Tbrg4"	321.385897176409	-0.00977067495465767	0.109896621029929	-0.0889078741738272	0.929155125651633	1
"Tmprss2"	1.00739745986155	1.0914185870325	1.89290886698946	0.576582743134551	0.564221359501885	1
"Mx1"	6.90196591309678	-0.703921460634502	0.719427840379147	-0.978446233417277	0.327853671248656	1
