"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gnai3"	2763.01480881042	0.0254436827314063	0.0584276381121417	0.435473408707222	0.663218836356017	1
"Cdc45"	113.798461036187	-0.0625570393276795	0.145660494978746	-0.429471555323271	0.667580089882683	1
"H19"	26.5809971797848	0.628323284985599	0.340326876706285	1.84623468785824	0.0648581363459321	0.927128094577593
"Scml2"	89.7060051537226	0.146988066779249	0.202218270818889	0.726878269624284	0.467300530121155	1
"Apoh"	13.2644313676431	0.594005549131389	0.420715483827147	1.41189371907082	0.157981257409313	0.985996050554407
"Narf"	4103.20714053853	-0.0894581575996858	0.047255169162842	-1.8930872364759	0.0583462692460419	0.916898232397123
"Cav2"	1641.36838846661	0.131335098277585	0.0952301782948619	1.37913317636486	0.167853696517694	0.99333277968775
"Klf6"	3336.61794861878	-0.0756464364079187	0.0572517504045339	-1.32129473550433	0.186403108660436	1
"Scmh1"	3103.76076191051	-0.0756890462259241	0.0361886103575102	-2.09151568623901	0.0364818617753967	0.858159348743851
"Cox5a"	3364.89060338103	-0.0256878230790862	0.0784427786552677	-0.327472120690375	0.743310826021407	1
"Tbx2"	140.550872173142	-0.0407431366314845	0.147699511163227	-0.275851533363966	0.782662100773937	1
"Tbx4"	11.6496966927121	0.19231066265059	0.412649243686813	0.466039052761594	0.641187547257392	1
"Zfy2"	0.0440481709467863	0.42907953585977	8.11823095360921	0.0528538222565606	0.957848377434432	NA
"Ngfr"	389.784568079168	0.280251625847714	0.132819518126532	2.11001839037489	0.0348567718541267	0.851378305156029
"Wnt3"	440.399375982349	-0.0990070528908553	0.0955244858537766	-1.03645732301988	0.299988839515163	1
"Wnt9a"	672.770282491912	-0.0760416536568449	0.121325925706858	-0.626755190317468	0.530819720400278	1
"Fer"	1350.02369089574	0.0469602893751457	0.0639329609199458	0.734523924739658	0.462629484290802	1
"Xpo6"	8042.70183292867	-0.0159825802289197	0.0309590448738376	-0.516249137983775	0.605680414794592	1
"Tfe3"	2830.91612222912	-0.0302900198933657	0.0378174815994626	-0.800952855988067	0.42315893895212	1
"Axin2"	1768.89458019875	-0.0790397636376801	0.062664714818943	-1.26131210947101	0.2071964200107	1
"Brat1"	1547.08772057748	-0.0419685326756607	0.058887949834975	-0.712684560988647	0.476040972219666	1
"Gna12"	4978.88498011337	0.0676709815726159	0.0607052637505265	1.11474652100542	0.264959059417414	1
"Slc22a18"	23.3177208519909	-0.252407761126447	0.412666775464555	-0.611650309968137	0.540769144363827	1
"Itgb2l"	5.83587425288899	0.209166786101424	0.660667129378615	0.316599353593018	0.751547626326306	1
"Igsf5"	31.9074546612428	0.510598751433073	0.347439161607989	1.46960621557444	0.141668435901924	0.977996496521397
"Pih1d2"	107.365558038101	-0.278500987398448	0.156502101743746	-1.77953512633626	0.0751520713358221	0.936713510404044
"Dlat"	8010.5850360232	0.0287647726569811	0.0315943951058626	0.910439100372062	0.362590985015803	1
"Sdhd"	4015.26136493444	-0.0159638689518502	0.0497458096494265	-0.320908817533624	0.748279491641775	1
"Fgf23"	24.5152592594068	-0.379280122763045	0.40072648565849	-0.946481294191962	0.343903158705985	1
"Fgf6"	0.26281555996544	-0.0518042377169492	4.08889491322748	-0.0126694959925147	0.989891475185354	NA
"Ccnd2"	3733.313460548	-0.17410806000612	0.0964538846420072	-1.80509121693056	0.0710604092513883	0.927128094577593
"Gpr107"	4451.42827995385	-0.00679495481242041	0.0317851999676367	-0.213777318353792	0.830720713404334	1
"Nalcn"	10896.6675569447	0.0480024225096863	0.0486332556181839	0.987028770735601	0.323628534453502	1
"Btbd17"	1178.55002958051	0.0338887685699453	0.0798947263682758	0.42416777815515	0.671443458164316	1
"Slfn4"	4.05304387940703	-0.838897879965169	0.919019878904793	-0.912817991450733	0.361338274332025	1
"Th"	1009.18601795946	0.265217389608448	0.21767782225179	1.21839417017719	0.223074219438183	1
"Ins2"	0.913729005305897	1.27743406111786	1.5752428181373	0.810944221684123	0.417397703409228	1
"Scnn1g"	40.750191134102	-0.507149922337111	0.341725870906865	-1.48408407297711	0.137786617986625	0.977996496521397
"Drp2"	5754.36376992523	-0.00598124810337253	0.0456930881482094	-0.130900500398919	0.895854018828466	1
"Tspan32"	22.8559368457407	0.327351021650394	0.47267468350236	0.692550358789756	0.488591772342404	1
"Lhx2"	2006.43996731493	-0.0185212162357789	0.0790665005531051	-0.234248589557079	0.814791995157282	1
"Clec2g"	3.08893886670874	-2.79319100965695	1.28814093521197	-2.16838929134515	0.0301290797789632	0.824084217304961
"Gmpr"	1963.01338754144	0.024778566196613	0.0692544219587531	0.357790383571041	0.72050018763594	1
"Glra1"	1229.13633422428	0.515738036222585	0.300935631380974	1.71378189367572	0.086568789949726	0.94940116994988
"Mid2"	3279.83893586786	0.0266827716962737	0.0673233659592334	0.396337457524495	0.69185609779193	1
"Trim25"	513.957382381588	0.0960579750171028	0.10491312202078	0.915595429502866	0.359879129432841	1
"Dgke"	8158.61796335061	0.00324913821828976	0.0417868848673407	0.0777549757203648	0.938022962133608	1
"Scpep1"	1098.89398700642	0.0265208996404695	0.0623468748455019	0.425376567890362	0.670562184843446	1
"Mnt"	3430.01229516641	0.00998550168669978	0.0533475102785087	0.187178401289375	0.851520758820536	1
"Itgb2"	321.96718303302	0.265921924264624	0.110154575109914	2.41407970571611	0.015775011044458	0.732404260841537
"Hddc2"	457.240880245067	0.0750075845357308	0.111192528027193	0.674573965234313	0.499946478387715	1
"Tpd52l1"	779.285201218744	0.0128113565786327	0.0752504266476651	0.170249620492088	0.864813829769319	1
"Pemt"	95.9481868804939	-0.063931965468574	0.171552725934628	-0.37266656720416	0.709396622311732	1
"Cdh1"	183.792504582227	0.0403147041770047	0.328740065551667	0.122633984723923	0.902396941636208	1
"Cdh4"	2588.45337602967	0.0771634273276843	0.0620014176009158	1.24454295262024	0.213299801267895	1
"Ckmt1"	12345.580368093	0.00819485738905162	0.0651736912180731	0.1257387334658	0.899938740301812	1
"Bcl6b"	154.103934446397	-0.23346063060563	0.228462941880535	-1.02187527081617	0.306839938051533	1
