sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3791947,WSB.APP/PS1,WTWSB,Brain,Mixed,Male,8
GSM3791948,WSB.APP/PS1,WTWSB,Brain,Mixed,Male,8
GSM3791949,WSB.APP/PS1,WTWSB,Brain,Mixed,Male,8
GSM3791950,WSB.APP/PS1,WTWSB,Brain,Mixed,Male,8
GSM3791951,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Male,8
GSM3791952,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Male,8
GSM3791953,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Male,8
GSM3791954,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Male,8
GSM3791955,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Male,8
GSM3791956,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Male,8
GSM3791957,PWK.APP/PS1,WTPWK,Brain,Mixed,Female,8
GSM3791958,PWK.APP/PS1,WTPWK,Brain,Mixed,Female,8
GSM3791959,PWK.APP/PS1,WTPWK,Brain,Mixed,Female,8
GSM3791960,PWK.APP/PS1,WTPWK,Brain,Mixed,Female,8
GSM3791961,PWK.APP/PS1,WTPWK,Brain,Mixed,Female,8
GSM3791962,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Female,8
GSM3791963,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Female,8
GSM3791964,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Female,8
GSM3791965,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Female,8
GSM3791966,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Female,8
GSM3791967,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Female,8
GSM3791968,PWK.APP/PS1,WTPWK,Brain,Mixed,Male,8
GSM3791969,PWK.APP/PS1,WTPWK,Brain,Mixed,Male,8
GSM3791970,PWK.APP/PS1,WTPWK,Brain,Mixed,Male,8
GSM3791971,PWK.APP/PS1,WTPWK,Brain,Mixed,Male,8
GSM3791972,PWK.APP/PS1,WTPWK,Brain,Mixed,Male,8
GSM3791973,PWK.APP/PS1,WTPWK,Brain,Mixed,Male,8
GSM3791974,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Male,8
GSM3791975,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Male,8
GSM3791976,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Male,8
GSM3791977,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Male,8
GSM3791978,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Male,8
GSM3791979,PWK.APP/PS1,APPPS1PWK,Brain,Mixed,Male,8
GSM3791980,CAST.APP/PS1,WTCAST,Brain,Mixed,Female,8
GSM3791981,CAST.APP/PS1,WTCAST,Brain,Mixed,Female,8
GSM3791982,CAST.APP/PS1,WTCAST,Brain,Mixed,Female,8
GSM3791983,CAST.APP/PS1,WTCAST,Brain,Mixed,Female,8
GSM3791984,CAST.APP/PS1,WTCAST,Brain,Mixed,Female,8
GSM3791985,CAST.APP/PS1,WTCAST,Brain,Mixed,Female,8
GSM3791986,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Female,8
GSM3791987,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Female,8
GSM3791988,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Female,8
GSM3791989,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Female,8
GSM3791990,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Female,8
GSM3791991,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Female,8
GSM3791992,CAST.APP/PS1,WTCAST,Brain,Mixed,Male,8
GSM3791993,CAST.APP/PS1,WTCAST,Brain,Mixed,Male,8
GSM3791994,CAST.APP/PS1,WTCAST,Brain,Mixed,Male,8
GSM3791995,CAST.APP/PS1,WTCAST,Brain,Mixed,Male,8
GSM3791996,CAST.APP/PS1,WTCAST,Brain,Mixed,Male,8
GSM3791997,CAST.APP/PS1,WTCAST,Brain,Mixed,Male,8
GSM3791998,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Male,8
GSM3791999,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Male,8
GSM3792000,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Male,8
GSM3792001,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Male,8
GSM3792002,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Male,8
GSM3792003,CAST.APP/PS1,APPPS1CAST,Brain,Mixed,Male,8
