sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3791911,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Female,8
GSM3791912,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Female,8
GSM3791913,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Female,8
GSM3791914,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Female,8
GSM3791915,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Female,8
GSM3791916,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Female,8
GSM3791917,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Female,8
GSM3791918,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Female,8
GSM3791919,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Female,8
GSM3791920,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Female,8
GSM3791921,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Male,8
GSM3791922,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Male,8
GSM3791923,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Male,8
GSM3791924,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Male,8
GSM3791925,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Male,8
GSM3791926,APPswe/PSEN1dE9 (C57BL6),WT,Brain,Mixed,Male,8
GSM3791927,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Male,8
GSM3791928,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Male,8
GSM3791929,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Male,8
GSM3791930,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Male,8
GSM3791931,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Male,8
GSM3791932,APPswe/PSEN1dE9 (C57BL6),Transgenic,Brain,Mixed,Male,8
GSM3791933,WSB.APP/PS1,WTWSB,Brain,Mixed,Female,8
GSM3791934,WSB.APP/PS1,WTWSB,Brain,Mixed,Female,8
GSM3791935,WSB.APP/PS1,WTWSB,Brain,Mixed,Female,8
GSM3791936,WSB.APP/PS1,WTWSB,Brain,Mixed,Female,8
GSM3791937,WSB.APP/PS1,WTWSB,Brain,Mixed,Female,8
GSM3791938,WSB.APP/PS1,WTWSB,Brain,Mixed,Female,8
GSM3791939,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Female,8
GSM3791940,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Female,8
GSM3791941,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Female,8
GSM3791942,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Female,8
GSM3791943,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Female,8
GSM3791944,WSB.APP/PS1,APPPS1WSB,Brain,Mixed,Female,8
GSM3791945,WSB.APP/PS1,WTWSB,Brain,Mixed,Male,8
GSM3791946,WSB.APP/PS1,WTWSB,Brain,Mixed,Male,8
